вурдалак|То же, что вампир
вход|Место, где входят
вход|Об информации, данных: поступая для обработки
входной|Входная дверь
входной|Билет, дающий право на вход куда–нибудь
входящий|О корреспонденции: получаемый учреждением; противоположность исходящий
вхожий|Часто бывающий где–нибудь, охотно допускаемый, приглашаемый куда–нибудь
вхолодную|Холодным способом
вхолостую|О движении механизма: не производя полезной работы
вцепиться|Цепко схватить что–нибудь или кого–нибудь за что–нибудь
вчера|В день перед сегодняшним
вчера|В недалеком прошлом
вчера|День, предшествовавший сегодняшнему
вчерась|То же, что вчера
вчерашний|Недавно бывший кем–нибудь или чем–нибудь
вчерашний|Устарелый, несовременный
вчерне|То же, что начерно
вчетверо|В четыре раза
вчетвером|В количестве четырех человек
в-четвертых|Употребляется при обозначении четвертого пункта при перечислении
вчинить|Предъявить иск кому–нибудь
вчистую|Совсем, совершенно, подчистую
вчитаться|Читая, вникнуть
вчувствоваться|Чувством понять, вникнуть во что–нибудь
вчуже|Со стороны, с точки зрения чужого, постороннего
вшестеро|В шесть раз
вшестером|В количестве шести человек
в-шестых|Употребляется при обозначении шестого пункта при перечислении
вшиветь|Становиться вшивым
вшивной|Такой, который вшивается, вшитый
вшивый|Имеющий много вшей, покрытый вшами
вшивость|Свойство быть вшивым
вширь|В ширину, на широкое пространство
вшить|Вставить, пришив
въ-|То же, что в; пишется вместо "в" перед в, е, я, (потенциально также перед ю)
въедливый|Придирчиво вникающий во все мелочи, дотошный
въедливость|Свойство быть въедливым
въедчивый|Имеющий свойство въедаться во что–нибудь
въедчивый|То же, что въедливый
въедчивость|Свойство быть въедчивым
въезд|Место, где въезжают
въездной|Дающее право на въезд или относящееся ко въезду
въесться|Пропитать собой, впитаться
въехать|Едучи, попасть, проникнуть внутрь
въехать|Вселиться куда–нибудь
въехать|Едучи, подняться
въявь|То же, что наяву
вы|Служит для обозначения нескольких лиц, включая собеседника и исключая говорящего, а также как форма вежливости для обозначения одного лица, собеседника
вы-|Образует глаголы со значениями: исчерпанности действия, движения изнутри, тщательности и интенсивности действия, с постфиксом –ся — полной исчерпанности действия или удовлетворенности лица действием, собственно предела действия
выбежать|Удалиться откуда–нибудь бегом
выбежать|Двигаясь бегом, появиться
выбить|Ударом удалить; с боем вытеснить
выбить|Ударами очистить от пыли
выбить|Ударами сделать углубление в чем–нибудь; вычеканить
выбить|С трудом добиться, получить что–нибудь у кого–нибудь
выбить|Отпечатать (кассовый чек), а также, оплатив, получить такой чек в кассе
выбиться|С трудом выйти откуда–нибудь, освободиться
выбиться|Выступить, показаться наружу
выбоина|Яма на дороге от езды, ухаб
выбоина|Углубление, выбитое на поверхности чего–нибудь
выболеть|О поверхности тела: измениться там, где было больное место
выболеть|Пропасть, утратиться под действием боли, страдания
выболтать|Болтая, рассказать тайну
выбор|То, из чего можно выбрать
выбор|О том, кто или что выбран
выборка|Материалы, подобранные на какую–нибудь тему, подборка
выборность|Замещение должностей путем выборов, а не назначения
