выдалбливать|То же, что долбить в значениях делать отверстия, выдалбливать углубления, выдалбливать что–нибудь с усилием
выданье|О девушке: в возрасте, когда пора выдавать замуж
выдать|Дать, предоставить что–нибудь, снабдить чем–нибудь
выдать|Изготовить, выпустить какую–нибудь продукцию, представить как результат работы
выдать|Открыть, обнаружить, разоблачить
выдать|Способствовать чьему–нибудь замужеству, согласиться на чье–нибудь замужество
выдать|Неправильно представить кем–нибудь, объявить не тем, кто есть на самом деле
выдать|Сказать что–нибудь неожиданное или резкое, неприятное, неуместное
выдаться|Выдвинуться наружу, выступить
выдаться|Случиться, оказаться (обычно о времени, погоде)
выдаться|Унаследовать чьи–нибудь черты, оказаться похожим
выдача|Дать, предоставить что–нибудь, снабдить чем–нибудь
выдача|Изготовить, выпустить какую–нибудь продукцию, представить как результат работы
выдача|Открыть, обнаружить, разоблачить
выдача|Выданные деньги, товар
выдающийся|Выделяющийся какими–нибудь качествами, обычно положительными
выдвиженец|В первые годы советской власти: рабочий, выдвинутый на какую–нибудь ответственную должность
выдвиженка|В первые годы советской власти: рабочая, выдвинутая на какую–нибудь ответственную должность
выдвижной|О части какого–нибудь предмета, устройства: такой, который вдвигается и выдвигается
выдвинуть|Двигая, переместить, выставить вперед
выдвинуть|Объявить, представить на чье–нибудь суждение, для сведения
выдвинуть|Отличив, выделить из других для более ответственной работы, деятельности
выдвинуться|Подвинуться, переместиться вперед
выдвинуться|Отличиться, стать заметным, известным
выдворить|Выселить, заставить уйти, уехать откуда–нибудь
выделать|Обработав, изготовить, сделать годным к употреблению
выделение|Расчленить или отделить, распределить, назначить или предоставить для какой–нибудь цели
выделение|Удалить, вывести из организма, из состава чего–нибудь
выделение|То, что выводится из организма (конечные продукты обмена, избыток воды, солей, органических соединений)
выделить|Расчленив или отделив, распределив, назначить или предоставить для какой–нибудь цели
выделить|Отличить, отметить чем–нибудь
выделить|Удалить, вывести из организма, из состава чего–нибудь
выделить|Удалить, вывести из состава чего–нибудь (спец. и областн.)
выделить|Устройство, выделяющее продукты жизнедеятельности (к выделительный)
выделиться|Обособиться, отделиться от целого, общего
выделиться|Отличиться чем–нибудь, какими–нибудь качествами, достоинствами
выделиться|Выйти из организма, из состава чего–нибудь
выделка|Обработав, изготовить, сделать годным к употреблению
выделка|Рельефный рисунок на ткани
выделывать|Обработав, изготовить, делать годным к употреблению
выделывать|Производить, вырабатывать
выделывать|Делать затейливые движения, а также поступать странно или предосудительно
выдержанный|Точно следующий чему–нибудь, последовательный
выдержанный|Обладающий выдержкой
выдержать|Устоять, не поддавшись действию тяжести, давления, какому–нибудь воздействию, стойко перенести
выдержать|Сохранить стойкость, спокойствие, вытерпеть
выдержать|Подвергаясь проверке, оказаться годным
выдержать|Соблюсти, не допуская отклонений
выдержать|Продержать где–нибудь какое–нибудь время
выдержать|Долгим хранением довести до высокого качества
выдержать|О тиражах книг, представлениях: осуществиться, состояться в некотором количестве
выдержка|Устоять, не поддавшись действию тяжести, давления, какому–нибудь воздействию, стойко перенести
выдержка|Сохранить стойкость, спокойствие, вытерпеть
выдержка|Подвергаясь проверке, оказаться годным
выдержка|Соблюсти, не допуская отклонений
выдержка|Продержать где–нибудь какое–нибудь время
выдержка|Долгим хранением довести до высокого качества
выдержка|Терпение, стойкость, самообладание
выдержка|Время, в течение которого свет действует на светочувствительный фотографический слой
выдержка|Цитата, выписка
выдернуть|Дернув, извлечь
выдойти|То же, что подоить
выдойти|Получить доением
выдох|Одно выдыхательное движение, противоположное вдоху
выдохнуть|Сделать выдох
выдохнуться|Утратить крепость или запах
выдохнуться|Утратить силу, энергию, способности
выдра|Хищное, хорошо плавающее животное семейства куньих, а также мех его
выдра|О некрасивой и худой женщине
выдрать|Силой, рывком вырвать
выдумать|Придумать, изобрести
выдумать|Измыслить то, чего нет, не было, придумать
выдумка|Ложь, то, что выдумано
выдумка|Изобретение, затея, изобретательность
выдумщик|Человек изобретательный, ловкий на выдумки, придумщик
выдуть|Дуя, удалить
выдюжить|Выдержать, вытерпеть
выезд|Место, через которое выезжают
выезд|Лошади с экипажем и упряжкой
выездить|Приучить к езде
выездка|Приучение к езде
выездка|В конном спорте: мастерство управления лошадью на разных аллюрах
выем|То же, что выемка
выемка|Углубление, вырез
выемчатый|С выемками
выесть|Съесть внутреннюю часть чего–нибудь
выесть|Разрушить, вытравить чем–нибудь едким
