вымерить|То же, что обмерить
вымесить|Меся, размять окончательно
вымести|Подметая, удалить, убрать
вместить|Удовлетворить свою обиду, неудовольствие, причинив зло кому–нибудь
вымешать|Мешая, довести составные части смеси до полного соединения
вымогатель|Тот, кто занимается вымогательством
вымогательница|Тот, кто занимается вымогательством
вымогательский|Относящийся к вымогательству
вымогать|Шантажом, угрозами добиваться чего–нибудь
вымоина|Рытвина, яма, размытая водой
вымокнуть|Стать совсем мокрым
вымокнуть|Приобрести какие–нибудь свойства, вид, пролежав в воде, жидкости
вымолвить|Сказать, произнести
вымолить|Молясь, получить что–нибудь, добиться чего–нибудь
вымолить|Выпросить, добиться мольбами
выморить|Уничтожить отравой
выморозить|Выстудить морозным воздухом
выморозить|Истребить морозом
выморочный|Об имуществе: оставшийся после владельца без наследника
вымотать|Истощить, изнурить, измучить
вымотаться|Очень устать, обессилеть
вымочить|Сделать совсем мокрым
вымочить|Продержать в воде, в жидкости для придания каких–нибудь нужных свойств
вымочиться|То же, что вымокнуть
вымпел|Узкий длинный раздвоенный на конце флаг на мачте военного корабля
вымпел|Узкий треугольный флажок или полотнище, служащие знаком чего–нибудь
вымпел|Снабженный длинным флажком или лентой футляр, в котором заключен предмет, сбрасываемый с летательного аппарата
вымучить|С трудом, с усилием сделать, произвести
вымысел|То, что создано воображением, фантазией
вымысел|Выдумка, ложь
вымышленный|Представляющий собой вымысел, выдуманный
вымя|Молочные железы у самок млекопитающих животных
вынести|Неся, доставить наружу, за пределы чего–нибудь
вынести|Переместить куда–нибудь, выдвинуть
вынести|Извлечь, получить, знакомясь с чем–нибудь
вынести|Приняв решение, объявить
вынести|Вытерпеть, выдержать
вынестись|Стремительно двигаясь, удалиться откуда–нибудь
вынестись|Стремительно двигаясь, появиться откуда–нибудь
выносить|О матери, самке: проносить в себе плод до срока родов
выносить|Обдумать, прийти к чему–нибудь после размышлений
выносить|Вынянчить, выпестовать
выноска|Примечание к тексту, а также сноска
выносливый|Физически сильный, стойкий, способный много вынести, выдержать
выносливость|Свойство быть физически сильным, стойким, способным много вынести, выдержать
выносной|Запряженный сбоку или спереди в помощь основной запряжке
вынудить|Заставить, принудить
вынудить|Добиться чего–нибудь силой, угрозами, принуждением
вынужденный|Вызванный какими–нибудь обстоятельствами, совершаемый не по своей воле
вынуть|Взять изнутри или переместить изнутри наружу
вынырнуть|Нырнув, всплыть, показаться из воды
вынырнуть|Внезапно появиться
вынянчить|Нянча, пестуя, вырастить, воспитать
выпад|В спорте: выставление согнутой ноги в каком–нибудь направлении с упором туловища на эту ногу
выпад|Враждебное действие, выступление против кого–чего–нибудь
выпалить|Сказать или выкрикнуть сразу, одним духом
выпарить|Паром уничтожить или очистить
выпарить|Сгустить, превращая лишнюю влагу в пар
выпарить|Добыть соль из рассола
выпариться|Хорошо попариться
выпариться|Превратиться в пар или сгуститься после удаления влаги
