выпоить|Выкормить животное пойлом, питьем
выползень|Насекомое, образовавшееся из личинки
выползок|Наружный покров насекомого, гусеницы или наружный ороговевший слой кожи змеи, сброшенный во время линьки
выполнимый|Возможный для исполнения
выполнить|Осуществить, провести в жизнь порученное, задуманное
выполнить|Создать, сделать
выпороток|Шкурка недоношенного животного, извлеченного из живота самки
выпороть|Распоров, вынуть
выпорхнуть|Вылететь, порхнув
выпот|При воспалении, отеках: скопление жидкости из кровеносных сосудов в какой–нибудь полости тела или в ткани
выправить|Сделать прямым, ровным
выправить|Внести необходимые исправления, правку во что–нибудь
выправить|Исправить, улучшить
выправить|Высвободив, выставить на вид, наружу
выправить|О документе: получить из какого–нибудь учреждения
выправиться|О чём–нибудь искривившемся, накренившемся: то же, что выпрямиться
выправиться|Исправиться, прийти в лучшее состояние
выправка|Осанка, манера держаться собранно, подтянуто
выпроводить|Заставить уйти, удалить
выпросить|Просьбами добиться чего–нибудь
выпроcтать|Вынув из–под чего–нибудь, освободить
выпрыгнуть|Прыгнув, удалиться откуда–нибудь
выпрыгнуть|Прыгнув, появиться откуда–нибудь
выпрямитель|Преобразователь переменного электрического тока в постоянный
выпрямить|Сделать прямым
выпрямиться|Стать прямым, принять прямое положение
выпрячь|Освободить животное от упряжи
выпрячься|О животном: освободиться из упряжи
выпуклость|Выпуклое место на чём–нибудь
выпуклый|Имеющий поверхность, шарообразно выгнутую наружу; противоположный вогнутый
выпуклый|Выдающийся вперед, выступающий над поверхностью, рельефный
выпуск|Группа учащихся, окончивших курс
выпуск|Часть сочинения, изданная отдельно
выпускник|Учащийся, оканчивающий учебное заведение, находящийся в последнем классе, на последнем курсе; вообще тот, кто окончил данное учебное заведение
выпустить|Дать выйти
выпустить|Дать закончить учебное заведение, предоставив соответствующее право
выпустить|Изготовив, подготовив, создав, пустить в обращение
выпустить|Выставить, выправить
выпустить|Сделать длиннее или шире, употребив запас
выпустить|Исключить, выбросить часть написанного
выпутать|Распутав, вынуть, освободить
выпутать|Вывести из неприятного, сложного положения
выпутаться|Высвободиться из пут, сети
выпутаться|Выйти из затруднительного, сложного положения
выпученный|О глазах: чрезмерно выступающий из глазниц
выпушка|Обшивка, оторочка по краям одежды, кант
выпытать|Разузнать, выведать
выпь|Ночная болотная птица семейства цапель
выпялить|Выставить вперед, выпятить
выпялиться|То же, что выпялить глаза на кого–нибудь
выпятить|Выставить, выдвинуть вперед
выработать|Произвести, сделать
выработать|Создать, отработать
выработать|То же, что заработать
выработаться|Установиться, образоваться в результате опыта, работы
выработка|То, что выработано, изготовлено, готовая продукция
выработка|В горнопроходческих работах: наклонная вертикальная или горизонтальная полость, служащая для разведочных и эксплуатационных работ
выражаться|Произносить бранные, неприличные слова
выражение|То, в чём проявляется, выражается что–нибудь
выражение|Внешний вид лица, отражающий внутреннее состояние
выражение|Фраза или сочетание слов, часто употребляющиеся в речи
выражение|Формула, выражающая какие–нибудь математические отношения
выразитель|Тот, кто выражает какую–нибудь идею, мысль, чувство
