выражаться|Произносить бранные, неприличные слова
выражение|То, в чем проявляется, выражается что–нибудь
выражение|Внешний вид (лица), отражающий внутреннее состояние
выражение|Фраза или сочетание слов, часто употребляющиеся в речи
выражение|Формула, выражающая какие–нибудь математические отношения
выразитель|Тот, кто выражает какую–нибудь идею, мысль, чувство
выразительница|Тот, кто выражает какую–нибудь идею, мысль, чувство
выразительный|Хорошо выражающий что–нибудь, яркий по своим свойствам, внешнему виду
выразительный|Многозначительный, как бы сообщающий что–нибудь
выразить|Воплотить, обнаружить в каком–нибудь внешнем проявлении
выразиться|Проявиться, обнаружиться, воплотиться в чем–нибудь
выразиться|Сказать, в тех или иных словах передать свою мысль
вырастать|То же, что расти
вырастать|Стать больше ростом, крупнее настолько, что одежда стала мала
вырастать|Развившись, дойти до чего–нибудь, достигнуть какой–нибудь степени
вырастать|Обнаружиться неожиданно; появиться перед чьим–нибудь взором (обычно о ком–чем–нибудь высоком)
вырасти|Стать больше ростом, крупнее настолько, что одежда стала мала
вырасти|Развившись, дойти до чего–нибудь, достигнуть какой–нибудь степени
вырасти|Обнаружиться неожиданно; появиться перед чьим–нибудь взором (обычно о ком–чем–нибудь высоком)
вырастить|То же, что воспитать
вырастить|Ухаживая за растением, животным, вскармливая, дать вырасти
вырвать|Резким движением, рывком удалить, извлечь, взять
вырваться|Силой освободиться, уйти откуда–нибудь
вырваться|О том, что обнаруживается, прорывается сразу, резко: выйти наружу
вырваться|Оторвавшись от других, устремиться вперед
вырез|Вырезанное отверстие, выем
вырезать|Разрезая, вынуть, удалить, а также сделать что–нибудь резанием
вырезать|Сделать, начертить чем–нибудь режущим, острым
вырезать|Резней истребить
вырезка|То, что вырезано, вырезанная часть чего–нибудь
вырезка|Мясо из средней части туши, филе
вырезной|Изготовленный вырезыванием или с резьбой
вырешить|Окончательно решить
вырисовать|Тщательно, старательно нарисовать
вырисоваться|О видимом: обозначиться, стать явным, отчетливым
вырисоваться|Постепенно обнаружиться, проявиться
выровнять|Сделать ровным
выровняться|Стать ровным
выровняться|Стать лучше в физическом или духовном отношении
выродиться|Ухудшиться в породе, потерять ценные свойства предков
выродок|Человек, который выделяется в какой–нибудь среде своими крайне отрицательными, отталкивающими качествами
вырождение|Потеря ценных свойств, ухудшение
выронить|Роняя, дать упасть
вырост|Отросток, небольшой нарост, удлиненный придаток
выросток|Шкура теленка, а также выделанная из нее кожа
вырубить|Свести деревья, лес рубкой, валкой
вырубить|Выбрав, срубить
вырубить|Рубя, вынуть, удалить, а также изготовить рубящим инструментом
вырубить|Добыть руду, уголь
вырубить|Выключить при помощи рубильника
вырубка|Место, где вырублен, повален лес
выругаться|Произнести ругательство
выручалочка|О том, что или кто всегда помогает, выручает
выручить|Помочь кому–нибудь в трудных обстоятельствах
выручить|Получить плату за проданное
выручка|Вырученные от продажи чего–нибудь деньги
вырядить|Одеть очень нарядно
вырядиться|Одеться очень нарядно
высадить|Дать или заставить выйти из повозки, автомобиля, вагона или другого транспортного средства
высадить|Вынуть из земли для посадки в другом месте, а также посадить в землю
высадить|Выломать сильным ударом
высадиться|Выйти из повозки, автомобиля, вагона и другого транспортного средства, прибыв куда–нибудь
высватать|Сватая или сватаясь, получить согласие родителей будущего жениха или будущей невесты на брак
высверлить|Сверля, сделать отверстие
высверлить|Сверля, извлечь
высветить|Ярко осветить в темноте
высвистывать|Свистеть, старательно выводя мелодию
высвободить|Вынуть, освободить от чего–нибудь стесняющего
высвободить|Освободить, взяв откуда–нибудь
