за вычетом|за исключением, кроме кого–чего–нибудь  
вычислитель|специалист по вычислительной технике  
вычислительный|относящийся к вычислениям или вычислительной технике  
вычислить|установить, подсчитывая; высчитать  
вычислить|обработать числовую информацию ручным или машинным способом  
вычислить|верно рассчитать, что кто–нибудь будет поступать, поведет себя определенным образом  
вычисление|действие по вычислению, подсчет  
вычислительный|предназначенный для вычислений, обработки информации  
вычистить|очистить полностью  
вычиститься|очиститься полностью  
вычитаемое|число или выражение, которое вычитается из другого  
вычитание|обратное сложению математическое действие: нахождение одного из слагаемых по сумме и другому слагаемому  
вычитать|узнать, читая  
вычитать|выверить, читая  
вычитка|процесс выверения, чтения для проверки  
вычесть|произвести действие вычитания  
вычленить|выделить как самостоятельное или отдельное  
вычленение|действие по выделению как самостоятельного или отдельного  
вычурный|излишне затейливый, нарочито усложненный, замысловатый  
вычурность|свойство быть излишне затейливым, нарочито усложненным  
вычуры|излишняя вычурность в исполнении чего–нибудь  
вышагивать|ходить, идти, мерно или важно шагая  
вышвырнуть|швырнув, выбросить  
вышвырнуть|выгнать, заставить уйти откуда–нибудь  
вышвыривать|швырять, выбрасывать  
выше|в предшествующем месте речи, текста  
выше|вверх по течению реки от какого–нибудь места  
выше|по направлению вверх от чего–нибудь  
выше|превосходя возможные пределы чего–нибудь  
выше...|первая часть сложных слов со значением: ранее, прежде (о сказанном, написанном)  
выше...|первая часть сложных слов со значением: расположенный по направлению вверх от чего–нибудь  
выше...|первая часть сложных слов со значением: руководящий, главный  
вышелушить|шелуша, вынуть  
вышелушивать|вынуть из шелухи  
вышестоящий|более высокий в административном, руководящем отношении  
вышибала|служащий трактира или какого–нибудь заведения, выгоняющий пьяных посетителей  
вышибить|резким толчком выбить, удалить  
вышибить|выгнать, заставить уйти  
вышибать|выбивать резким толчком  
вышивальщик|человек, занимающийся вышиванием  
вышивальщица|женщина, занимающаяся вышиванием  
вышивание|действие по вышиванию  
вышивание|вышитая или вышиваемая вещь  
вышивка|вышитый узор  
вышивочный|относящийся к вышивке  
вышина|то же, что высота  
вышина|высоко расположенное пространство  
вышить|изобразить шитьем  
вышить|украсить шитьем  
вышивать|действие по изображению или украшению шитьем  
вышивальный|относящийся к вышиванию  
вышка|верхняя, пристроенная наверху часть здания  
вышка|высокая башня или сооружение, оборудованное на какой–нибудь вышине для наблюдения или технических надобностей  
вышка|высшая мера наказания  
вышечный|относящийся к вышке  
вышколить|научить, обучить строго и тщательно  
вышутить|подшучивая, высказать отрицательное отношение к кому–чему–нибудь, представить в смешном виде  
вышучивать|подшучивать, высказывать отрицательное отношение, представляя в смешном виде  
выщербить|испортить, сделав зазубрины, щербины  
выщерблять|делать зазубрины, щербины  
выщипать|щипля, удалить, вырвать  
выщипывать|удалять, выщипывать  
выщипнуть|удалить, выщипать однократно  
выя|то же, что шея  
вьшный|относящийся к вые  
выявить|сделать явным, обнаружить, вскрыть  
выявлять|делать явным, обнаруживать, вскрывать  
выявление|действие по деланию явным, обнаружению, вскрытию  
выявиться|обнаружиться, стать явным, оказаться  
выявляться|обнаруживаться, становиться явным  
выяснить|привести в ясность  
выяснять|приводить в ясность  
выяснение|действие по выяснению  
выясниться|стать ясным, понятным; объясниться  
выясняться|становиться ясным, понятным; объясняться  
вьетнамский|относящийся к вьетнамцам, их языку, национальному характеру, образу жизни, культуре, либо к Вьетнаму, его территории, внутреннему устройству, истории; такой, как у вьетнамцев, как во Вьетнаме  
вьетнамцы|народ, составляющий основное население Вьетнама  
вьетнамка|женщина, представительница вьетнамского народа  
вьюга|снежная буря  
вьюжный|относящийся к вьюге  
вьюжить|о вьюге: мести  
вьюк|упакованная поклажа, перевозимая на спине животных, а также сумка для такой поклажи  
вьючный|относящийся к перевозкам вьюков, вьюками  
вьюновый|относящийся к вьюну  
вьюн|небольшая очень подвижная рыбка, родственная карпу, с вытянутым червеобразным телом и мелкой чешуей  
вьюн|о юрком, вертлявом человеке или зверьке, а также о ловкаче, проныре  
вьюнок|вьющееся травянистое растение или кустарничек с бело-розовыми цветками  
вьюнковый|относящийся к вьюнку  
вьюрковые|семейство небольших птиц подотряда певчих воробьиных с сильным толстым клювом  
вьюрок|небольшая северная лесная птица отряда воробьиных  
вьюрковый|относящийся к вьюрку  
вьючить|класть вьюками или нагружать вьюками  
навьючить|нагрузить вьюками  
вьючное|относящееся к перевозке грузов вьюками  
вьюшечный|относящийся к вьюшке  
вьюшка|род крышки, закрывающей печную трубу для прекращения тяги  
вяжущий|неприятно кислый, вызывающий оскомину  
вяжущий|вязкий и стягивающий  
вяжущее|вещество, стягивающее ткани, применяемое в медицине или строительстве  
вяз|большое лиственное дерево с прочной древесиной семейства ильмовых  
вязовый|относящийся к вязу  
вязальщик|человек, который занимается вязанием  
вязальщица|женщина, которая занимается вязанием  
вязание|действие по вязанию  
вязание|связанная вещь или вещь, которую вяжут
