гаер|То же, что шут
гаерский|Относящийся к гаеру, к его поведению, характеру
гаерничать|Вести себя подобно гаеру, кривляться
гаерствовать|Вести себя подобно гаеру, кривляться
гаерство|Ведение себя подобно гаеру, кривляние
гаечный|Относящийся к гайке
газ|Вещество в таком состоянии, при котором его частицы движутся свободно и распространяются по всему доступному пространству, равномерно заполняя его
газ|Газообразное топливо
газ|Нагревательное, осветительное или другое устройство, потребляющее такое топливо
газ|Газообразные выделения желудка и кишечника
газовый|Относящийся к газу, газообразному топливу, газовым устройствам
газ|Шелковая прозрачная ткань
газовый|Относящийся к шелковой прозрачной ткани
газават|У мусульман: священная война, объявленная против иноверцев
газель|Родственное антилопе полороговое млекопитающее, отличающееся стройностью и быстротой бега
газелий|Относящийся к газели
газета|Периодическое издание в виде больших листов, обычно ежедневное, посвященное событиям текущей политической и общественной жизни
газетный|Относящийся к газете
газетчик|Работник газеты
газетчик|Уличный продавец газет
газетчица|Женщина – работник газеты или уличный продавец газет
газик|Род вездеходного легкового автомобиля (по марке Горьковского автомобильного завода)
газировать|Насытить или насыщать жидкость газом
газирование|Насыщение жидкости газом
газация|Насыщение жидкости газом
газировка|Газированная вода
газировка|Насыщение жидкости газом
газифицировать|Снабдить или снабжать газовым топливом
газифицировать|Превратить или превращать твердое или жидкое топливо в горючий газ, добыть или добывать газ из чего–нибудь
газификация|Снабжение газовым топливом, превращение топлива в горючий газ
газо|Первая часть сложных слов со значением газовый, относящийся к газу, к использованию газа
газовать|Увеличивать скорость движения автомашины
газовик|Работник газовой промышленности
газовщик|Специалист по газификации, а также по обслуживанию газовых установок
газовщица|Женщина – специалист по газификации, а также по обслуживанию газовых установок
газовщицкий|Относящийся к специальности газовщика
газогенератор|Аппарат для термической переработки твердого и жидкого топлива в горючий газ
газогенераторный|Относящийся к газогенератору
газометр|Прибор для измерения расхода газа
газомерный|Относящийся к газометру
газон|Площадка в саду, парке, на бульваре, около дома, засеянная травой, а также трава, посеянная на этой площадке
газонный|Относящийся к газону
газоносный|Содержащий запасы природного газа
газоносность|Свойство содержать запасы природного газа
газообразный|Обладающий физическими свойствами газа
газообразность|Свойство обладания физическими свойствами газа
газопровод|Трубопровод для передачи на расстояние природного горючего газа
газопроводный|Относящийся к газопроводу
газоубежище|Убежище для укрытия людей от удушливых, отравляющих газов
гаитяне|Латиноамериканский народ, составляющий основное население республики Гаити
гаитяне|Население острова Гаити
гаитянка|Женщина, относящаяся к народу Гаити или населению острова Гаити
гаитийцы|Латиноамериканский народ, составляющий основное население республики Гаити
гаитийцы|Население острова Гаити
гаитийка|Женщина, относящаяся к населению острова Гаити
гаитянский|Относящийся к гаитянам, к их языкам, национальному характеру, образу жизни, культуре, а также к Республике Гаити, ее территории, внутреннему устройству, истории; такой, как у гаитян, как в Республике Гаити
гаитийский|Относящийся к гаитянам, к их языкам, национальному характеру, образу жизни, культуре, а также к Республике Гаити, ее территории, внутреннему устройству, истории; такой, как у гаитян, как в Республике Гаити
гаишник|Работник Государственной автомобильной инспекции
гайдамак|На Правобережной Украине в XVIII веке: участник народно-освободительного движения против польских помещиков
гайдамак|В годы гражданской войны на Украине: участник вооруженного националистического формирования, противоборствующего установлению новых порядков
гайдамацкий|Относящийся к гайдамакам
гайдук|На Балканах и в Венгрии в эпоху турецкого владычества: повстанец–партизан
гайдук|В крепостнической России: выездной лакей
гайдуцкий|Относящийся к гайдукам
гайка|Навинчивающаяся на винт или болт скрепляющая деталь (обычно многогранная металлическая плашка со сквозным отверстием)
гаечный|Относящийся к гайке
гайморит|Воспаление слизистой оболочки (иногда также костных стенок) гайморовой полости
гайморитный|Относящийся к гаймориту
гайморов|Верхнечелюстная пазуха, придаточная парная полость носа
гала|Большой и яркий, праздничный
галактика|Гигантская звездная система
галактический|Относящийся к галактике
галантерея|Мелкие принадлежности туалета, личного обихода
галантерея|Магазин, торгующий мелкими принадлежностями туалета, личного обихода
галантерейный|Относящийся к галантерее
галантный|Изысканно–вежливый, любезный
галантность|Изысканная вежливость, любезность
галдеть|Громко говорить, орать (преимущественно о многих)
галдёж|Многоголосый крик, шум
галера|Старинное гребное многовёсельное военное судно, на котором в Западной Европе гребцами обычно были каторжники
галерный|Относящийся к галере
галерея|Узкое крытое помещение, соединяющее части здания, а также длинный балкон вдоль здания
галерея|Верхний ярус театра
галерея|Длинный подземный ход в каких–нибудь сооружениях, при горных работах
галерея|Художественный музей
галерея|Длинный ряд, вереница
галерейный|Относящийся к галерее
галета|Сухое печенье из пресного теста
галетный|Относящийся к галете
галечник|Горная порода из скоплений гальки с примесью гравия и песка
галечный|Относящийся к гальке
галёрка|То же, что галерея (верхний ярус театра)
галерочный|Относящийся к галёрке
галиматья|Чепуха, бессмыслица
галифе|Брюки, облегающие колени, с боков расширяющиеся кверху и заправляемые в сапоги
галифе|О брюках: такого покроя
галка|Небольшая птица семейства вороновых с серо–сине–чёрным оперением
галочка|Уменьшительное от галка
галочий|Относящийся к галке
галлицизм|Слово или оборот речи в каком–нибудь языке, заимствованные из французского языка или созданные по образцу французского слова или выражения
галломан|Человек, подверженный галломании
галломанка|Женщина, подверженная галломании
галломания|Пристрастие ко всему французскому, слепое преклонение перед ним
