гваздаться|Пачкаться, грязниться
гвалт|Крик, шум
гвардеец|Военнослужащий гвардии
гвардия|Отборные, лучшие войска
гвардия|Лучшая, испытанная часть какого–нибудь коллектива, группы
гватемальский|Относящийся к гватемальцам, к их языку, национальному характеру, образу жизни, культуре, а также к Гватемале, ее территории, внутреннему устройству, истории; такой, как у гватемальцев, как в Гватемале
гватемальцы|Латиноамериканский народ, составляющий основное население Гватемалы
гвоздик|О тонком удлиненном предмете
гвоздика|Травянистое дикорастущее и садовое растение с яркими цветками и с пряным запахом
гвоздика|Пряность из сушеных цветочных почек гвоздичного дерева
гвоздильный|Относящийся к производству гвоздей
гвоздить|Бить, колотить изо всех сил
гвоздить|Упорно повторять одно и то же
гвоздь|Заостренный стержень, обычно железный, со шляпкой на тупом конце
гвоздь|Самое значительное, интересное среди чего–нибудь другого
где|В каком месте
где|То же, что где–нибудь
где|Употребляется для выражения отрицания, сомнения
где–либо|То же, что где–нибудь
где–нибудь|В каком–нибудь, точно не известном, месте
где–то|В каком–то месте
где–то|Приблизительно, как–то, в чем–то
гегемон|Государство или класс, осуществляющее гегемонию и являющееся основной движущей силой чего–нибудь
гегемонизм|Политика, основанная на стремлении к мировому господству, к господству над другими странами и народами
гегемония|Первенствующее положение в руководстве одного государства над другим государством или одного класса над другим классом
геенна|В религии: место вечных мук грешников, ад
гейзер|Источник, время от времени выбрасывающий фонтаны горячей воды и пара
гейша|В Японии: профессиональная танцовщица и певица, приглашаемая для приема и развлечения гостей
гекзаметр|Стихотворный размер: в античном стихосложении шестистопный дактиль, в русском – шестистопный дактиль с хореическим окончанием
гектар|Единица земельной площади, равная 10 000 кв. м
гекто|Первая часть сложных слов со значением единицы, равной ста тем единицам, которые названы во второй части сложения
гектограф|Простейший аппарат для размножения оттисков с рукописного или машинописного текста
гелий|Химический элемент, инертный газ без цвета и запаха, самый легкий газ после водорода
гелио|Первая часть сложных слов со значением относящийся к Солнцу, к солнечной энергии
гелиотехника|Отрасль науки и техники, теория и практика преобразования энергии солнечной радиации в энергию других видов, удобных для практического использования
гелиотроп|Кустарниковое или травянистое растение с лиловыми или белыми цветками
гелиотроп|Минерал темно–зеленого цвета с красными крапинками, вид халцедона
гель|Студенистое вещество, обладающее некоторыми свойствами твердых тел
гемоглобин|Красный пигмент крови, переносящий кислород от органов дыхания к тканям
геморрой|Болезнь – расширение вен нижней части прямой кишки
ген|Материальный носитель наследственности, единица наследственного материала, определяющая формирование элементарного признака в живом организме
ген|Первая часть сложных слов со значением генеральный, например генплан, генсовет, генштаб, генподрядчик
генеалогия|Раздел исторической науки, изучающий происхождение и связи отдельных родов
генеалогия|История рода, родословие
генезис|Происхождение, история зарождения
генерал|Звание или чин высшего командного состава армии, а также лицо, носящее это звание или имеющее соответствующий чин
генерал–губернатор|В России в 1703–1917 годах: высшее должностное лицо губернской администрации, обладающее гражданской и военной властью
генерал–губернатор|В странах британского Содружества: должностное лицо, представляющее английскую королевскую власть
генералиссимус|Высшее воинское звание, присваиваемое за особо выдающиеся военные заслуги, а также лицо, носящее это звание
генералитет|Генералы, высшее командование армии
генеральный|Главный, основной, ведущий
генеральный|Общий, основательный, коренной
генеральный|Возглавляющий какую–нибудь отрасль, систему учреждений, организаций
генеральша|Жена генерала
генератор|Общее название устройств, машин, производящих какой–нибудь продукт, вырабатывающих энергию или преобразующих один вид энергии в другой
генетик|Специалист по генетике
генетика|Наука о законах наследственности и изменчивости организмов
генетический|То же, что ген, генезис и генетика
гениальный|Обладающий гением, свойственный гению
гений|Высшая творческая способность
гений|Человек, обладающий такой способностью
гений|В мифологии: дух – покровитель человека, позже вообще олицетворение добрых или злых сил
гено|Первая часть сложных слов со значением относящийся к генам
