глазник|То же, что окулист  
глазница|Парная костная впадина в лицевой части черепа, вмещающая глазное яблоко  
глазок|Небольшое круглое отверстие в чем–нибудь (для надзора, наблюдения, обзора)  
глазок|Почка, срезаемая с растения для прививки  
глазок|Небольшое углубление с почками на поверхности картофельного клубня  
глазок|Пигментное пятно (в окраске насекомых, птиц, растений), а также кружок, пятнышко в рисунке ткани  
глазомер|Способность определять расстояние на глаз, без приборов  
глазунья|Яичница, в которой желток не сболтан с белком  
глазуровать|Покрыть или покрывать глазурью  
глазуровка|Покрытие глазурью  
глазурование|Действие по покрытию глазурью  
глазурь|Закрепляемый обжигом глянцевитый стеклообразный сплав для покрытия керамических изделий  
глазурь|Густой сахарный сироп для приготовления цукатов, для обливки готовых мучных изделий  
гланды|Небные миндалины  
глас|То же, что голос  
гласить|Содержать в себе какое–нибудь утверждение  
гласность|Открытая и полная информация всего населения о любой общественно значимой деятельности и возможность ее свободного и широкого обсуждения  
гласный|Доступный для общественного ознакомления и обсуждения  
гласный|О звуках речи: при своем образовании не встречающий препятствий со стороны органов речи, образуемый без участия шума; также о буквах, изображающих такой звук  
глаукома|Болезнь глаз, вызванная повышением внутриглазного давления  
глашатай|В старину: вестник, всенародно объявляющий, возвещающий что–нибудь  
глашатай|Тот, кто провозглашает что–нибудь, провозвестник  
глетчер|То же, что ледник  
глина|Осадочная горная порода, в измельченном виде в соединении с водой образующая тестообразную массу, употребляется для гончарных изделий, кирпича, строительных и скульптурных работ  
глинистый|Содержащий глину  
глинобитный|Сделанный из смеси глины с соломой и другими материалами  
глинозём|Природная окись алюминия  
глинтвейн|Горячий напиток из красного вина с сахаром и пряностями  
глиссер|Небольшое мелкосидящее быстроходное судно, легко скользящее по поверхности воды  
глист|Червь, паразитирующий в теле человека и животных, преимущественно в кишечнике  
глистогонный|О лекарстве: изгоняющий глистов  
глицерин|Вязкая прозрачная жидкость, получаемая путем химической обработки жиров, употребляется для медицинских и технических целей  
глициния|Вьющееся декоративное растение – лиана семейства бобовых с кистями душистых цветков  
глобальный|Охватывающий весь земной шар  
глобальный|Полный, всеобъемлющий  
глобус|Вращающаяся модель земного шара или другого сферического небесного тела с его картографическим изображением  
глодать|Грызть, объедая, обкусывая мякоть зубами  
глодать|Мучить, терзать  
глотать|Движением глотки проталкивать что–нибудь изо рта в пищевод  
глотать|Принимать молча что–нибудь обидное, скрывать свою обиду  
глотать|Читать быстро, залпом  
глотнуть|Сделать глотательное движение  
глотание|Действие по проталкиванию чего–нибудь глоткой изо рта в пищевод  
глоток|Количество жидкости, выпиваемое при одном глотательном движении  
глотательный|Служащий для глотания  
глотка|Участок пищеварительного канала, соединяющий полость рта с пищеводом  
глотка|То же, что горло  
глоточный|Относящийся к глотке  
глохнуть|Становиться глухим  
глохнуть|Слабеть, затихать, исчезать  
глохнуть|Дичать, зарастать сорняком  
глубина|Протяженность, расстояние от поверхности до дна или до какой–нибудь точки по направлению вниз  
глубина|Место на дне водоема, большого углубления  
глубина|Пространство, расположенное вглубь от границы, от края чего–нибудь  
глубина|Сила, степень проявления чего–нибудь; основательность  
глубинный|Находящийся в глубине, глубоко  
глубинка|Глубинный, далекий от центра пункт, район  
глубинный|О населенном пункте, местности: находящийся далеко от центра, центрального пункта  
глубиномер|Прибор для измерения глубины отверстий, высоты уступов  
глубокий|Имеющий большую глубину, простирающийся на большую глубину  
глубокий|Отдаленный, глубинный  
глубокий|Недоступный, тщательно скрытый  
глубокий|Обладающий глубиной, большой и сильный  
глубокий|Достигший полноты своего проявления, высшего предела  
глубоко...|Первая часть сложных слов со значением: находящийся глубоко, на большой глубине; находящийся глубоко (далеко от центра); глубокий; в большой степени  
глубоководный|Полноводный, с достаточной глубиной для судоходства  
глубоководный|Живущий, действующий на большой глубине, производимый на большой глубине  
глубоководье|Высокий уровень воды в реке, водоеме  
глубокомысленный|Полный глубокомыслия, значительных мыслей  
глубокомысленный|Серьезный, сосредоточенный  
глубокомыслие|Сосредоточенность, глубина в понимании, оценке чего–нибудь  
глубокснежье|Зимнее время глубоких снегов  
глубокоуважаемый|Весьма уважаемый  
глубь|То же, что глубина  
глумиться|Злобно и оскорбительно издеваться  
глухеть|Становиться глупым, глупее, ослабевать разумом  
глупеть|Утрачивать способность мыслить, поступать разумно  
глупец|Глупый человек
