анфас|Лицом к смотрящему  
анфилада|Длинный сквозной ряд комнат в общественных зданиях, дворцах, больших домах  
анчар|Тропическое южноазиатское дерево, также кустарник семейства тутовых, один из видов которого содержит ядовитый млечный сок  
анчоус|Мелкая морская рыба, родственная сельди, консервируемая в уксусе с пряностями, хамса  
аншлаг|Объявление о том, что все билеты на спектакль, концерт, представление проданы  
аншлаг|Успешное представление при полном зале  
аншлаг|Крупный заголовок в газете  
анютины глазки|Крупные трехцветные садовые фиалки с глазком в середине  
анютки|То же, что анютины глазки  
аорта|Главная, самая крупная артерия, питающая артериальной кровью все ткани и органы тела  
апартаменты|Большое парадное жилое помещение  
апартеид|Крайняя форма расовой дискриминации, выражающаяся в ограничении прав коренных жителей страны и в их территориальной изоляции  
апатит|Минерал класса фосфатов, сырье для производства суперфосфата, фосфорной кислоты  
апатичный|Склонный к апатии, полный апатии  
апатия|Состояние полного безразличия, равнодушия  
апачи|Группа индейских народов, живущих на юго-западе США  
апаш|Воротник апаш — открытый и широкий  
апаш|Рубашка апаш с открытым широким воротом  
апеллировать|Подать апелляцию  
апеллировать|Обратиться за советом, поддержкой  
апелляция|Обжалование решения суда в более высокую судебную инстанцию с целью пересмотра дела  
апелляция|Обращение с просьбой, с призывом о чём–нибудь  
апельсин|Цитрусовое дерево, а также сочный ароматный кисло-сладкий плод его с мягкой кожурой оранжевого цвета  
апельсиновый|Оранжевый, цвета кожуры зрелого апельсина  
аперитив|Слабый спиртной напиток, возбуждающий аппетит  
апитерапия|Лечение пчелиным ядом  
аплодировать|Хлопать в ладоши в знак одобрения, рукоплескать  
аплодисменты|Рукоплескания в знак одобрения или приветствия  
апломб|Излишняя самоуверенность в поведении, в речи  
апогей|Наиболее удаленная от Земли точка лунной орбиты или орбиты искусственного спутника Земли  
апогей|Высшая степень, расцвет чего–нибудь  
апокалипсис|Библейская книга из Нового Завета, содержащая пророчества о конце света  
апокриф|Произведение иудейской или раннехристианской литературы на библейскую тему, не включенное в канонический текст Библии и отвергаемое церковью как недостоверное  
аполитизм|Безразличие к вопросам политики, к общественно-политической жизни  
аполитичный|Безразличный к вопросам политики, характеризующийся аполитизмом  
апологет|Тот, кто выступает с апологией кого–чего–нибудь  
апология|Неумеренное, чрезмерное восхваление, защита кого–чего–нибудь  
апоплексия|Внезапно развивающееся кровоизлияние в какой–нибудь орган, например в мозг, сопровождающееся внезапной потерей сознания, параличом  
апорт|Сорт крупных сладких яблок  
апостериори|На основании опыта, имеющихся данных  
апостериорный|Опирающийся на опыт, основанный на знании фактов  
апостол|В христианстве: ученик Христа, несущий людям его учение  
апостол|Последователь и распространитель какой–нибудь идеи  
апостол|Богослужебная книга, содержащая Деяния и Послания апостолов  
апостроф|Надстрочный знак в виде запятой  
апофеоз|Прославление, возвеличение кого–чего–нибудь  
апофеоз|Торжественная заключительная массовая сцена некоторых театральных представлений  
аппарат|Прибор, техническое устройство, приспособление  
аппарат|Совокупность органов, выполняющих какую–нибудь особую функцию организма  
аппарат|Совокупность учреждений, обслуживающих какую–нибудь отрасль управления, хозяйства  
аппарат|Совокупность сотрудников учреждения, организации, какой–нибудь области управления  
аппаратная|Помещение, в котором установлена аппаратура  
аппаратура|Аппараты  
аппаратчик|Специалист, управляющий аппаратом, несколькими аппаратами  
аппаратчик|Работник аппарата  
аппендикс|Червеобразный отросток слепой кишки  
аппендицит|Воспаление аппендикса  
апперцепция|Восприятие, узнавание на основе прежних представлений  
аппетит|Желание есть  
аппетит|Потребность, желание  
аппетитный|Возбуждающий аппетит  
аппликация|Изготовление рисунка из наклеенных или нашитых на что–нибудь кусков цветной бумаги, материи  
аппликация|Изготовленная таким образом картина, украшение  
апрель|Четвертый месяц календарного года
