гордец|Заносчивый, чрезмерно гордый человек  
гордячка|Заносчивая, чрезмерно гордая женщина  
грдиев узел|О запутанном стечении обстоятельств  
гордиться|Испытывать гордость от чего–нибудь  
гордиться|Испытывать гордость кем–нибудь  
гордость|Чувство собственного достоинства, самоуважения  
гордость|Чувство удовлетворения от чего–нибудь  
гордость|О том, кем или чем гордятся  
гордость|Высокомерие, чрезмерно высокое мнение о себе, спесь  
гордый|Исполненный чувства собственного достоинства, сознающий свое превосходство  
гордый|Заключающий в себе нечто возвышенное, высокое  
гордый|Испытывающий чувство гордости  
гордый|Чересчур самоуверенный, надменный, самолюбивый  
гордыня|Непомерная гордость  
горе|Скорбь, глубокая печаль  
горе|Несчастье  
горе|В сочетании с другим существительным означает: плохой, неумелый  
горюшко|Уменьшительно–ласкательное к горе, скорби  
горевать|Испытывать чувство горечи, горести  
горелка|В осветительных и нагревательных приборах: приспособление, в котором происходит горение жидкости, газа или пылевидного топлива  
горелочный|Относящийся к горелке  
горелки|Русская народная игра, в которой один из участников ловит других, убегающих от него поочередно парами  
горелый|Обожжённый или повреждённый огнём, жаром  
горелый|То же, что подгорелый  
горелый|Истлевший, прелый  
горельеф|Скульптурное изображение на плоскости, в котором фигуры выступают более чем на половину своего объёма  
горельефный|Относящийся к горельефу  
горемыка|Горемычный человек  
горемычный|Несчастный, злополучный  
горенка|Комната (см. горница)  
горестный|Исполненный горести, печальный, скорбный  
горестность|Свойство быть горестным  
горесть|Горе, печаль, скорбь  
горесть|Тяжёлое переживание  
гореть|Поддаваться действию огня, уничтожаться огнём  
гореть|Об огне, свете: быть, излучаться  
гореть|Быть в жару, в лихорадочном, воспалённом состоянии  
гореть|Краснеть от прилива крови  
гореть|Сверкать, блестеть  
гореть|Испытывать какое–нибудь сильное чувство; существовать, проявляться (о таком чувстве)  
гореть|Отдаваться полностью какому–нибудь делу, отдавать все силы на что–нибудь  
гореть|Преть или гнить, нагреваясь  
гореть|Быстро изнашиваться, рваться  
гореть|Быть под угрозой невыполнения, неиспользования из–за опоздания, упущения сроков  
горец|Житель гор  
горянка|Жительница гор  
горский|Относящийся к горцам  
горечь|Горький вкус  
горечь|Что–нибудь горькое  
горечь|Горькое чувство от обиды, неудачи, разочарования  
горжет|Полоса меха или шкурка, носимая в качестве воротника  
горжетка|Полоса меха или шкурка, носимая в качестве воротника  
горжеточный|Относящийся к горжету  
горизонт|Видимая граница неба и земной или водной поверхности, а также небесное пространство над этой границей  
горизонт|Все видимое вокруг наблюдателя пространство  
горизонт|Круг знаний, идей  
горизонт|Круг будущих действий и возможностей  
горизонт|Высота воды в реке или водоёме, в почве, а также уровень чего–нибудь  
горизонт|Совокупность пластов горных пород  
горизонталь|Горизонтальная линия  
горизонтальный|Расположенный вдоль линии горизонта  
горизонтальный|Расположенный, осуществляемый по горизонтали  
гористый|Пересечённый горами, с горами  
гористость|Свойство быть пересечённым горами  
горихвостка|Небольшая певчая птица семейства дроздовых с рыжим хвостом  
горицвет|Название некоторых диких и декоративных травянистых растений семейства гвоздичных с ярко–жёлтыми и красными цветками  
горка|Кучка, кипка чего–нибудь  
горка|Система железнодорожных путей с уклоном для сортировки вагонов  
горка|Фигура пилотажа — полёт по восходящей траектории без крена  
горкнуть|Портясь, становиться горьким на вкус  
горком|Городской комитет  
горкомовский|Относящийся к городскому комитету  
горлан|То же, что крикун  
горланить|Громко говорить, кричать, петь  
горластый|Крикливый, с громким голосом  
горластость|Свойство быть крикливым  
горлинка|Небольшая птица семейства голубиных  
горлица|Небольшая птица семейства голубиных  
горло|Передняя часть шеи  
горло|Общее название зева, глотки и гортани  
горло|Верхняя суженная часть сосуда  
горло|Пролив, соединяющий залив с морем, а также рукав, соединяющий устье реки с морем, озером  
горлышко|Узкое горло  
горловой|Относящийся к горлу  
горловик|Ларинголог  
горловина|Глубокое и суживающееся отверстие в чём–нибудь; глубокий и узкий проход  
горловинный|Относящийся к горловине  
горлодёр|То же, что горлопан  
горлодёр|То, что раздражает горло  
горлопан|Горлан, крикун  
горлохват|Нахал, добивающийся своего криком, бесцеремонным нажимом  
горлышко|См. горло  
гормон|Биологически активное вещество, вырабатываемое специальными органами или клетками в одной части организма и регулирующее деятельность органов и тканей в других частях организма  
гормональный|Относящийся к гормону  
гормонный|Относящийся к гормону  
гормя|Очень сильно гореть  
горн|Печь для переплавки металлов или обжига керамических изделий, а также кузнечный очаг с мехами и поддувалом для накаливания металла  
горн|Нижняя часть доменной печи, вагранки  
горн|Медный духовой мундштучный музыкальный инструмент, сигнальный рожок  
горновой|Относящийся к горну  
горний|Находящийся в вышине и сходящий с вышины, с небес  
горнило|То, что является средоточием испытаний, переживаний  
горнист|Музыкант, играющий на горне  
горница|Комната  
горница|Чистая половина крестьянской избы  
горенка|Комната  
горничная|Работница, прислуживающая в частном доме, убирающая комнаты  
горничная|Работница в гостинице, убирающая комнаты
