горчить|Иметь горьковатый привкус
горчица|Травянистое растение семейства крестоцветных с желтыми цветками, семена которого используются в пищевой промышленности, в медицине и технике
горчица|Острая приправа к пище из семян этого растения
горчичка|Уменьшительно-ласкательное к горчица
горчичный|Относящийся к горчице
горчичный|Желтовато-коричневый, цвета горчицы
горчичник|Пластырь, лист плотной бумаги, покрытый слоем горчичного порошка, вызывающий прилив крови и оказывающий противовоспалительное и обезболивающее действие
горчичница|Баночка для горчицы
горшечник|Гончар, изготовляющий горшки, глиняную посуду
горшок|Округлый глиняный сосуд для приготовления и хранения пищи
горшок|Сосуд для мочи, испражнений
горшечный|Относящийся к изготовлению или свойствам горшков
горшочный|Относящийся к изготовлению или свойствам горшков
горький|Имеющий своеобразный едкий и неприятный вкус
горький|Горестный, тяжелый
горькость|Свойство горького вкуса
горько-солёный|Горького и соленого вкуса
горько-солёный|О воде: содержащий горькие, главным образом сернокислые соли
горючий|Способный гореть
горючее|Топливо для двигателей: бензин, керосин и тому подобные
горючесть|Свойство способности гореть
горючий|Горькие слезы
горянка|Женская форма к слову горец
горячий|Имеющий высокую температуру
горячий|Полный силы, чувств, возбуждения, страстный
горячий|Производимый с помощью нагревания или при высоких температурах
горячий|Вспыльчивый, легко возбуждающийся
горячий|Напряженный, проходящий в спешной, напряженной работе
горячительный|Возбуждающий, согревающий (о напитках – алкогольные)
горячить|Согревать, а также возбуждать, раздражать
горячиться|Возбужденно говорить, действовать
горячка|Сильное возбуждение, азарт, спешка в каком-нибудь деле
горячка|Лихорадка
горячечный|Относящийся к горячке, лихорадке
горячность|Возбужденность, вспыльчивость, несдержанность
госбюджет|Государственный бюджет
госбанк|Государственный банк
госкомитет|Государственный комитет
госкредит|Государственный кредит
госдепартамент|Государственный департамент
госпитализировать|Поместить в больницу, в госпиталь для лечения
госпитализация|Процесс помещения в больницу, в госпиталь для лечения
госпиталь|Больница, преимущественно военная
госпитальный|Относящийся к госпиталю
господи|Боже
господин|Человек из привилегированных кругов
господин|Человек, обладающий властью над теми, кто от него зависит, повелитель
господин|Тот, кто властен распоряжаться чем-нибудь
господин|Форма вежливого обращения или упоминания при фамилии или звании
госпожа|Женская форма к слову господин
господский|Относящийся к господину, к привилегированным кругам
господствовать|Обладать властью или преимуществом перед кем-нибудь или где-нибудь
господствовать|Преобладать, быть распространенным
господствовать|Возвышаться, подниматься над чем-нибудь
господство|Власть или преимущество над кем-нибудь или где-нибудь, преобладание
господь|В христианстве: Бог
господний|Относящийся к Господу
господень|Относящийся к Господу
госсек|Государственный секретарь
госстрах|Государственное страхование
госстраховский|Относящийся к государственному страхованию
гостенёк|Уменьшительно-ласкательное к гость
гостеприимный|Радушный к гостям
гостеприимность|Свойство быть радушным к гостям
гостеприимство|Радушие по отношению к гостям
гостёк|Уменьшительно-ласкательное к гость
гостиная|Комната для приема гостей
гостиная|Комплект мебели для такой комнаты
гостинец|Подарок, преимущественно о сладостях
гостинчик|Уменьшительно-ласкательное к гостинец
гостиница|Дом для временного проживания приезжающих с номерами и обслуживанием
гостиничный|Относящийся к гостинице
гостинодворский|Относящийся к гостиному двору
гостить|Жить у кого-нибудь в качестве гостя
гащивать|Многократное действие к гостить
гость|Тот, кто посещает, навещает кого-нибудь с целью повидаться, побеседовать, вместе провести время
гость|О неожиданном пришельце, о том, кто появился неожиданно
гость|Постороннее лицо, приглашенное присутствовать на собрании, заседании, празднике
гость|Купец, ведущий заморскую торговлю
гостек|Уменьшительно-ласкательное к гость
гостенек|Уменьшительно-ласкательное к гость
гостинька|Уменьшительно-ласкательное к гость
гостья|Женская форма к слову гость
гостевой|Относящийся к гостям, для гостей
государственность|Государственный строй, государственная организация
государственный|Относящийся к государству
государственный|Способный мыслить и действовать широко и мудро, в масштабах всего государства
государство|Основная политическая организация общества, осуществляющая его управление, охрану его экономической и социальной структуры
государство|Страна, находящаяся под управлением политической организации
государь|В Древней Руси: князь-правитель
государь|Единовластный правитель, царь
государыня|Женская форма к слову государь
государский|Относящийся к государю, к князю-правителю
государев|Принадлежащий государю
готика|Стиль средневековой западноевропейской архитектуры, характеризующийся остроконечными сооружениями, стрельчатыми сводами, обилием каменной резьбы и скульптурных украшений
готический|Относящийся к готике
готовальня|Набор чертежных инструментов, размещенный в специальном футляре
готовить|Делать годным, готовым для чего-нибудь
готовить|Работать над освоением, выполнением чего-нибудь
готовить|Собираться сделать что-нибудь, замышлять устроить что-нибудь
готовить|Приготовлять пищу, стряпать
готовка|Приготовление пищи
готовиться|Делать приготовления к чему-нибудь
готовиться|Назревать, предстоять (о событиях)
готовность|Согласие сделать что-нибудь
готовность|Состояние, при котором все сделано, все готово для чего-нибудь
готовый|Сделавший все необходимые приготовления
готовый|Такой, который может что-нибудь предпринять или с которым может что-нибудь произойти
готовый|Окончательно сделанный, годный к употреблению
готовенький|Уменьшительно-ласкательное к готовый
готовенькое|Получение чего-нибудь без затраты собственного труда, усилий
готский|Относящийся к готам, их языку, культуре, образу жизни, устройству, истории
готы|Группа древнегерманских племен
гофре|Складки, жестко заутюженные и заложенные с изгибом
гофре|Об изделии: с такими складками
гофрировать|Сделать или делать ряды параллельных фигурных складок, сгибов на тканях, жести, пластике
гофрирование|Процесс создания параллельных фигурных складок, сгибов
гофрировка|Процесс создания параллельных фигурных складок, сгибов
гофрировальный|Относящийся к гофрированию
гофрировочный|Относящийся к гофрированию
