двуглавый|Имеющий две головы, главы  
двугривенный|Монета или сумма в двадцать копеек  
двудольный|Состоящий из двух долей  
двудомный|О растениях: обладающий цветками обоего пола, расположенными на разных особях  
двуединый|Состоящий из двух частей, двух элементов и образующий единство  
двужильный|Выносливый, сильный  
двузначный|Состоящий из двух цифр  
двузначный|Имеющий два значения  
двуколка|Двухколесная повозка  
двукратный|Произведенный, осуществляющийся два раза, увеличенный в два раза  
двукрылые|Отряд насекомых, имеющих только одну (переднюю) пару крыльев  
двуликий|То же, что двуличный  
двуличие|Лицемерие, неискренность  
двуличный|Лицемерный, неискренний  
двунадесять|То же, что двенадцать  
двунадцатый|Двенадцатый  
двунадцатые праздники|Двенадцать важнейших после Пасхи церковных праздников  
двуногий|Имеющий две ноги  
двуногий|О предмете, устройстве: с одной ножкой, опорой  
двуокись|Прежнее название диоксида  
двупалый|Имеющий два пальца на руке или ноге  
двуперстный|О крестном знамении: производимый двумя перстами  
двупланный|Расположенный в двух планах  
двуполый|Об организме человека, животного: имеющий мужские и женские половые органы  
двуполый|О цветке: то же, что обоеполый  
двуполье|Старый способ обработки земли, при котором ежегодно половина земли остается под паром  
двуручный|Имеющий две ручки  
двурушник|Человек, который под личиной преданности кому-либо или чему-либо действует в пользу враждебной стороны  
двурушничать|Быть двурушником, поступать как двурушник  
двурушничество|Поведение двурушника  
двусветный|О помещении: с двумя рядами окон, расположенными один над другим  
двускатный|С двумя скатами в разные стороны  
двусложный|Состоящий из двух слогов  
двусложность|Свойство состоять из двух слогов  
двусмысленность|Двусмысленное выражение, высказывание  
двусмысленный|Имеющий двоякое значение, двоякий смысл  
двусмысленный|Содержащий неприличный, нескромный намек  
двуспальный|Предназначенный для спанья вдвоем  
двустволка|Двуствольное ружье  
двуствольный|Имеющий два ствола, распространяющийся на два ствола  
двустворчатый|Состоящий из двух створов, створок, с двумя створками  
двустишие|Строфа из двух стихов  
двусторонний|С двумя равноценными сторонами  
двусторонний|Имеющий место, осуществляющийся с двух сторон  
двусторонний|Обоюдный, обязательный для обеих сторон  
двутавровый|Имеющий поперечное сечение в форме буквы Н  
двухверстный|Протяженностью в две версты  
двухверстный|Составленный в масштабе двух верст в дюйме  
двухгодичный|Продолжительностью в два года  
двухгодовалый|Возрастом в два года  
двухдневный|Продолжающийся два дня  
двухдневный|Рассчитанный на два дня  
двухкилометровый|Протяженностью в два километра  
двухкилометровый|Составленный в масштабе двух километров в сантиметре  
двухлетие|Срок в два года  
двухлетие|Годовщина события, бывшего два года тому назад  
двухлетний|Существующий или просуществовавший, проживший два года  
двухлетний|О растениях: проходящий круг полного развития до созревания семян в течение двух лет  
двухлеток|Животное в возрасте двух лет  
двухлитровый|Емкостью в два литра  
двухмерный|Имеющий два измерения
