артиллерист|Военнослужащий артиллерии
артиллеристский|Относящийся к артиллеристу
артиллерия|Огнестрельные орудия
артиллерия|Род войск с таким вооружением
артиллерия|Наука, изучающая технику огнестрельных орудий и их применение
артиллерийский|Относящийся к артиллерии
артист|Творческий работник, занимающийся публичным исполнением произведений искусства
артист|Человек, который обладает высоким мастерством в какой–нибудь области
артистка|Женщина–артист
артистический|Свойственный артистам, характерный для них
артистический|Очень искусный
артистичность|Качество, свойственное артистическому
артистичный|То же, что артистический
артишок|Травянистое растение семейства сложноцветных с крупными соцветиями, нижние мясистые части которых идут в пищу
артишоковый|Относящийся к артишоку
артрит|Воспаление сустава, суставов
арфа|Щипковый музыкальный инструмент в виде большой треугольной рамы с натянутыми внутри нее струнами
арфовый|Относящийся к арфе
арфист|Музыкант, играющий на арфе
арфистка|Женщина–музыкант, играющая на арфе
архаизировать|Делать архаичным, устарелым по стилю, по манере изображения
архаизация|Действие по значению глагола архаизировать
архаизм|Устарелое слово, оборот речи или грамматическая форма
архаизм|Пережиток старины
архаика|О чем–нибудь старинном, древнем
архаический|Представляющий собой архаизм, архаику, свойственный старине
архаичный|То же, что архаический
архаичность|Качество, свойственное архаичному
архалук|В старину: род короткого кафтана
архангел|В христианстве: ангел, относящийся к одному из высших ангельских ликов
архангельский|Относящийся к архангелу
архар|Горный дикий баран с закрученными рогами
архаровец|Буян, головорез
археограф|Специалист по археографии
археография|Историческая дисциплина, занимающаяся описанием и изданием письменных памятников прошлого, а также научное собирание таких памятников
археографический|Относящийся к археографии
археолог|Специалист по археологии
археология|Наука, изучающая быт и культуру древних народов по сохранившимся вещественным памятникам
археологический|Относящийся к археологии
архи...|Образует существительные и прилагательные со значением высшей степени чего–нибудь
архив|Учреждение для хранения старых, старинных документов, документальных материалов
архив|Отдел учреждения, где хранятся старые документы
архив|Собрание рукописей, писем и тому подобного, относящихся к деятельности какого–нибудь учреждения, лица
архивный|Относящийся к архиву
архивариус|Сотрудник архива, хранитель архива
архивист|Специалист по архивному делу
архивистка|Женщина–специалист по архивному делу
архиепископ|Епископ, надзирающий над несколькими епархиями; вообще почетный титул епископа, а также лицо, имеющее этот титул
архиепископский|Относящийся к архиепископу
архиерей|Общее название высших чинов православного духовенства
архиерейский|Относящийся к архиерею
архимандрит|Монашеское звание, предшествующее епископу, а также лицо, имеющее это звание
архимандритский|Относящийся к архимандриту
архипелаг|Группа близко расположенных друг к другу морских островов
архипелаговый|Относящийся к архипелагу
архитектоника|Сочетание частей в одном стройном целом, композиция
архитектонический|Относящийся к архитектонике
архитектор|Специалист по архитектуре, зодчий
архитекторша|Женщина–архитектор
архитекторский|Относящийся к архитектору
архитектура|Искусство проектирования и строения зданий, сооружений, зодчество
архитектура|Стиль постройки
архитектура|Здания, сооружения
архитектурный|Относящийся к архитектуре
аршин|Старая русская мера длины, равная 0,71 м
аршин|Линейка, планка такой длины для измерения
аршинный|Очень длинный, большой
арык|В Средней Азии: оросительный канал, канава
арычный|Относящийся к арыку
арьергард|Часть войск или флота, находящаяся позади главных сил
арьергардный|Относящийся к арьергарду
ас|Выдающийся по летному и боевому мастерству летчик
ас|Большой мастер, отличный специалист
асбест|Волокнистый светлый огнеупорный минерал класса силикатов
асбестовый|Относящийся к асбесту
асептика|Предохранение тканей от заражения при операциях, при лечении ран
асептический|Относящийся к асептике
асессор|Коллежский асессор – в царской России: гражданский чин восьмого класса, а также лицо, имеющее этот чин
асессорский|Относящийся к асессору
асимметрический|Лишенный симметрии
асимметричный|Лишенный симметрии
асимметричность|Качество, свойственное асимметричному
асимметрия|Отсутствие, нарушение симметрии
аскет|Человек, который ведет аскетическую жизнь
аскетизм|Строгий образ жизни с отказом от жизненных благ и удовольствий
аскетический|Относящийся к аскетизму
аскорбинка|То же, что аскорбиновая кислота
аскорбиновый|Относящийся к аскорбиновой кислоте
аспект|Точка зрения, взгляд на что–нибудь
аспектный|Относящийся к аспекту
