добре|Ладно, хорошо, добро  
добрессти|Дойти, бредя  
добредать|Дойти, бредя  
добреть|Становиться добрым, добрее, добродушным, добродушнее  
добреть|Толстеть, становиться упитанным, упитаннее  
подобреть|Становиться добрым, добрее, добродушным, добродушнее  
раздобреть|Толстеть, становиться упитанным, упитаннее  
добро|Нечто положительное, хорошее, полезное, противоположное злу; добрый поступок  
добро|Имущество, вещи  
добро|О чем–нибудь плохом, негодном  
добро пожаловать|Приветствие гостю, участникам чего–нибудь, прибывающим куда–нибудь  
дать добро|Дать разрешение, согласие  
от добра добра не ищут|Нужно довольствоваться тем хорошим, что уже есть, и не искать лучшего  
добро|Ладно, хорошо  
добро бы|Пускай бы еще; допустим, что... но  
добро бы|Выражает неодобрение, ироническую оценку при допущении чего–нибудь как возможного в другой ситуации  
доброволец|Человек, который добровольно вступил в действующую армию  
доброволец|Тот, кто добровольно взял на себя какую–нибудь работу  
добровольный|Совершаемый или действующий по собственному желанию, не по принуждению  
добровольность|Состояние совершаемого по собственному желанию  
добродетель|Положительное нравственное качество, высокая нравственность  
добродетельный|Высоконравственный, проявляющий добродетель, полный добродетели  
добродушный|Добрый и мягкий по характеру, незлобивый  
добродушие|Свойство быть добрым и мягким по характеру, незлобивым  
доброжелатель|Тот, кто доброжелательно относится к кому–нибудь  
доброжелательница|Женщина, которая доброжелательно относится к кому–нибудь  
доброжелательный|Желающий добра, готовый содействовать благополучию других, благожелательный  
доброжелательность|Свойство быть желающим добра, готовым содействовать благополучию других  
доброжелательство|Доброжелательное отношение к кому–нибудь  
доброкачественный|Хорошего качества  
доброкачественный|В медицине: не злокачественный  
доброкачественность|Свойство быть хорошего качества или не злокачественным  
добром|По доброй воле, без принуждения  
добром|По–хорошему, без ссоры  
добронравный|Отличающийся хорошим поведением, хорошим нравом  
добронравие|Свойство отличаться хорошим поведением, нравом  
добропорядочный|Приличный, достойный одобрения, порядочный  
добропорядочность|Свойство быть порядочным, достойным одобрения  
добросердечный|Обладающий добрым сердцем, ласковый, участливый  
добросердечие|Свойство обладать добрым сердцем, быть ласковым, участливым  
добросердечность|Свойство обладать добрым сердцем, быть ласковым, участливым  
добросить|Бросив, попасть в какое–нибудь место  
добросовестный|Честно выполняющий свои обязательства, обязанности  
добросовестность|Честное выполнение своих обязательств, обязанностей  
добрососедство|Дружественные отношения соседей  
добрососедский|Относящийся к дружественным отношениям соседей  
доброта|Отзывчивость, душевное расположение к людям, стремление делать добро другим  
добротный|Доброкачественный, прочный  
добротность|Свойство быть доброкачественным, прочным  
доброхот|То же, что доброжелатель  
доброхот|То же, что доброволец  
доброхотный|Добровольный, совершаемый по собственному желанию  
добрый|Делающий добро другим, отзывчивый, а также выражающий эти качества  
добрый|Несущий благо, добро, благополучие  
добрый|Хороший, нравственный  
добрый|Дружески близкий, милый  
добрый|Хороший, отличный  
добрый|Безукоризненный, честный  
добрый|Действительно такой большой, не меньший, чем то, что указывается существительным или числительным  
будьте добры|Форма вежливого обращения с просьбой  
будь добр|Форма вежливого обращения с просьбой, а также выражение подчеркнутого и настойчивого требования  
доброго здоровья|Приветствие при прощании с пожеланием благополучия  
в добрый час|Пожелание удачи  
в добрый путь|Пожелание отъезжающему или пожелание успеха в каком–нибудь начинании  
добрый малый|О неплохом человеке  
