довершить|Довести до конца  
довершать|Довести до конца  
довершение|Довести до конца  
доверять|Испытывать чувство доверия  
довесок|Кусок, дополняющий взвешиваемое до нужного веса  
довесочный|Кусок, дополняющий взвешиваемое до нужного веса  
довести|Ведя, доставить до какого–нибудь места  
довести|Продолжить до какого–нибудь места, предела  
довести|Привести в какое–нибудь состояние, вызвать, породить в ком–чем–нибудь какие–нибудь последствия  
довести|Раздражить, рассердить  
довести|Уведомить, известить о чем–нибудь  
доводить|Ведя, доставить до какого–нибудь места  
доводить|Продолжить до какого–нибудь места, предела  
доводить|Привести в какое–нибудь состояние, вызвать, породить в ком–чем–нибудь какие–нибудь последствия  
доводить|Раздражить, рассердить  
доводить|Уведомить, известить о чем–нибудь  
доводить|Отрабатывать, дорабатывать до состояния окончательной готовности  
доводка|Отрабатывать, дорабатывать до состояния окончательной готовности  
доводочный|Отрабатывать, дорабатывать до состояния окончательной готовности  
довестись|То же, что привестись  
доводиться|То же, что привестись  
доводиться|Быть в том или ином родстве с кем–нибудь  
довлеть|Быть достаточным для кого–чего–нибудь, удовлетворять  
довлеть|Преобладать, господствовать, тяготеть  
довлеть|Не зависеть ни от чего, иметь самостоятельное, самодовлеющее значение  
довод|Мысль, суждение, приводимые в доказательство чего–нибудь, аргумент  
довоеваться|Воюя, потерпеть неудачу  
довоенный|Существовавший до войны  
довозить|То же, что довезти  
доволочить|Дотащить, довести волоком  
доволочь|Дотащить, довести волоком  
доводовлакивать|Дотащить, довести волоком  
довольный|Испытывающий или выражающий удовлетворение, довольство  
довольный|То же, что достаточно  
довольный|До некоторой степени; порядочно  
довольный|Будет, достаточно  
довольствие|Пищевое, вещевое и денежное снабжение  
довольство|Материальный достаток, зажиточность  
довольство|Удовлетворение, удовлетворенное состояние  
довольствовать|Снабжать довольствием  
довольствоваться|Быть на довольствии  
довольствоваться|То же, что удовлетворяться  
удовольствоваться|То же, что удовлетворяться  
довыборы|Дополнительные выборы на освободившиеся места  
дог|Самая крупная короткошерстная служебная собака  
догадаться|Сообразить, понять, в чем дело, напасть на правильную мысль  
догадываться|Сообразить, понять, в чем дело, напасть на правильную мысль  
догадка|Предположение о вероятности, возможности чего–нибудь  
догадка|Сообразительность, способность улавливать существо дела  
догадливый|Сообразительный, легко догадывающийся  
догадливость|Сообразительный, легко догадывающийся  
доглядеть|То же, что досмотреть  
доглядеть|То же, что присмотреть  
догляд|То же, что присмотреть  
догма|Положение, принимаемое на веру за непреложную истину, неизменную при всех обстоятельствах  
догмат|Основное положение в религиозном учении, считающееся непреложной истиной и не подлежащее критике  
догматизм|Некритическое мышление, опирающееся на догмы  
догматический|Основанный на положениях, которые принимаются как догмы  
догматический|Не допускающий возражений, категорический  
догматичность|Не допускающий возражений, категорический  
догматичный|Не допускающий возражений, категорический  
догнатый|То же, что догнать  
догнать|Настигнуть, поравняться с движущимся впереди  
догнать|Гоня, заставить дойти до чего–нибудь  
догнать|Довести до какого–нибудь предела  
догонять|Настигнуть, поравняться с движущимся впереди  
догонять|Гоня, заставить дойти до чего–нибудь  
догонять|Довести до какого–нибудь предела  
договор|Соглашение, обычно письменное, о взаимных обязательствах  
договорный|Соглашение, обычно письменное, о взаимных обязательствах  
договорено|Есть договоренность о чем–нибудь  
договоренность|Соглашение, согласованность на основе предварительных переговоров  
договоренность|Взаимное обязательство, договор  
договорить|Докончить речь, кончить говорить  
договаривать|Докончить речь, кончить говорить  
договориться|Прийти к соглашению после переговоров, обсуждения  
договориться|Говоря, дойти до какой–нибудь крайности  
договариваться|Прийти к соглашению после переговоров, обсуждения  
договариваться|Говоря, дойти до какой–нибудь крайности  
договорник|Работник, выполняющий работу по договору  
догола|До полной наготы  
догонялки|То же, что салки  
догонялочки|То же, что салки  
догореть|Сгореть до конца; погаснуть  
догорать|Сгореть до конца; погаснуть  
догрузить|Окончить погрузку чего–нибудь  
догрузить|Грузя, прибавить к ранее погруженному  
догружать|Окончить погрузку чего–нибудь  
догружать|Грузя, прибавить к ранее погруженному  
догрузка|Окончить погрузку чего–нибудь  
додать|Дать недостающее или остающуюся часть чего–нибудь  
додавать|Дать недостающее или остающуюся часть чего–нибудь  
додача|Дать недостающее или остающуюся часть чего–нибудь  
доделать|Сделать до конца, закончить работу над чем–нибудь  
доделать|Произвести дополнительную обработку чего–нибудь  
доделывать|Сделать до конца, закончить работу над чем–нибудь  
доделывать|Произвести дополнительную обработку чего–нибудь  
доделка|Произвести дополнительную обработку чего–нибудь  
доделывание|Произвести дополнительную обработку чего–нибудь  
додуматься|Размышляя, прийти к какому–нибудь выводу, заключению  
додумываться|Размышляя, прийти к какому–нибудь выводу, заключению  
доезжачий|Старший псарь на охоте  
доесть|Съесть до конца; кончить есть  
доедать|Съесть до конца; кончить есть  
доехать|Передвигаясь ездой, в езде, достигнуть чего–нибудь  
доехать|То же, что допечь  
доезжать|Передвигаясь ездой, в езде, достигнуть чего–нибудь  
доезжать|То же, что допечь  
дож|Глава республики в средневековой Венеции и Генуе  
дожеский|Глава республики в средневековой Венеции и Генуе  
дождаться|Пробыв какое–то время в ожидании, получить, обрести, воспринять что–нибудь  
дождаться|Своим поведением довести себя до чего–нибудь неприятного  
дождаться|Ждет с нетерпением  
дождевание|Искусственное орошение путем разбрызгивания воды  
дождевальный|Искусственное орошение путем разбрызгивания воды
