доезжачий|Старший псарь на охоте
доесть|Съесть до конца; кончить есть
доехать|Передвигаясь ездой, в езде, достигнуть чего–нибудь
доехать|То же, что допечь (во втором значении) (разговорное)
дож|Глава республики в средневековой Венеции и Генуе
дождаться|Пробыв какое–то время в ожидании, получить, обрести, воспринять что–нибудь
дождаться|Своим поведением довести себя до чего–нибудь неприятного (разговорное)
дождевание|Искусственное орошение путем разбрызгивания воды
дождевик|Шарообразный гриб с мякотью внутри, превращающейся при высыхании в темную пыль
дождевик|Легкий непромокаемый плащ
дождемер|Прибор для измерения количества атмосферных осадков
дождик|То же, что дождь (в первом значении) (разговорное)
дождинка|Капля дождя (разговорное)
дождить|О дожде (обычно затяжном): идти (разговорное)
дождливый|С частыми дождями
дождь|Атмосферные осадки в виде водяных капель, струй
дождь|О чем–нибудь падающем во множестве
дожидаться|Ждать, ожидать
дожитие|Время, которое остается жить до смерти, а также время, которое остается для прожития где–нибудь (официальное)
дожить|Прожить до какого–нибудь срока, события
дожить|Пробыть остаток какого–нибудь срока где–нибудь
дожиться|Доиграться, докатиться (разговорное)
доза|Точно отмеренное количество, мера чего–нибудь
дозаривать|Доводить (снятые плоды) до состояния зрелости
дозатор|Устройство для автоматического отмеривания жидких или сыпучих материалов, для разделения на дозы
дозваться|Добиться, чтобы кто–нибудь откликнулся, пришел на зов
дозволение|Позволение, разрешение (устаревшее)
дозволить|Позволить, разрешить (устаревшее)
дозвониться|Дождаться, чтобы кто–нибудь ответил на звонок
дозировать|Разделить на дозы, отмерить дозами; пропустить через дозатор
дознание|Предварительное административное расследование (официальное)
дознаться|Выведать, выяснить (разговорное)
дозор|Обход для осмотра
дозор|Небольшая разведывательная, наблюдательная группа от воинского подразделения; вообще высылаемая куда–нибудь группа наблюдателей
дозрелый|Дозревший, зрелый
дозреть|Стать вполне зрелым, спелым
доиграть|Кончить играть, игру
доиграться|Легкомысленным, неосторожным поведением довести себя до неприятностей, докатиться
доильщица|Женщина, которая занимается дойкой, доит
доискаться|Разыскивая, найти (разговорное)
доискаться|Разузнать, выяснить (разговорное)
доисторический|Относящийся к древнейшему периоду, о котором нет исторических свидетельств
доить|Выцеживать молоко из вымени
доить|То же, что доиться (разговорное)
доиться|О дойных животных: давать молоко
дойный|О животных: дающий молоко как пищу человека
дойный|О стаде: состоящий из скота, дающего молоко
дойти|Идя, двигаясь, направляясь, достигнуть чего–нибудь
дойти|Достигнуть какого–нибудь предела, уровня
дойти|Проникнуть в сознание, вызвать отклик
дойти|Достигнуть понимания чего–нибудь, уразуметь (разговорное)
дойти|Достигнуть крайней степени проявления чего–нибудь, а также своим поведением, образом жизни довести себя до какого–нибудь нежелательного, трудного состояния, положения
дойти|Довариться, допечься; дозреть (разговорное)
дойти|Достигнуть крайней степени истощения, изнеможения (просторечное)
док|Сооружение для ремонта и постройки судов
дока|Знаток, мастер своего дела; ловкач (просторечное)
доказательный|Убедительный, содержащий ясное доказательство
доказательство|Факт или довод, подтверждающий, доказывающий что–нибудь
доказательство|Система умозаключений, путем которых выводится новое положение
доказать|Подтвердить какое–нибудь положение фактами или доводами
доказать|Вывести какое–нибудь положение на основании системы умозаключений
доказуемый|Такой, который может быть доказан
докатить|Катя, переместить до какого–нибудь места
докатиться|Катясь, переместиться до какого–нибудь места
докатиться|О глухих или громких звуках: донестись, дойти (разговорное)
докатиться|Дойти до какого–нибудь плохого, унизительного состояния (разговорное)
докер|Портовый рабочий
докинуть|То же, что добросить
доклад|Публичное сообщение — развернутое изложение какой–нибудь темы
доклад|Устное или письменное сообщение начальнику о служебном деле
доклад|Устное сообщение начальнику о приходе посетителя
докладчик|Человек, который делает доклад
