долгополый|С длинными полами
долгосрочный|Осуществляемый в длительный срок или предоставляемый, получаемый на длительный срок
долгострой|Затянувшееся строительство
долгота|Географическая координата, определяющая положение точек на поверхности Земли относительно начального меридиана
долготерпение|Большое, длительное терпение
долгунец|Лен с длинным волокном
долдон|То же, что оболтус
долдон|Человек, упрямо повторяющий одно и то же, а также вообще надоедливый болтун
долдонить|Упрямо твердить одно и то же
долевой|То же, что продольный
долевой|Распределяемый по частям, долям, являющийся долей чего–нибудь
долететь|Летя, достигнуть какого–нибудь места, предела
должать|Брать в долг, входить в долги
должен|Обязан сделать что–нибудь
должен|О том, что совершится непременно, неизбежно или предположительно
должен|Взял взаймы, обязан вернуть долг
долженствовать|Быть должным, следовать
должник|Тот, кто взял в долг у кого–нибудь, должен или обязан кому–нибудь чем–нибудь
должно|Следует, необходимо
должность|Служебная обязанность, служебное место
должный|Такой, как нужно, подобающий
должный|То, что нужно, следует
долина|Удлиненная впадина вдоль речного русла, среди гор
долить|Добавить, наливая
доллар|Денежная единица в США, Канаде, Австралии и некоторых других странах
доложить|Сделать сообщение, доклад о чем–нибудь
доложить|Сообщить о приходе посетителя
доложить2|Положить, добавляя
доложиться|Сообщить, доложить о своем приходе
долой|Прочь, вон
долото|Инструмент для обработки древесины долблением
долото|Инструмент для разрушения горной породы при бурении
долу|Книзу, вниз
долька|Часть чего–нибудь
долька|Часть плода некоторых растений
дольник|В стихосложении: промежуточная форма между силлаботоническим и тоническим стихом
дольчатый|Состоящий из долей, долек
дольщик|Пайщик, участник в доле
доля|Часть чего–нибудь
доля|Участь, судьба
дом|Жилое или для учреждения здание
дом|Свое жилье, а также семья, люди, живущие вместе, их хозяйство
дом|Место, где живут люди, объединенные общими интересами, условиями существования
дом|Учреждение, заведение, обслуживающее какие–нибудь общественные нужды
дом|Династия, род
дома|В своем жилище, у себя в доме, у себя
домашний|Относящийся к дому, к семье, частному быту
домашний|Прирученный, не дикий
домашний|Члены семьи
домашность|Домашние дела
домбра|Казахский и киргизский двухструнный щипковый музыкальный инструмент грушевидной формы
доменный|Доменная печь — шахтная печь для выплавки чугуна из железной руды
доменщик|Специалист по доменной плавке; доменный мастер, рабочий
доминанта|Явление, доминирующее, главенствующее в какой–нибудь сфере
доминанта|Доминирующая идея
доминиканский|Относящийся к доминиканцам, к их языку, национальному характеру, образу жизни, культуре, а также к Доминиканской Республике, ее территории, внутреннему устройству, истории; такой, как у доминиканцев, как в Доминиканской Республике
доминиканцы|Латиноамериканский народ, составляющий основное население Доминиканской Республики
доми�ион|Во времена бывшей Британской империи: самоуправляющееся государство, входящее в состав этой империи и зависящее от нее в своей внутренней и внешней политике
доминировать|Преобладать, быть основным
доминировать|Господствовать, возвышаться над окружающей местностью
домино|Маскарадный костюм в виде плаща с рукавами и капюшоном, а также человек в таком костюме
домино2|Игра в пластинки, на которые нанесены очки, а также двадцать восемь пластинок для этой игры
доминошник|Игрок в домино
домком|Домовый комитет — общественная организация жильцов
