донизу|До самого низа
донимать|Измучить, довести до крайности чем–нибудь неприятным, тяжелым
донка|Удочка для донного лова
донкихот|Странный для окружающих человек, рыцарски самоотверженно борющийся за отвлечённые идеалы добра
донкихотствовать|Вести себя подобно Донкихоту
донник|Медоносное душистое растение семейства бобовых с белыми или желтыми цветками
донор|Человек, дающий свою кровь для переливания, для медицинских целей, а также дающий какой–нибудь орган, ткань кому–нибудь другому
донос|Тайное обвинительное сообщение представителю власти, начальнику о чьей–нибудь деятельности, поступках
доносительство|Занятие доносчика
доносить|Окончить носку чего–нибудь куда–нибудь
доносить|Окончательно износить платье, обувь
доносить|Родить в положенный срок
доносчик|Человек, занимающийся доносами, тот, кто доносит
доныне|До настоящего времени
донять|Измучить, довести до крайности чем–нибудь неприятным, тяжелым
доктябрьский|Относящийся ко времени до Октябрьского переворота 1917 года
допетровский|Относящийся ко времени до царствования Петра I
допечатать|Кончить печатать
допечатать|Напечатать дополнительно
допечь|Испечь до полной готовности
допечь|То же, что донять
допинг|Средство, на короткое время искусственно взбадривающее организм
дописать|Кончить писать
допить|Выпить до конца, кончить пить
допиться|Неумеренным пьянством довести себя до тяжелого состояния
доплата|Дополнительная плата
доплатить|Заплатить дополнительно, внести остающуюся часть платы
доплестись|Плетясь, дойти, добраться до какого–нибудь места
доплыть|Плывя, достичь какого–нибудь места
доподлинный|Точный, верный
допоздна|До позднего времени
дополна|До краёв, полностью
дополнение|То, чем что–нибудь дополнено, прибавление
дополнение|В грамматике: второстепенный член предложения со значением объекта, обычно выражаемый косвенным падежом имени
дополнение|В дополнение к чему–нибудь, сверх, помимо чего–нибудь, вдобавок к чему–нибудь
дополнительный|Являющийся дополнением к чему–нибудь
дополнительный|В грамматике: выполняющий роль дополнения
дополнить|Сделать более полным, прибавив к чему–нибудь, восполнить недостающее в чём–нибудь
дополнить|Добавить новые данные, сведения к тому, что сказано другим
допотопный|Устарелый, старомодный, отсталый
допрашивать|Расспрашивать, допытываться
допризывник|Человек допризывного возраста, проходящий начальную военную подготовку без отрыва от учёбы или производства
допризывный|Предшествующий призыву на военную службу
допрос|Опрос на следствии или суде подозреваемого, обвиняемого, свидетеля, потерпевшего для выяснения обстоятельств дела, преступления
допросить|Произвести допрос
допроситься|Добиться чего–нибудь усиленными просьбами
допрыгаться|То же, что доиграться
допуск|Право входа или доступа куда–нибудь
допуск|Предельно допустимое отклонение от нормы, требуемого размера, формы при изготовлении чего–нибудь, производстве каких–нибудь работ
допустимый|Возможный, позволительный, разрешённый
допустить|Разрешить кому–нибудь участвовать в чём–нибудь или иметь доступ куда–нибудь, вообще дать разрешение на что–нибудь
допустить|Сделать, осуществить что–нибудь, обычно случайно, невольно
допустить|Счесть возможным, предположить
допустить|Возможно, предположим, что так
допустить|Выражает не совсем уверенное подтверждение и готовность возражать
допущение|Предположение, гипотеза
допытаться|Разузнать, выведать
допьяна|До полного опьянения
дор...|Первая часть сложных слов со значением дорожный, относящийся к дороге, к железной дороге
доработать|Доделывая, обрабатывая, придать чему–нибудь окончательный вид
доработать|Продолжить работу до какого–нибудь времени, срока
доработаться|Работой довести себя до какого–нибудь состояния, обычно неприятного
дорасти|Растя, достигнуть какого–нибудь предела
дорваться|С жадностью наброситься на что–нибудь
дорваться|Доиграться, допрыгаться
