допытаться|Разузнать, выведать  
допьяна|До полного опьянения  
дор|Первая часть сложных слов со значением дорожный, относящийся к дороге, к железной дороге  
доработать|Доделывая, обрабатывая, придать чему–нибудь окончательный вид  
доработать|Продолжить работу до какого–нибудь времени, срока  
доработаться|Работой довести себя до какого–нибудь состояния (обычно неприятного)  
дорасти|Растя, достигнуть какого–нибудь предела  
дорваться|С жадностью наброситься на что–нибудь  
дорваться|Доиграться, допрыгаться  
дореволюционный|Бывший до революции  
дореформенный|Бывший до введения какой–нибудь реформы  
дорисовать|Закончить рисовать  
дорога|Полоса земли, предназначенная для передвижения, путь сообщения  
дорога|Место, по которому надо пройти или проехать, путь следования  
дорога|Путешествие; пребывание в пути  
дорога|Образ действий, направление деятельности  
дороговизна|Положение, когда цены на товары очень высоки  
дорогой|Во время пути  
дорогой|Имеющий высокую цену, а также высокий  
дорогой|Стоящий больших усилий, жертв  
дорогой|Такой, которым дорожат  
дорогой|Любезный, милый, любимый  
дорогуша|Ласково–фамильярное обращение  
дородный|Рослый, крупный, полный  
дорожать|Повышаться в цене, становиться дорогим, дороже  
дорожить|Беречь, не желать терять, высоко ценить  
дорожиться|Запрашивать при продаже слишком высокую цену  
дорожка|Полоса земли, предназначенная для передвижения  
дорожка|Дорога для ходьбы в садах, парках  
дорожка|Тропинка  
дорожка|В спортивных сооружениях, на аэродромах: специально устроенная дистанция  
дорожка|Узкий длинный ковер, а также узкая длинная скатерть  
дорожка|Рыболовная снасть в виде длинного шнура с крючком на конце  
дорожка|Узкое углубление, бороздка, полоска  
дорожник|Специалист по строительству, ремонту и эксплуатации дорог, городских улиц; рабочий, занимающийся строительством, ремонтом дорог  
дортуар|Общая спальня для учащихся в закрытых учебных заведениях  
досада|Чувство раздражения, неудовольствия вследствие неудачи, обиды  
досадить|Причинить досаду, раздражить чем–нибудь  
досадливый|Выражающий досаду, неудовольствие  
досадный|Вызывающий досаду, неприятный  
досадовать|Испытывать досаду, недовольство  
доселе|До сих пор  
досиня|До синевы, до синеватого оттенка  
доска|Плоский с двух сторон срез дерева, получаемый путем продольной распилки бревна  
доска|Пластина, плита разного назначения  
доска|В аудитории, классе: укрепленная на стене или на ножках большая пластина, на которой пишут мелом  
доска|Щит для объявлений, каких–нибудь показателей  
досказать|Закончить рассказывать, говорить что–нибудь  
доскакать|Скача, достигнуть какого–нибудь места  
доскональный|Очень подробный, основательный  
дослать|Послать дополнительно  
дослать|Продвинуть до нужного места  
доследовать|Произвести дополнительное расследование  
дословный|Слово в слово соответствующий чему–нибудь, совершенно точный  
дослужиться|Службой достигнуть чего–нибудь  
дослушать|Выслушать до конца  
досмотр|Проверочный осмотр  
досмотреть|Просмотреть до конца, до какого–нибудь предела  
досмотреть|Произвести досмотр  
досмотрщик|Служащий, производящий досмотр  
досоветский|Существовавший, бывший до установления советской власти  
доспать|Проспать до какого–нибудь времени  
доспать|Проспать до конца чего–нибудь  
доспехи|В старину воинское снаряжение  
доспехи|Вообще о тяжеловесном снаряжении  
досрочный|Осуществляемый ранее установленного срока  
доставляла|Человек, который умеет ловко достать, приобрести что–нибудь  
доставить|Привести, принести или привезти к месту назначения  
доставить|Обеспечить, предоставить, причинить  
доставщик|Работник, занимающийся доставкой чего–нибудь  
достаток|Зажиточность, отсутствие нужды  
достаток|Материальное благосостояние, доходы  
достаточный|Удовлетворяющий потребностям, необходимым условиям  
достаточный|То же, что зажиточный  
достаточно|О том, что проявляется в необходимой мере, имеется в нужном количестве  
достаточно|Пора прекратить делать что–нибудь; будет, хватит  
достаточно|То же, что будет  
достать|Взять что–нибудь, находящееся на расстоянии, или извлечь откуда–нибудь  
достать|Получить, раздобыть  
достать|Дотянуться, дотронуться до кого–чего–нибудь, находящегося на расстоянии  
достать|Оказаться достаточным для чего–нибудь, вполне хватит  
достать|Догнать, настичь  
достать|То же, что донять
