дурманить|Туманить сознание, опьянять  
дурнеть|Становиться немиловидным, менее миловидным, менее красивым  
дурно|О полуобморочном состоянии  
дурной|То же, что плохой  
дурной|Предосудительный, безнравственный  
дурной|Глупый, придурковатый  
дурнота|Тошнота, легкое обморочное состояние  
дурнушка|Некрасивая, лишенная миловидности женщина, девочка  
дурость|Глупость, причуда  
дуршлаг|Предмет кухонной утвари с мелкими отверстиями для отцеживания жидкости  
дурь|Глупость, сумасбродство  
дурачиться|Вести себя глупо, дурачить  
дутый|Изготовленный дутьем, полый  
дутый|Преувеличенный, не соответствующий действительности  
дуть|Идти, распространяться о струе воздуха  
дуть|Выпускать ртом сильную струю воздуха  
дуть|Изготовлять действием сильной струи воздуха  
дуть|Пить в большом количестве  
дуть|Употребляется для обозначения быстрых, энергичных действий  
дутье|Подача куда–нибудь воздуха или других газов воздуходувкой или компрессором  
дуться|Выражать своим внешним видом неудовольствие, обиду  
дуться|Играть с азартом  
дух|Сознание, мышление, психические способности; начало, определяющее поведение и действия  
дух|Внутренняя, моральная сила  
дух|В религии и мифологии: бесплотное сверхъестественное существо  
дух|Содержание, истинный смысл чего–нибудь  
дух|Дыхание  
дух|Воздух  
дух|Запах  
дух|О человеке, испустившем дух, умершем  
духан|На Кавказе, на Ближнем Востоке: небольшой трактир или лавочка  
духанщик|Хозяин духана  
духи|Парфюмерное средство — ароматическая жидкость на спиртовом растворе  
духобор|Одна из сект духовных христиан, противопоставляющая себя православной церкви  
духобор|Член такой секты  
духовенство|В монотеистических религиях: лица, отправляющие религиозные, церковные обряды, служители церкви  
духовитый|То же, что душистый  
духовка|Железная коробка, служащая для приготовления пищи, духовой шкаф  
духовник|Священник, который принимает исповедь  
духовность|Свойство души, состоящее в преобладании духовных, нравственных и интеллектуальных интересов над материальными  
духовный|Относящийся к религии, к церкви  
духовный|То же, что завещание  
духовой|О музыкальных инструментах: действующий посредством вдувания воздуха  
духовой|Относящийся к действию нагретого воздуха  
духовой|Действующий под напором воздуха  
духом|Очень быстро, сразу  
духота|Душный, несвежий, спертый воздух  
духота|Знойный, жаркий воздух, стесняющий дыхание  
душ|Приспособление для обливания мелкими струйками воды, а также само такое обливание  
душа|Внутренний, психический мир человека, его сознание  
душа|То или иное свойство характера, а также человек с теми или иными свойствами  
душа|В религиозных представлениях: сверхъестественное, нематериальное бессмертное начало в человеке  
душа|Вдохновитель чего–нибудь, главное лицо  
душа|О человеке  
душа|В царской России: крепостной крестьянин, а также вообще человек, относящийся к податному сословию  
душевая|Помещение, где находится душ  
душевнобольной|Больной, страдающий психическим расстройством  
душевный|Полный искреннего дружелюбия  
душегрейка|Женская теплая кофта, обычно без рукавов, со сборками по талии  
душегуб|Убийца, злодей  
душегубка|Убийца, злодей  
душегубка|Узкая неустойчивая лодка  
душегубка|Автомашина, в которой каратели истребляют людей путем удушения их газом  
душегубство|Убийство, злодейство  
душенька|Милый, приятный человек  
душеприказчик|Лицо, которому завещатель поручает исполнение завещания  
душераздирающий|Ужасный, полный отчаяния, страдания  
душеспасительный|Назидательно–успокоительный  
душечка|То же, что душенька  
душещипательный|Излишне чувствительный, сентиментальный  
душистый|Имеющий приятный сильный запах  
душитель|Тот, кто душит что–нибудь  
душить|Убивать, с силой сжимая горло  
душить|Лишать возможности дышать  
душить|Угнетать, притеснять  
душить|Опрыскивать, пропитывать чем–нибудь душистым, духами  
душиться|Находясь в духоте и тесноте, испытывать недостаток воздуха
