астронавтика|То же, что космонавтика  
астроном|Специалист по астрономии  
астрономия|Наука о космических телах, образуемых ими системах и о Вселенной в целом  
асфальт|Чёрная смолистая масса, употребляемая для заливки покрытий дорог, улиц, тротуаров  
асфальт|Дорога, покрытая такой массой  
асфальтировать|Покрыть асфальтом  
ась|Употребляется как вопросительный отклик при переспросе, как просьба подтвердить что–нибудь  
атавизм|Наличие у потомка признаков, свойственных его отдалённым предкам  
атака|Стремительное наступательное движение войск  
атака|Быстрое и решительное наступление  
атаковать|Произвести атаку  
атаман|Высший начальник в казачьих войсках, а также военно–административный начальник в казачьих областях  
атаман|Главарь, предводитель  
атеизм|Совокупность положений, отвергающих веру в Бога, в сверхъестественные силы и вообще всякую религию  
атеист|Последователь атеизма  
ателье|То же, что студия  
ателье|Мастерская по шитью одежды, а также по некоторым другим видам обслуживания  
атлант|Мужская статуя в полный рост — архитектурная деталь, заменяющая колонну, пилястр, кронштейн  
атлас|Сборник таблиц, карт, специальных рисунков  
атлас|Сорт гладкой и блестящей шелковой ткани  
атлет|Спортсмен, занимающийся атлетической гимнастикой, атлетикой  
атлет|О человеке крепкого телосложения  
атлетизм|Крепкое и красивое телосложение  
атлетизм|То же, что культуризм  
атлетика|Спортивные упражнения, требующие разносторонней физической подготовки  
атлетический|О телосложении — мощный, крепкий, такой, как у атлета  
атмосфера|Газообразная оболочка, окружающая Землю, некоторые другие планеты, Солнце и звезды  
атмосфера|Окружающие условия, обстановка  
атмосфера|Единица давления  
атолл|Коралловый остров кольцеобразной формы  
атом|Мельчайшая частица химического элемента, состоящая из ядра и электронов  
атомарный|Дробный, нецелостный  
атомистический|Относящийся к учению об атомах  
атомник|Специалист по атомной физике  
атомоход|Судно с ядерной силовой установкой  
атомщик|То же, что атомник  
атрибут|Необходимый, постоянный признак, принадлежность  
атрибут|В грамматике — то же, что определение  
атрофированный|Подвергшийся атрофии  
атрофироваться|Подвергнуться атрофии  
атрофия|Уменьшение какого–нибудь органа, потеря им жизнеспособности  
атташе|Должностное лицо при дипломатическом представительстве, являющееся специалистом–консультантом в какой–нибудь области  
аттестат|Официальный документ об окончании учебного заведения, о присвоении звания  
аттестат|Свидетельство о прохождении службы  
аттестат|Рекомендация с места прежней службы, работы  
аттестат|Выдаваемый военнослужащему документ на право получения денежного или другого довольствия  
аттестат|Документ, удостоверяющий породистость животного  
аттестовать|Дать отзыв, характеристику, рекомендацию кому–нибудь  
аттестовать|Присвоить звание кому–нибудь  
аттестовать|Оценить чьи–нибудь знания, поставив какую–нибудь отметку  
аттракцион|Эффектный цирковой или эстрадный номер  
аттракцион|Устройство для развлечений в местах общественного отдыха  
ату|Побуждающая команда собаке: лови, хватай  
ау|Восклицание, которым перекликаются в лесу, чтобы не потерять друг друга  
ау|Кончено, пропало  
аудиенц-зал|Зал для официальных приёмов  
аудиенция|Официальный приём у высокопоставленного лица  
аудио|Первая часть сложных слов со значением относящийся к слуху, к восприятию слухом  
аудитор|Лицо, на основе специального контракта проверяющее финансово–хозяйственную деятельность компании, учреждения  
аудитор|В некоторых странах — присяжный заседатель или особое должностное лицо в суде  
аудитор|В некоторых учебных заведениях — ученик, которому учитель поручает выслушивать уроки других учеников  
аудитория|Помещение для чтения лекций  
аудитория|Слушатели лекции, доклада, выступления  
аукать|Кричать «ау!»  
аукаться|Перекликаться, крича «ау!»  
аукцион|Публичная распродажа, при которой покупателем становится тот, кто предложит более высокую цену  
аукционер|Участник аукциона  
аукционист|Человек, ведущий аукцион  
аул|Селение на Кавказе, в Средней Азии  
аура|Изображаемое как нимб, ореол, сияние вокруг головы, тела, представляемое как проявление души, духа  
аура|В парапсихологии — то же, что биополе
