ерундить|Делать или говорить ерунду  
ерундовский|То же, что ерундовый  
ерундовый|Вздорный, пустой  
ерундовый|Совсем незначительный, пустячный  
ершистый|О волосах: торчащий кверху  
ершистый|Задорный, неуступчивый  
ершиться|Входить в задор, горячиться  
есаул|Казачий офицерский чин, равный капитану в пехоте, а также лицо, имеющее этот чин  
если|Выражает условие совершения, существования чего–нибудь  
если|То же, что разве  
ессентуки|Минеральная лечебная вода  
естественник|Специалист по естественным наукам  
естественница|Специалист по естественным наукам  
естественный|Относящийся к природе  
естественный|Совершающийся по законам природы, обязанный им, а не постороннему вмешательству  
естественный|Нормальный, обусловленный самим ходом развития  
естественный|Непринужденный, натуральный  
естественно|Конечно, разумеется  
естественно|Выражает уверенное подтверждение, невозможность сомневаться в чем–нибудь  
естественность|Нормальность, обусловленность самим ходом развития  
естественность|Непринужденность, натуральность  
естество|Суть, сущность чего–нибудь  
естество|То же, что природа  
естествовед|То же, что естественник  
естествоведение|То же, что естествознание  
естествознавие|Естественные науки, совокупность наук о природе  
естествоиспытатель|Тот, кто занимается исследованием явлений природы  
естествоиспытательница|Тот, кто занимается исследованием явлений природы  
есть|Принимать пищу, употреблять в пищу  
есть|Разрушать химически  
есть|О едком: причинять болезненное, неприятное ощущение  
есть|Попрекать, бранить, грызть  
есть|Связка, соединяющая подлежащее со сказуемым  
есть|Существует, имеется  
есть|Ответ подчиненного, обозначающий, что команда понята и принята к исполнению  
ефрейтор|Второе в порядке старшинства звание солдата, а также солдат, имеющий это звание  
ехать|Двигаться куда–нибудь при помощи каких–нибудь средств передвижения  
ехать|О средствах передвижения: двигаться  
ехать|Отправляться куда–нибудь, передвигаться при помощи каких–нибудь средств передвижения  
ехать|Сдвигаться, скользить в сторону, в стороны  
ехать|То же, что выезжать  
ехидна|Небольшое австралийское яйцекладущее млекопитающее отряда клоачных с вытянутой вперед мордой, покрытое иглами и шерстью  
ехидна|Ядовитая австралийская змея семейства аспидов  
ехидна|Злой, язвительный и коварный человек  
ехидничать|Вести себя ехидно, язвить  
ехидность|Язвительность, коварство  
ехидный|Язвительный, коварный  
ехидство|Злоба, язвительность, коварство  
ехидца|Легкое ехидство  
ещё|Опять, в добавление  
ещё|Уже, в прошлом  
ещё|До сих пор, пока  
ещё|Указывает на наличие достаточного времени, условий для чего–нибудь  
ещё|В большей степени  
ещё|Обозначает высокую степень признака, его исключительность  
ещё|Выражает грубоватое недовольство  
ещё|Выражает неопределенность в отдаленном будущем  
ещё|Употребляется для напоминания, отнесения к известному  
ёж|Небольшое млекопитающее отряда насекомоядных с иглами на теле  
ёж|Оборонительное заграждение в виде скрещивающихся переплетённых колючей проволокой кольев, брусьев, рельсов  
ёжик|То же, что ёж  
ёжик|Мужская прическа в виде коротко остриженных стоячих волос  
ёжиться|Сутулясь, сжиматься всем телом  
ёкать|Издавать короткий и отрывистый негромкий звук  
ёлка|То же, что ель  
ёлка|Украшенная ель в праздник Нового года или Рождества  
ёлка|Новогодний или Рождественский праздник с танцами и играми вокруг украшенной ели  
ёлочка|То же, что ёлка  
ёлочка|Об узоре, расположении чего–нибудь: в виде расходящихся под углом повторяющихся черточек  
ёлочка|Изделие, по форме напоминающее две расходящиеся под углом черты, линии  
ёмкий|То же, что вместительный  
ёмкий|О краткий и содержательный  
ёмкость|Вместилище для жидких и сыпучих тел  
ёрзать|Беспокойно двигаться на месте  
ёрник|Озорник и безобразник, пустой шутник и повеса  
ёрничать|Озорничать, повесничать, беспутничать, развратничать  
ёрничанье|Озорничанье, повесничанье, беспутничанье, развратничанье  
ёрничество|Озорничество, повесничество, беспутничество, развратничество  
ёрш|Небольшая костистая речная рыба семейства окуневых с колючими плавниками  
ёрш|Щетка для чистки бутылок, бутылей, ламповых стекол  
ёрш|Смесь водки с пивом или вином  
ж|То же, что же (после слов, оканчивающихся на гласный)  
жаба|Сходное с лягушкой бесхвостое земноводное с бородавчатой кожей  
жаба|Грудная жаба — обиходное название стенокардии  
жабо|Пышная отделка у воротника из кружев или легкой ткани  
жабры|Органы дыхания рыб и некоторых других водных животных  
жавель|Едкий хлористый раствор зеленовато–желтого цвета, употребляемый при белении тканей  
жаворонок|Певчая птичка отряда воробьиных  
жаворонок|Человек, чувствующий себя утром, в первую половину дня бодрее, чем вечером  
жаворонок|Сдобная булочка в виде птички  
жадина|Жадный человек  
жадничать|Проявлять жадность, скупиться  
жадность|Скупость, корыстолюбие  
жадность|Чрезмерное стремление удовлетворить свое желание  
жадный|Стремящийся к наживе, скупой  
жадный|Настойчивый в стремлении удовлетворить свое желание, выражающий это стремление; слишком падкий на что–нибудь  
жадный|Исполненный желанием понять, познать что–нибудь  
жадюга|То же, что жадина  
жажда|Потребность, желание пить  
жажда|Сильное, страстное желание чего–нибудь
