жадничать|Проявлять жадность, скупиться
жадность|Скупость, корыстолюбие
жадность|Чрезмерное стремление удовлетворить свое желание
жадный|Стремящийся к наживе, скупой
жадный|Настойчивый в стремлении удовлетворить свое желание, выражающий это стремление, слишком падкий на что–нибудь
жадный|Исполненный желанием понять, познать что–нибудь
жадюга|То же, что жадина
жажда|Потребность, желание пить
жажда|Сильное, страстное желание чего–нибудь
жаждать|Хотеть пить, испытывать жажду
жаждать|Сильно желать
жакан|Пуля для стрельбы из гладкоствольного охотничьего ружья
жакет|Короткая верхняя одежда
жакетка|Короткая верхняя одежда
жалейка|Народный духовой язычковый музыкальный инструмент, деревянная трубка с раструбом из коровьего рога или бересты
жалеть|Чувствовать жалость, сострадание к кому–нибудь
жалеть|Печалиться, сокрушаться
жалеть|Беречь, щадить, неохотно расходовать
жалить|О насекомых, змее: ранить жалом, кусать
жалкий|Возбуждающий жалость, несчастный, беспомощный
жалкий|Жалобный, трогательный
жалкий|Плохой, невзрачный
жалкий|Ничтожный, негодный, презренный
жалко|То же, что жаль
жало|Колющая часть органа защиты и нападения у пчел, ос, скорпионов, а также обиходное название раздвоенного длинного языка у ядовитых змей
жалоба|Выражение неудовольствия по поводу чего–нибудь неприятного, страдания, боли
жалоба|Официальное заявление с просьбой об устранении какого–нибудь непорядка, несправедливости
жалобный|Выражающий жалобу, скорбь, тоску
жалобщик|Тот, кто подает жалобу, а также вообще тот, кто жалуется
жалованный|Полученный в виде награды от властей, от господина, подаренный
жалованье|Денежное вознаграждение за службу, работу
жаловать|То же, что награждать
жаловать|Оказывать внимание, уважать
жаловать|Посещать кого–нибудь
жаловаться|Высказывать жалобы
жаловаться|Подавать жалобу
жаловаться|Наушничать, ябедничать
жалостливый|Склонный к жалости, сострадательный
жалостный|Жалостливый, соболезнующий
жалостный|То же, что жалобный
жалость|Сострадание, соболезнование
жалость|Печаль, сожаление
жаль|О чувстве жалости, сострадания к кому–нибудь, чему–нибудь
жаль|О сожалении, досаде при утрате чего–нибудь, возможности лишиться чего–нибудь
жаль|Приходится пожалеть
жаль|К сожалению
жалюзи|Шторы или ставни из жестких поперечных параллельных пластинок
жандарм|Человек, служащий в жандармерии
жандармерия|В некоторых странах: особые полицейские войска для политической охраны и сыска
жандармерия|Жандармы
жанр|Вид художественных произведений, характеризующийся теми или иными сюжетными и стилистическими признаками
жанр|Живопись на бытовые сюжеты
жанр|Манера, стиль
жанрист|Художник, специалист по жанру
жар|Горячий, сильно нагретый воздух, зной
жар|Место, где очень жарко
жар|Горячие угли без пламени
жар|Высокая температура тела
жар|Разгоряченное, лихорадочное состояние, а также румянец от него
жар|Рвение, страстность, горячность
жара|Жаркая погода, жар
жаргон|Речь какой–нибудь социальной или иной объединенной общими интересами группы, содержащая много слов и выражений, отличных от общего языка, в том числе искусственных, иногда условных
жаргонизм|Жаргонное слово или выражение
жардиньерка|Подставка, ящик или корзинка для комнатных цветов
жареный|Приготовленный жареньем
жарить|Приготовлять пищу, держать на сильном жару без воды, в масле, жире
жарить|Подвергать действию сильного жара, прокаливать
жарить|О солнце: обжигать лучами, палить
жарить|Употребляется вместо любого глагола для обозначения быстрого, энергичного действия
жариться|Подвергаться жарению
жариться|Находиться на жаре, в жарком месте
жаркий|Дающий сильный жар, знойный, горячий
жаркий|Пылкий, страстный, напряженный
жаркий|Южный, тропический
жаркое|Жареное мясное кушанье
жаровня|Сосуд для горячего древесного угля, жара, а также железная печка, нагреваемая углем
жарок|Травянистое растение семейства лютиковых с яркими желтыми цветками
жаропонижающий|Понижающий жар
жаропрочный|Выдерживающий большие механические нагрузки при высоких температурах
жар–птица|В русских сказках: птица необыкновенной красоты с ярко светящимися перьями
жарынь|Очень жаркая погода
жасмин|Садовый кустарник семейства маслиновых с белыми душистыми цветками
жатва|Уборка зерновых
жатва|Время уборки зерновых
жатва|Собранный во время уборки урожай
