живодёр|Жестокий человек
живодёрня|Место, где убивают животных и снимают с них шкуры
живой|Такой, который живет, обладает жизнью
живой|Подлинный, самый настоящий
живой|Деятельный, полный жизненной энергии
живой|Легкий и занимательный, выразительный
живой|Отвечающий реальным потребностям, жизненный
живой|Остро переживаемый
живой|Такой, который существует благодаря кому–нибудь или чему–нибудь, черпает силу в ком–нибудь или чем–нибудь
живописать|Описать живо, картинно
живописец|Художник, занимающийся живописью
живописный|Красивый, достойный кисти художника
живописный|Яркий, образный, выразительный
живопись|Изобразительное искусство – создание художественных образов с помощью красок
живопись|Произведения этого искусства
живородящий|О животных: рождающий детенышей, свободных от яйцевых оболочек
живородящий|О растениях: такой, семена которого способны прорастать на материнской особи
живорыбный|Предназначенный для содержания или перевозки живой рыбы
живот|Часть тела, прилегающая к тазу, в которой расположены органы пищеварения
живот|Желудок, кишечник
живот|То же, что жизнь
животворить|Оживлять, бодрить
животворный|Оживляющий, укрепляющий силы, энергию
животина|То же, что животное
животновод|Специалист по животноводству
животноводство|Отрасль сельского хозяйства — разведение сельскохозяйственных животных, ценных пушных зверей, рыб, пчел и других
животное|Живой организм, существо, обладающее способностью двигаться и питающееся, в отличие от растений, готовыми органическими соединениями
животное|Такое живое существо, в противоположность человеку
животное|О грубом, неразвитом и неумном человеке
животный|Относящийся к живым существам, к животным
животный|Чисто физиологический, грубо чувственный, лишенный духовных интересов
животрепещущий|Злободневный, важный в настоящий момент
живучий|Жизнеспособный, выносливый
живучий|Прочно сохраняющийся, устойчивый
живчик|Живой, подвижный человек
живчик|Мужская половая клетка, сперматозоид
живчик|Заметное для глаза биение артерии
живьём|В живом состоянии
жидкий|Имеющий свойство течь
жидкий|С большим количеством воды, водянистый; не крепкий, не насыщенный
жидкий|Редкий, нечасто расположенный
жидкий|Недостаточный, неполноценный по величине, силе, жизненности, выразительности
жидко...|Первая часть сложных слов со значением: находящийся в жидком состоянии
жидко...|Первая часть сложных слов со значением: жидкий
жидко...|Первая часть сложных слов со значением: с жидким, редкий, нечастый
жидко...|Первая часть сложных слов со значением: жидкий, слабый
жидко...|Первая часть сложных слов со значением: относящийся к жидкости, жидкостный
жидкость|Вещество, обладающее свойством течь и принимать форму сосуда, в который оно выливается
жидкость|См. жидкий
жиды|То же, что евреи
жижа|Вязкая густоватая жидкость
жижа|Жидкая, без гущи, часть супа, похлебки, компота
жизне...|Первая часть сложных слов со значением: относящийся к жизни
жизне...|Первая часть сложных слов со значением: относящийся к существованию
жизне...|Первая часть сложных слов со значением: относящийся к жизненному пути
жизне...|Первая часть сложных слов со значением: относящийся к реальности, действительности
жизне...|Первая часть сложных слов со значением: относящийся к жизни, к жизненному укладу, жизнеустройство
жизнедеятельный|Способный к жизненным отправлениям
жизнедеятельный|Живой, деятельный, энергичный
жизненный|Близкий к жизни, к действительности, реальный
жизненный|Важный для жизни, общественно необходимый
жизнеобеспечение|Обеспечение сохранения и нормального протекания жизни
жизнеописание|Описание чьей–нибудь жизни, биография
жизнеощущение|Восприятие окружающей действительности
жизнепонимание|Взгляды, в которых выражается отношение к жизни, к окружающему
жизнерадостный|Не знающий уныния, радостный, бодрый
жизнеспособный|Способный существовать и развиваться, приспособленный к жизни
жизнеутверждающий|Проникнутый бодростью, оптимистическим отношением к жизни
жизнь|Совокупность явлений, происходящих в организмах, особая форма существования материи
жизнь|Физиологическое существование человека, животного, всего живого
жизнь|Время такого существования от его возникновения до конца, а также в какой–либо его период
жизнь|Деятельность общества и человека в различных проявлениях
жизнь|Реальная действительность
жизнь|Оживление, проявление деятельности, энергии
жила|Обиходное название кровеносных сосудов, сухожилий
жила|Геологическое тело, образовавшееся в результате заполнения трещины горной породой, а также сама горная порода в такой трещине
жила|Скупой, прижимистый человек, скряга
жилет|Короткая мужская одежда без воротника и рукавов, поверх которой надевается пиджак, сюртук, фрак, а также женская одежда такого фасона
жилет|Специальный широкий пояс, надеваемый для удержания тела на воде
жилетка|То же, что жилет
жилец|Тот, кто занимает жилое помещение по найму
жилистый|Обильный жилами, сухожилиями
жилистый|Сухощавый и с выступающими жилами
жилище|Помещение, в котором живут, можно жить
жилка|Тонкая ветвистая прослойка в горной породе, дереве
жилка|Сосудик, утолщение в виде нити на листьях, на крыльях насекомых
жилка|Способность, склонность к какой–либо деятельности
жилой|Предназначенный для жилья
жилой|Обитаемый, занятый под жилье
жилплощадь|Жилая площадь
жильё|Обитаемое место, где живут люди
жильё|То же, что жилище
жим|В тяжелой атлетике: поднятие штанги на грудь, а затем над головой до полного выпрямления рук
жимолость|Кустарниковое, иногда вьющееся растение с душистыми цветками
жир|Органическое соединение, нерастворяющееся в воде маслянистое вещество, один из основных компонентов клеток и тканей живых организмов
