жилплощадь|Жилая площадь  
жильё|Обитаемое место, где живут люди  
жильё|То же, что жилище  
жим|В тяжелой атлетике: поднятие штанги на грудь, а затем над головой до полного выпрямления рук  
жимолость|Кустарниковое, иногда вьющееся растение с душистыми цветками  
жир|Органическое соединение, нерастворяющееся в воде маслянистое вещество, один из основных компонентов клеток и тканей живых организмов  
жираф|Африканское парнокопытное жвачное животное с очень длинной шеей и длинными ногами  
жиреть|Становиться жирным, жирнее, толстеть  
жирный|Обильный жирами, с большим количеством жира  
жирный|Толстый, тучный, ожиревший  
жирный|Грязный от жира  
жирный|Со следами жира  
жирный|Насыщенный полезными веществами  
жирный|С толстыми линиями букв, знаков  
жировать|Насыщать жировыми веществами  
жировать|О диких животных: нагуливать жир, кормиться или отдыхать в сытом состоянии  
жировать|О растениях, побегах: разрастаться в ущерб развитию плодов  
жировик|Жировая подкожная опухоль  
жировка|Документ, по которому производится оплата, расчет за пользование чем–нибудь  
жиротопный|Относящийся к вытапливанию жира  
житейский|Обыденный, свойственный повседневной жизни  
житель|Человек, который живет, проживает где–нибудь, обитатель  
жительство|Проживание в каком–нибудь месте  
жительствовать|Жить, проживать в каком–нибудь месте  
житие|То же, что жизнь  
житие|Повествовательный жанр — описание жизни лиц, канонизированных церковью  
житница|Амбар, помещение для хлеба, зерна  
житница|О хлебородной, богатой урожаями области, снабжающей другие местности  
житняк|Кустовой злак, родственный пырею  
жито|Всякий хлеб в зерне или на корню  
житуха|Хорошая, привольная жизнь  
жить|Существовать, находиться в процессе жизни, бытия  
жить|О мыслях, чувствах: иметься, быть  
жить|Проводить жизнь в каком–нибудь месте, среди кого–нибудь, обитать  
жить|Поддерживать свое существование чем–нибудь  
жить|Быть целиком занятым, поглощенным, увлеченным кем–нибудь или чем–нибудь  
жить|Вести какой–нибудь образ жизни  
жить|Быть в каких–нибудь отношениях с кем–нибудь  
жить|Работать, проживая в доме нанимателя  
жить|Находиться в любовной связи с кем–нибудь  
жить|То же, что бывает  
житьё|То же, что жизнь  
житьё|Хорошая, приятная жизнь  
житьё|Нахождение, пребывание где–нибудь, проживание  
житься|О наличии тех или иных условий жизни  
житься|Не хочется или не нравится где–нибудь жить  
жлоб|Скряга, скупец  
жмот|Скряга, скупой человек  
жмурить|Сильно сжимая веки, щурить глаза  
жмуриться|Жмурить глаза  
жмуриться|О глазах: закрываться сильно сжатыми веками  
жмурки|Детская игра, в которой один из участников с завязанными глазами ловит других  
жмых|Остатки семян масличных растений после выжимания из них масла  
жнейка|То же, что жатка  
жнец|Тот, кто жнет  
жнея|То же, что жница  
жнивьё|Поле, где сжаты злаки  
жнивьё|Срезанные стебли злаков, оставшиеся на корню после жатвы  
жокей|Профессиональный наездник на скачках, специалист по подготовке и испытаниям верховых лошадей  
жом|Пресс для выжимания, отжимания  
жом|Выжимки  
жонглёр|Цирковой артист, занимающийся жонглированием  
жонглировать|Подбрасывать и ловить на лету одновременно несколько предметов  
жонглировать|Ловко, но произвольно обращаться с фактами, словами  
жопа|Ягодицы  
жор|Сильный клев рыбы  
жох|Ловкий в делах, прижимистый человек, пройдоха  
жратва|Пища, еда  
жрать|Жадно есть  
жребий|Решение спора, вопроса о праве или очередности путем вынимания наугад условного предмета из числа других подобных  
жребий|Судьба, участь  
жрец|В древних религиях: служитель божества, совершающий жертвоприношения и другие обряды  
жрец|Тот, кто посвятил себя служению чему–нибудь  
жужелица|Хищный жук  
жужжать|Производить однообразно дребезжащий звук, свистящий шум  
жуир|Человек, который жуирует  
жуировать|Развлекаясь, ища удовольствий, вести праздную жизнь  
жук|Насекомое с жесткими надкрыльями  
жук|Ловкий человек, плут
