жужелица|Хищный жук
жужжать|Производить однообразно дребезжащий звук, свистящий шум
жуир|Человек, который жуирует
жуировать|Развлекаясь, ища удовольствий, вести праздную жизнь
жук|Насекомое с жесткими надкрыльями
жук|Ловкий человек, плут
жуликоватый|Склонный к жульничеству, мошенничеству
жуликоватый|Свойственный жулику, подозрительный
жуликоватость|Склонность к жульничеству, мошенничеству
жуликоватость|Свойство, подозрительный вид
жуликовать|Склоняться к жульничеству, мошенничеству
жулить|То же, что жульничать
жульничать|Применять недобросовестные, мошеннические приемы, плутовать
жульничество|Плутовство, недобросовестный, мошеннический поступок
жупан|Старинный польский или украинский суконный полукафтан
жупел|Нечто, внушающее страх, отвращение; то, чем пугают
журавлёнок|Птенец журавля
журавль|Большая болотная птица с длинными ногами и длинной шеей
журавль|Приспособление для подъема воды из колодца, длинный шест, служащий рычагом
журить|Делать легкий выговор, слегка бранить
журнал|Периодическое издание в виде книжки, содержащее статьи, произведения разных авторов, а также отдельная книжка такого издания
журнал|Книга или тетрадь для периодической записи наблюдений, событий, решений, операций
журнал|Периодическая информация — подборка сообщений о текущих событиях или на определенную тему на радио, телевидении, в кино
журналист|Литературный работник, занимающийся журналистикой
журналистика|Литературно-публицистическая деятельность в журналах, газетах
журналистика|Периодические издания
журчать|О воде: течением производить легкий монотонный шум
журчать|Тихо звучать
жуткий|Тягостный, вызывающий чувство ужаса
жуткий|Очень плохой, ужасный
жуткий|Крайний в своем проявлении, чрезвычайный
жуткий|Очень страшно
жуткий|Очень много
жуткость|Тягостное, вызывающее ужас состояние
жуткость|Очень плохое, ужасное состояние
жуткость|Крайнее проявление, чрезвычайное состояние
жуть|Чувство тоскливого беспокойства, страха
жуть|О чем–нибудь страшном, приводящем в ужас
жуть|То же, что ужас
жухлый|Утративший свежесть, яркость, гладкость
жухлость|Состояние утраты свежести, яркости, гладкости
жухнуть|Становиться сухим и жестким; тускнеть
жучить|Донимать выговорами, строгостью
жучка|Дворовая собака
жучок|Насекомое с жесткими надкрыльями
жучок|Подслушивающее или другое тайное устройство
жэк|Жилищно–эксплуатационная контора
жюри|Группа экспертов, определяющая призовые места, присуждающая премии, награды на выставках, конкурсах, состязаниях
за|По ту сторону, вне, позади кого–чего–нибудь
за|Около, возле, вокруг чего–нибудь
за|Обозначает направленность действия на лицо или предмет
за|Обозначает отношение замужества
за|По причине, вследствие чего–нибудь, из–за наличия или отсутствия чего–нибудь
за|Указывает на лицо или предмет, который охватывается, к которому прикасаются при направлении на него действия
за|Свыше какого–нибудь предела
за|Указывает на расстояние, в пределах которого что–нибудь находится
за|До какого–нибудь временного или пространственного предела
за|В течение какого–нибудь срока, охватывая какой–нибудь срок
за|Вместо кого–нибудь, в качестве кого–чего–нибудь
за|В возмещение чего–нибудь, в обмен на что–нибудь
за|Ради, во имя, в пользу кого–чего–нибудь
за|Непосредственно после, одно вслед за другим
за|Во время чего–нибудь
за|С целью получить, достать, достичь
за|Указывает на лицо как на субъект состояния
за|Указывает на порядок при счете, на сопровождающий признак
за|Указывает на причину чего–нибудь
за|Согласен
за|Довод в пользу чего–нибудь
за...|Образует глаголы со значением начала действия, распространения действия за пределы, доведения действия до излишества, заполнения, покрытия, захвата действием, предела действия
за...|Образует существительные и прилагательные со значением нахождения по ту сторону или позади чего–нибудь, один из повторяемых актов, внешнего признака как результата действия
за...|Образует наречия со значением временным и качественного признака
заалеть|Начать алеть
заартачиться|Начать артачиться
забава|Развлечение, игра
забавлять|Развлекать чем–нибудь занимательным, интересным
забавляться|Проводить время в забавах
забавник|Весельчак, шутник, умеющий забавлять
забавный|Доставляющий забаву, служащий забавой; интересный
забавность|Свойство быть забавным
забаллотировать|Не избрать при баллотировке
забарахлить|Начать барахлить
забарахлить|То же, что захламить
забаррикадировать|Загородить, заставить чем–нибудь тяжелым, громоздким
забаррикадироваться|Загородиться, заставиться чем–нибудь тяжелым, громоздким
забастовать|Начать бастовать
забастовка|Организованное массовое прекращение работы с целью добиться выполнения каких–либо требований, стачка
забастовщик|Участник забастовки
забвение|Утрата памяти о чем–нибудь
забвение|Пренебрежение тем, чем нельзя пренебрегать
забвение|То же, что забытье
забег|Отдельное состязание в беге
