забастовать|Начать бастовать  
забастовка|Организованное массовое прекращение работы с целью добиться выполнения каких–нибудь требований, стачка  
забастовочный|Относящийся к забастовке  
забастовщик|Участник забастовки  
забастовщица|Участница забастовки  
забастовщицкий|Относящийся к забастовщицам  
забвение|Утрата памяти о чем–нибудь  
забвение|Пренебрежение тем, чем нельзя пренебрегать  
забвение|То же, что забытье  
забег|В спорте: отдельное состязание в беге  
забегаловка|Маленькая второразрядная закусочная с продажей вина  
забегать|Начать бегать  
забегаться|Устать от беготни, хлопот  
забежать|Бегом войти, попасть куда–нибудь  
забежать|Зайти куда–нибудь на короткое время  
забежать|Убежать далеко  
забежать|Зайти бегом, в обход, со стороны  
забелеть|Начать белеть  
забелить|Покрыть белой краской сплошь  
забелить|Добавить сметаны или молока в суп, щи, свекольник  
забеливать|Покрывать белой краской сплошь или добавлять сметану или молоко в суп, щи, свекольник  
забелка|Действие по значению: забеливать  
забеспокоиться|Начать беспокоиться  
забитый|Измученный и запуганный  
забитость|Состояние измученности и запуганности  
забить|Начать бить  
забить|Вбить глубоко, до конца  
забить|То же, что загнать  
забить|Наполнить до предела чем–нибудь; засорить  
забить|Заделать, закрыть наглухо  
забить|Убить на бойне или во время промысловой охоты  
забить|Заглушить, не дать расти  
забить|Превзойти кого–нибудь в чем–нибудь  
забить|Измучить, довести до отупения побоями  
забивать|Бить или выполнять действия по значению забить  
забивание|Действие по значению: забивать  
забивка|Действие по значению: забивать  
забой|Место промысловой или горной выработки; также убой скота  
забойный|Относящийся к забою  
забиться|Начать биться  
забиться|Забравшись, спрятаться куда–нибудь  
забиться|Наполнившись, засориться  
забиваться|Спрятываться или засоряться  
забияка|Человек, который любит затевать драки, ссоры  
заблаговременный|Осуществляемый заранее  
заблаговременность|Свойство быть осуществляемым заранее  
заблагорассудиться|Прийти на ум, вздуматься; сложиться о решении  
заблестеть|Начать блестеть  
заблудиться|Сбиться с пути, потерять дорогу  
заблудший|Сбившийся с правильного жизненного пути  
заблуждаться|Иметь ошибочное, неправильное мнение  
заблуждение|Состояние того, кто заблуждается, ошибается  
заблуждение|Ложное мнение  
забойщик|Горнорабочий, работающий в забое  
забойщицкий|Относящийся к забойщику  
заболеваемость|Количество заболеваний  
заболевание|То же, что болезнь  
заболевание|Возникновение болезни  
заболеть|Начать болеть  
заболеть|Заинтересовавшись, увлечься кем–нибудь или чем–нибудь  
заболеть|Начать болеть (о головной боли и т. п.)  
заболевать|Начинать болеть  
заболонь|Наружные, молодые и менее плотные слои древесины, лежащие непосредственно под корой  
заболонный|Относящийся к заболони  
заболотить|Превратить в болото, сделать топким  
заболачивать|Превращать в болото, делать топким  
заболачивание|Действие по значению: заболачивать  
заболотиться|Превратиться в болото, стать топким  
заболачиваться|Превращаться в болото, становиться топким  
заболоченный|Превратившийся в болото, ставший топким  
заболоченность|Состояние заболоченного  
заболтать|Начать болтать  
заболтать|Примешать, разбалтывая  
забалтывать|Балтывать, примешивать, разбалтывая  
заболтаться|Начать болтаться  
заболтаться|Увлечься болтовней  
забалтываться|Увлекаться болтовней  
забор|Ограда, преимущественно деревянная  
заборный|Относящийся к забору  
забористый|Сильнодействующий, острый, сердитый  
забористый|Острый и вульгарно–грубоватый  
забористость|Свойство быть забористым  
забортный|Находящийся за бортом судна  
забота|Беспокойство, беспокойное, обременительное дело  
забота|Мысль или деятельность, направленная к благополучию кого–нибудь или чего–нибудь  
забота|Внимание, попечение, уход  
забота|Благодаря чьим–нибудь усилиям, стараниям  
заботить|Причинять заботу кому–нибудь, беспокоить  
озаботить|Причинить заботу  
заботиться|Проявлять заботу, внимательность  
заботиться|Затруднять себя, беспокоиться, тревожиться  
позаботиться|Проявить заботу  
заботливый|Проявляющий заботу, внимательный, старательный  
заботливость|Свойство быть заботливым  
забрало|В старинном вооружении: часть шлема, опускаемая на лицо  
забрало|Защитная стенка в каком–нибудь сооружении, устройстве  
забральный|Относящийся к забралу  
забрать|Взять, захватить  
забрать|Задержать или арестовать  
забрать|Подчинить себе, охватить (о чувствах)  
забрать|Заделать, загородить  
забрать|Подобрав, сузить, укоротить, подшить часть одежды  
забирать|Выполнять действия по значению: забрать  
забор (по забрать)|Взятие, захват чего–нибудь  
заборный (по забрать)|Относящийся к забору по значению забрать  
забраться|Залезть куда–нибудь (вверх, вглубь); проникнуть  
забраться|Уйти, уехать куда–нибудь далеко  
забираться|Лезть куда–нибудь; уезжать далеко
