зажухнуть|См. жухнуть
зазвать|Настоятельно зовя, приглашая, побудить прийти
зазвенеть|Начать звенеть
зазвонить|Начать звонить
зазвучать|Начать звучать
заздравный|Исполняемый, провозглашаемый или выпиваемый за чье–нибудь здоровье
зазеваться|Заглядевшись, не увидеть, не заметить кого–чего–нибудь другого
зазеленеть|Начать зеленеть
зазеленить|Запачкать в зелени, в чем–нибудь зеленом
заземление|Заземляющее устройство
заземлить|Соединить электрический аппарат, прибор с землей для защиты от опасного действия тока
заземлиться|Об электрическом аппарате, приборе: соединиться с землей
зазимовать|Остаться зимовать
зазнайка|Человек, который зазнается
зазнаться|Возгордиться, возомнить о себе, выказывая пренебрежение к другим
зазноба|Любимая девушка, женщина, возлюбленная
зазор|Скважина, углубление, узкий промежуток между частями чего–нибудь
зазорный|Постыдный, достойный осуждения
зазрение|Без стыда, не стесняясь
зазрить|Угрызения совести не позволят сделать что–нибудь плохое
зазубренный|С зазубринами
зазубрина|Щербина, выемка на чем–нибудь остром, на краю чего–нибудь
зазубрить|См. зубрить
зазывала|На ярмарках, гуляньях: человек, зазывающий покупателей, посетителей
зазывать|См. зазвать
зазябнуть|См. зябнуть
заиграть|Начать играть
заиграть|Истрепать частым употреблением в игре
заиграть|Слишком часто исполняя, опошлить, сделать банальным
заиграться|Увлекшись игрой, забыть о времени
заигрывать|Любезничать с кем–нибудь, ухаживая
заигрывать|Заискивать перед кем–нибудь
заика|Человек, страдающий заиканием
заикание|Патология речи – запинки, остановки, повторение одних и тех же звуков из–за судорожных сокращений мышц гортани
заикаться|Страдать заиканием; говорить с затруднением, непроизвольно повторять одни и те же звуки
заикаться|Упоминать вскользь, осторожно, намеками
заиметь|См. иметь
заимка|В старину: земельный участок, занятый кем–нибудь по праву первого владения, обычно в один двор, вдали от других пахотных земель; теперь в Сибири – название некоторых небольших отдаленных поселений
заимодавец|То же, что займодавец
заимодавец|Тот, кто дает взаймы, кредитор
заимодавческий|Относящийся к займодавцу
заимообразный|Взятый или данный в долг
заимствование|Заимствованное явление, слово, выражение
заимствовать|Взять, перенять, усвоить откуда–нибудь
заиндеветь|См. индеветь
заинтересованный|Обнаруживающий, заключающий в себе или имеющий для кого–нибудь интерес
заинтересованность|Интерес к чему–нибудь, кому–нибудь
заинтересовать|Возбудить в ком–нибудь интерес к чему–нибудь
заинтересовать|Привлечь выгодой, практическим интересом
заинтересоваться|Проявить, почувствовать интерес к кому–нибудь, чему–нибудь
заинтриговать|Возбудить интерес, любопытство чем–нибудь загадочным, неясным
заискывать|Лестью, угодничеством добиваться чьего–нибудь расположения
займодержатель|Владелец облигаций займа
зайти|Идя, по пути побывать где–нибудь, посетить кого–нибудь; вообще прийти к кому–нибудь, посетить кого–нибудь
зайти|Прийти куда–нибудь за кем–нибудь, чем–нибудь, чтобы взять с собой
зайти|Подойти не прямо, обходя, со стороны
зайти|Идя, попасть куда–нибудь далеко, за какой–нибудь предел
зайти|О речи: возникнуть, начаться
зайтись|Занеметь, затечь
зайтись|Долго смеясь, плача или кашляя, как бы онеметь, затихнуть, обессилев
