займовый|См. заем
займодавец|Тот, кто дает взаймы, кредитор
займодержатель|Владелец облигаций займа
зайти|Идя, по пути побывать где–нибудь, посетить кого–нибудь, а также вообще прийти к кому–нибудь, посетить кого–нибудь
зайти|Прийти куда–нибудь за кем–нибудь или чем–нибудь, чтобы взять с собой
зайти|Подойти не прямо, обходя, со стороны
зайти|Идя, попасть куда–нибудь далеко, за какой–нибудь предел
зайти|О речи: возникнуть, начаться
зайтись|Занеметь, затечь
зайтись|Долго смеясь, плача или кашляя, как бы онеметь, затихнуть, обессилев
зайчатина|Мясо зайца как пища
зайчик|Движущееся светлое пятнышко от отраженного солнечного луча
зайчиха|Самка зайца
зайчонок|Детеныш зайца
закабалить|Взять в кабалу
закабалить|Поставить в тяжелую зависимость, полностью подчинить себе
закавыка|Неожиданное препятствие, затруднение, зацепка
закавыка|Хитрость, лукавый намек, недомолвка
закадычный|О друге или дружбе: давнишний и близкий
заказ|См. заказать
заказ|Заказанный предмет, предметы
заказать|Поручить кому–нибудь изготовить, сделать что–нибудь
заказать|Сделать недоступным, запретить
заказник|Род заповедника, где охраняются животные
заказной|Принимаемый почтой под особую ответственность
заказной|То же, что заповедный
заказчик|Тот, кто делает заказ, заказывает что–нибудь
закал|То же, что закалка
закалить|Придать сплаву большую твердость путем нагрева и быстрого охлаждения
закалить|Сделать физически или нравственно крепким, стойким, выносливым
закалиться|О сплаве: получить большую твердость путем закалки
закалиться|Стать физически или нравственно стойким
закалка|Физическая или нравственная стойкость, выносливость
закаливать|То же, что колоть в значении “пронзить, добить”
закапать|Начать капать
закапать|Забрызгать каплями
закапать|Ввести куда–нибудь, капая
закапывать|То же, что закапать и закопать
закат|Заход за линию горизонта (солнца, небесного светила); время такого захода
закат|Освещение неба над горизонтом при заходе солнца
закатать|Начать катать
закатать|Катая, обмотать, облепить
закатать|Заровнять катком
закатать|То же, что засучить
закатать|Отправить куда–нибудь далеко
закатать|Герметически закрыть, закупорить с помощью специального приспособления
закатить|Катя, направить, поместить или задевать куда–нибудь
закатить|Сделать, устроить что–нибудь с силой, энергично
закатиться|Катясь, попасть куда–нибудь
закатиться|О небесном светиле: опуститься за горизонт
закатиться|Отправиться куда–нибудь чтобы повеселиться, приятно провести время
закатиться|Разразиться смехом, кашлем, слезами
закачать|Начать качать
закачать|Качая, утомить, вызвать головокружение, тошноту
закачаться|Начать качаться
закачаться|Выражение высокой оценки чего–нибудь
закашлять|Начать кашлять
закашляться|Начать кашлять приступом сильного кашля
закаяться|Дать себе обещание не делать чего–нибудь
закваска|Состав, вызывающий брожение, закисание
закваска|То же, что закалка
заквашивать|То же, что квасить
закидать|То же, что забросать
закинуть|То же, что забросить
закинуть|Подняв, придать чему–нибудь другое положение
закинуть|Упомянуть о ком–нибудь или о чем–нибудь с намерением узнать что–нибудь или попросить о чем–нибудь; намекнуть на что–нибудь
закинуться|Откинуться назад
закинуться|О лошади: на бегу броситься в сторону
закипеть|Начать кипеть
закиснуть|Стать кислым после заквашивания
закиснуть|Стать вялым, бездеятельным под влиянием какой–нибудь среды, обстановки
закись|В химии: соединение элементов низшей степени окисления с кислородом
