закричать|Начать кричать
закроить|Скроить, выкроить
закрой|Скроенная, выкроенная часть материала
закройный|Относящийся к закрою
закроечный|Предназначенный для закроя
закройщик|Мастер по закрою
закройщица|Мастер по закрою (женщина)
закройщицкий|Относящийся к закройщику
закром|Отгороженное место в амбаре для ссыпки зерна, муки
закром|Места хранения урожая
закромный|Относящийся к закрому
закругление|Закругленная часть чего–нибудь
закругленный|Имеющий округлую форму, с округлостью
закругленный|О речи: стройный, гладкий
закругленность|Качество, состояние округлённого
закруглить|Сделать округлым, круглым
закруглить|Придать стройность и законченность
закруглить фразу|Придать фразе стройность и законченность
закругляться|Становиться округлым, круглым
закругляться|Сокращать изложение, чтобы скорее его закончить
закружить|Начать кружить
закружить|Вертя, кружа, довести до усталости или дурноты
закружить|Переносное значение: погрузить кого–нибудь в хлопоты
закружиться|Начать кружиться
закружиться|Занимаясь чем–нибудь хлопотливым, устать
закручивать|То же, что крутить
закрытый|Огражденный, а также имеющий стенки и покрытие
закрытый|Недоступный для посторонних, предназначенный не для всех
закрытый|Подземный, не наружный
закрытый|Об одежде: без выреза
закрытый|Внутренний, не наружный; не обнаруживающийся явно
закрыть|Опустить крышку; сдвинуть створки чего–нибудь
закрыть|Сделать недоступным, закрытым для кого–нибудь, чего–нибудь
закрыть|Покрыть, накрыть, прикрыть
закрыть|Сомкнуть, сложить (что–нибудь раскрытое)
закрыть|Прекратить действие чего–нибудь
закрыть|Исключить возможность делать что–нибудь
закрыть|Положить конец каким–нибудь действиям, деятельности, какому–нибудь предприятию
закрывать|Делать закрытым
закрытие|Действие по значению закрыть
закрыться|Стать закрытым
закрыться|Затвориться или запереться в каком–нибудь помещении
закрыться|О ране, шве: зажить, срастись краями
закрыться|Перестать быть видимым
закрыться|Стать замкнутым, неоткровенным
закулисный|Происходящий, находящийся за театральными кулисами
закулисный|Тайный, скрываемый
закупить|Купить в большом количестве или оптом
закупить|Купив, запастись
закупать|Покупать в большом количестве или оптом
закупка|Действие по значению закупить
закупочный|Относящийся к закупке
закупорить|Заткнуть плотно отверстие в сосуде
закупоривать|Плотно затыкать отверстие в сосуде
закупоривание|Действие по значению закупорить
закупорка|Плотное затыкание отверстия
закупорочный|Оснащённый закупоркой, предназначенный для закупорки
закупориться|Закрыться плотно, наглухо
закупориваться|Становиться закупоренным
закупщик|Человек, который производит оптовые закупки
закурить|Начать курить
закурить|Стать курильщиком
закурить|Прокурить, пропитать табачным дымом
закуривать|Начинать курить
закуриться|О папиросе, сигарете, трубке: зажечься
закуриться|Начать куриться
закуриваться|Начинать куриться
закурка|Чтобы покурить один раз
закусать|Искусать, замучить укусами
закусить|Крепко захватить зубами
закусить|Сорваться, потерять управление над собой
закусить|Прикусить язык
закусывать|Делать закусывание
закусить|Поесть немного (обычно холодное и не в урочное время)
закусить|Заесть выпитое (вино, водку)
закусывание|Действие по значению закусить
закуска|Еда, кушанье, подаваемое перед горячими блюдами
закуска|То, чем закусывают, заедают выпитое
закусочный|Предназначенный для закуски
закусочная|Небольшое торговое предприятие с продажей закусок, несложных горячих блюд, напитков
закусь|То же, что закуска
закут|Хлев для мелкого скота, а также чулан, кладовая в избе
закута|Хлев для мелкого скота, а также чулан, кладовая в избе
закутка|То же, что закут, закута
закуток|То же, что закут, закута
закуток|Укромный уголок в каком–нибудь помещении
закутывать|То же, что кутать
зал|Помещение для публики, публичных собраний, для занятий чем–нибудь, для размещения экспонатов
зал|Парадная комната для приема гостей
зальный|Относящийся к залу
заладить|Начать говорить, повторяя одно и то же
заладиться|Начать ладиться
залаживаться|Начинать ладиться
залагать|Начинать ладиться
заламывать|То же, что заломить
заласкать|Утомить ласками
залатать|Чинить латкой
залаять|Начать лаять
залегать|Лежать, располагаться пластом
заледенелый|Заледеневший, покрывшийся льдом
заледенеть|Становиться ледяным
заледенить|Покрывать льдом
залежалый|То же, что лежалый
залежаться|Пролежать слишком долго
залежаться|Долго пролежать без употребления, испортиться от долгого лежания
залеживаться|Долго оставаться без движения или употребления
залежь|Скопление полезного ископаемого
залежь|Надолго оставленная без обработки пахотная земля
залежь|То, что долго лежит без движения
залежь|Залежавшийся товар
залежный|Относящийся к залежи
залезть|Подняться, взобраться
залезть|Войти, проникнуть куда–нибудь
залезть|Ограбить кого–нибудь, бесцеремонно воспользоваться чужими средствами
залезать|Влезать куда–нибудь
залепить|Замазать, заделать чем–нибудь липким, мягким
залепить|Покрыть чем–нибудь, наклеивая
залепить|Нанести удар
залеплять|Замазывать, заделывать чем–нибудь липким, мягким
залететь|Летя, оказаться где–нибудь, попасть куда–нибудь
залететь|Во время перелета по пути остановиться где–нибудь
залет|Действие по значению залететь
