залежалый|То же, что лежалый
залежаться|Пролежать слишком долго
залежаться|Долго пролежать без употребления, испортиться от долгого лежания
залежь|Скопление полезного ископаемого
залежь|Надолго оставленная без обработки пахотная земля
залежь|То, что долго лежит без движения
залежь|Залежавшийся товар
залежный|Относящийся к скоплению полезного ископаемого или надолго оставленной без обработки пахотной земле
залезть|Подняться, взобраться на что–нибудь
залезть|Войти, проникнуть куда–нибудь
залезть|Ограбить кого–нибудь, бесцеремонно воспользоваться чужими средствами
залезать|Подниматься, взбираться на что–нибудь
залезать|Входить, проникать куда–нибудь
залезать|Ограблять кого–нибудь, бесцеремонно пользоваться чужими средствами
залепить|Замазать, заделать чем–нибудь липким, мягким
залепить|Покрыть чем–нибудь наклеивая
залепить|Нанести удар
залетел|Летя, оказаться где–нибудь, попасть куда–нибудь
залетел|Во время перелета по пути остановиться где–нибудь
залечить|Леча, дать зажить чему–нибудь
залечить|Неумелым лечением причинить вред кому–нибудь
залечиться|Зажить после лечения
залечиться|Неумелым или чрезмерным лечением принести себе вред
залечь|Лечь надолго
залечь|Расположиться где–нибудь скрытно
залечь|Расположиться, поместиться
залёг|Лечь надолго
залёг|Расположиться где–нибудь скрытно
залёг|Расположиться, поместиться
залётный|Случайно залетевший куда–нибудь
залив|Часть водного пространства, вдавшаяся в сушу
заливистый|О звуках, голосе: звонкий и переливчатый
заливной|Заливаемый в половодье
заливной|О кушанье: залитый студенистым наваром
зализать|Лизаньем очистить
зализать|Плотно и гладко причесать волосы
залить|Покрыть сплошь водой или иной жидкостью
залить|Испачкать жидким
залить|Потушить водой
залить|Наполнить, покрыть жидким, густеющим, твердеющим
залить|Налить, наполнив что–нибудь
залиться|Покрыться сплошь водой, жидкостью
залиться|Испачкаться чем–нибудь жидким
залиться|О жидком: попасть куда–нибудь
залиться|Покрыться бледностью, румянцем
залиться|Начать петь, а также издавать звонкие переливчатые звуки
залиться|Горько заплакать
залихватский|Удалой, бесшабашный
залихорадить|Начать лихорадить
залог|Отдача имущества в обеспечение обязательств, под ссуду
залог|Отданная в такое обеспечение вещь
залог|Доказательство, обеспечение чего–нибудь
залог|Глагольная категория, представляющая соотношение субъекта и объекта действия как активное или пассивное
заложить|Положить за что–нибудь
заложить|Положить внутрь, вглубь чего–нибудь
заложить|Занять, заполнить пространство чем–нибудь
заложить|Положив основу, начать постройку, устройство чего–нибудь
заложить|Положить, поместить для хранения
заложить|Запрячь, впрячь в экипаж, приготовить запряжку
заложить|Вложить закладку
заложить|Отдать в залог, в качестве залога
заложить|Об ощущении болезненной тяжести в груди, носу, ушах
заложник|Человек, насильственно задержанный в обеспечение выполнения каких–нибудь требований
заложница|Человек, насильственно задержанный в обеспечение выполнения каких–нибудь требований
залом|Сорт крупной и жирной сельди
заломить|Согнув, надломить
заломить|Согнув, откинуть вверх или назад
заломить|Запросить слишком дорого
заломить шапку|Ухарски надеть набекрень
залосниться|Заноситься, загрязниться до лоска
залп|Одновременный выстрел из нескольких огнестрельных орудий, из ручного оружия
залпом|Произведя залп
залпом|Сразу, без передышки
залубенеть|Становиться лубяным, покрываться лубом (см. лубенеть)
залупиться|Отлупляясь, отдираясь, загнуться, завернуться
залучить|Заманить, зазвать
залысина|Идущее вверх от виска место, не покрытое волосами
залюбоваться|Любуясь, засмотреться
заляпать|Запачкать чем–нибудь жидким, липким
зам|Сокращение: заместитель
зам...|Сокращение в значении заместитель, например замдиректора, замдекана, замминистра, зампредседатель
замазать|Покрыть чем–нибудь красящим, мажущим
замазать|Заделать замазкой или чем–нибудь мягким, липким
замазать|Умышленно скрыть, замаскировать
замазка|Мягкий, постепенно засыхающий состав для заделывания щелей, трещин
замазочный|Относящийся к замазке
замай|Не трогай, не задевай, оставь в покое кого–нибудь
заманить|Привлекая чем–нибудь, завлечь
заманчивый|Обещающий успех, выгоды, удовольствие
замарашка|Тот, кто запачкался, испачкал лицо, руки
замаслить|Испачкать маслом, чем–нибудь жирным
замаслиться|Испачкаться маслом, чем–нибудь жирным
замаслиться|Начать маслиться, заблестеть
заматерелый|Застарелый, закосневший
заматывать|То же, что мотать
замахать|Начать махать
