заматерелый|Застарелый, закосневший  
заматерелость|Застарелый, закосневший  
заматрировать|То же, что матрицировать  
заматывать|То же, что мотать  
замахать|Начать махать  
замахнуться|Размахнувшись, занести руку для нанесения удара  
замахнуться|Решить сделать какое–нибудь большое или трудное дело, а также задумать получить что–нибудь  
замашка|Манера действовать, повадка  
замая́ться|Устать, истомиться  
замедлить|Сделать более медленным, медленнее  
замедлить|Задержаться, опоздать  
замедлитьcя|Стать медленным, медленнее  
замелить|Замазать мелом  
замена|Тот, кто или то, что заменяет кого–либо или что–либо  
заменимый|Такой, что можно заменить другим  
заменимость|Такой, что можно заменить другим  
заменитель|Материал, продукт, который по своим свойствам может заменять другой  
заменить|Взять, назначить, использовать взамен другого  
заменить|Занять место кого–либо или чего–либо, став равноценным  
заменить|Прийти на смену кому–либо или чему–либо  
замереть|Стать неподвижным, перестать двигаться, затаить дыхание  
замереть|Затихая, прекратиться  
замерзать|То же, что мерзнуть  
замерзание|То же, что мерзнуть  
замерить|Измерить, обмерить  
замер|Измерить, обмерить  
замертво|Без признаков жизни  
замесить|Приготовить, смешивая какое–нибудь сыпучее вещество с жидкостью и разминая для получения вязкой массы  
замес|Приготовить, смешивая какое–нибудь сыпучее вещество с жидкостью и разминая для получения вязкой массы  
замесить|Вмешать какое–нибудь вещество для получения вязкой массы  
замести|Подметая, отмести в сторону  
замести|Покрывая чем–нибудь сыпучим, закрыть  
замести|Скрыть (переносное значение)  
заместитель|Человек, который заменяет кого–либо в какой–либо должности  
заместитель|Помощник вышестоящего должностного лица  
заместительница|Человек, который заменяет кого–либо в какой–либо должности  
заместить|То же, что заменить  
заместить|Занять должность, вакансию  
заметать|Крупными стежками зашить  
заметать|То же, что замести  
заметаться|Начать метаться  
заметить|Увидеть, обнаружить  
заметить|Отметить в уме, запомнить, обратить внимание на кого–либо или что–либо  
заметить|Сказать что–нибудь, вставить в разговор  
заметка|Знак, сделанный на чём–нибудь  
заметка|Краткая запись  
заметка|Краткое сообщение в печати  
заметный|Такой, что можно заметить, увидеть, видный  
заметный|Очевидный, явный  
заметный|Такой, который ощущается, чувствуется, видный  
заметный|Выдающийся среди других, известный  
заметный|Можно видеть, заметить, видно  
заметность|Выдающийся среди других, известный  
замечание|Краткое суждение по поводу чего–нибудь  
замечание|Указание на ошибку; выговор  
замечательный|Исключительный по своим достоинствам, выдающийся  
замечательность|Исключительный по своим достоинствам, выдающийся  
замечаться|Проявляться, обнаруживаться  
замечтаться|Погрузиться в мечты  
замешательство|Внезапное нарушение порядка, смятение, растерянность  
замешать|Вовлечь в предосудительное дело, в преступление  
замешаться|Оказаться причастным к чему–нибудь (обычно предосудительному, неприятному)  
замешаться|Скрыться среди народа  
замешиваться|Оказаться причастным к чему–нибудь (обычно предосудительному, неприятному)  
замешивать|Вмешивать, вовлекать во что–либо  
замешивать|Приготовить, смешивая какое–нибудь сыпучее вещество с жидкостью и разминая  
замешкаться|Задержаться, пробыть дольше, чем нужно где–нибудь; замедлить  
замещать|Временно исполнять чьи–либо обязанности  
заметано|Ладно, решено, договорились  
заминка|Задержка, помеха  
заминка|Приостановка в речи, нарушение её плавного течения  
замирить|Успокоить враждующие стороны, добившись мира  
замириться|Заключить мир  
замкнутый|Обособленный; отъединенный от общества, занятый своими узкими интересами  
замкнутый|Необщительный, скрытный  
замкнутость|Обособленный; отъединенный от общества, занятый своими узкими интересами  
замкнуть|Закрыть замок или запереть на замок  
замкнуть|Соединить крайние части, концы чего–либо; сомкнуть  
замыкать|Соединить крайние части, концы чего–нибудь; сомкнуть  
замкнутый|Обособленный; отъединенный от общества, занятый своими узкими интересами  
замкнуться|Закрыться (о замке) или запереться на замок  
замкнуться|Соединиться концами  
замкнуться|Обособиться, перестав общаться с другими, стать замкнутым  
замогильный|О голосе: глухой и мрачный
