замириться|Заключить мир с кем–нибудь
замкнутый|Обособленный, отъединенный от общества, занятый своими узкими интересами
замкнутый|Необщительный, скрытный человек
замкнутый|Необщительный, скрытный характер
замкнутость|Обособленность, отъединенность от общества, занятость своими узкими интересами
замкнуть|Закрыть замок или запереть на замок
замкнуть|Соединить крайние части, концы чего–нибудь; сомкнуть
замыкательный|Предназначенный для замыкания
замкнуться|Закрыться (о замке) или запереться на замок
замкнуться|Соединиться концами
замкнуться|Обособиться, перестав общаться с другими, стать замкнутым
замыкаться|Закрываться (о замке) или запираться на замок
замыкаться|Соединяться концами
замыкаться|Обособляться, переставая общаться с другими, становиться замкнутым
замыкание|Действие по замыканию; образование электрического контакта, не предусмотренное нормальными условиями работы
замогильный|О голосе: глухой и мрачный
замок|Дворец и крепость феодала
замок|Название некоторых дворцов
замок|То же, что тюрьма
замковый|Относящийся к замку (дворцу, тюрьме)
замок|Приспособление для запирания чего–нибудь ключом
замок|Устройство для соединения подвижных частей машин, механизмов
замок|Приспособление для воспламенения заряда при выстреле огнестрельного оружия
замок|Такое скрепление бревен, брусьев, при котором конец одного помещается в углубление, вырубленное в другом, или когда они рубятся в лапу
замковый|Относящийся к устройству для соединения частей механизмов, оружия или для скрепления бревен, арок
замочный|Относящийся к приспособлению для запирания чего–нибудь ключом
замокнуть|От лежания в воде пропитаться влагой или размякнуть
замокать|Пропитываться влагой или размякать от лежания в воде
замолвить|Сказать что–нибудь в пользу кого–нибудь, попросить содействия для кого–нибудь у кого–нибудь или перед кем–нибудь
замолить|Молясь, испросить себе у Бога прощение, отпущение грехов
замолить|Усиленными молитвами или добрыми делами снять грех, грехи с души
замаливать|Молясь, испрашивать у Бога прощение, отпущение грехов
замаливание|Действие по замаливанию
замолкнуть|Перестать говорить, затихнуть
замолкать|Переставать говорить, затихать
замолчать|Перестать говорить, петь, кричать, издавать какие–нибудь звуки
замолчать|Преднамеренным молчанием скрыть, не дать узнать о чем–нибудь
замалчивать|Преднамеренно скрывать что–нибудь молчанием
замалчивание|Действие по замалчиванию
замор|См. заморить
замордовать|См. мордовать
заморить|См. морить
замориться|Утомиться, умориться
заморозить|Подвергнуть действию холода, мороза, дать замерзнуть, застыть
заморозить|Сильно остудить
заморозить|Подвергнуть местному обезболиванию
заморозить|Оставить на прежнем уровне или неиспользованным
замораживать|Подвергать действию холода, мороза; сильно остужать; подвергать местному обезболиванию; оставлять на прежнем уровне или неиспользованным
замораживание|Действие по замораживанию
заморозка|Действие по замораживанию
заморозки|Легкий утренний мороз осенью или весной
заморозок|Легкий утренний мороз осенью или весной
заморочить|См. морочить
заморский|Находящийся за морем, за границей, приехавший или привезенный оттуда
заморский|О торговле: внешний, ведущийся с заграницей
заморыш|Хилое, недоразвитое существо
замостить|См. мостить
замотанный|Усталый от забот, дел, утомленный
замотанность|Состояние усталости от забот, дел, утомленности
замотать|Мотая, закрутить вокруг чего–нибудь
замотать|Утомить работой, хлопотами
замотать|Присвоить, не возвратить взятого, зажать
заматывать|Крутить вокруг чего–нибудь; утомлять работой, хлопотами
заматывание|Действие по заматыванию
замотаться|Накрутиться на что–нибудь
замотаться|Устать от хлопот, работы
заматываться|Накручиваться на что–нибудь; уставать от хлопот, работы
замочить|См. мочить
замочка|См. мочить
замполит|В советской армии: заместитель командира по политической части
замуж|Выйти замуж за кого–нибудь — стать чьей–нибудь женой
замуж|Отдать или выдать замуж кого–нибудь за кого–нибудь — согласиться на вступление в брак с кем–нибудь своей дочери, сестры, родственницы, способствовать тому, чтобы женщина вышла замуж
замужем|О пребывании женщины в браке
замужество|Пребывание женщины в браке
замужняя|Состоящая в замужестве
замурзанный|Грязный, неопрятный
замурзанность|Состояние грязности, неопрятности
замуровать|Заделать наглухо в каменную кладку
замуровывать|Заделывать наглухо в каменную кладку
замуслить|См. муслить
замусолить|См. муслить
замусорить|Загрязнить, заполнить мусором
замусоривать|Загрязнять, заполнять мусором
замусориться|Загрязниться, заполниться мусором
замусориваться|Загрязняться, заполняться мусором
замутить|См. мутить
замутиться|См. мутить
замухрышка|Невзрачный, неряшливый человек
замучить|Мучениями извести, довести до смерти
замучивать|Мучить, доводить мучениями до смерти
замучиться|См. мучиться
замша|Выделанная мягкая и тонкая ворсовая кожа с бархатистой поверхностью
замшевый|Сделанный из замши или похожий на замшу
замшелый|Покрывшийся мхом
замшелый|О человеке: дряхлый
замшелость|Состояние замшелости, покрытости мхом или дряхлости
замшеть|Покрыться мхом
замызгать|Истрепать, испачкать
замызгивать|Истрепывать, испачкивать
замыкать|Находиться в конце чего–нибудь, заключая собой
замыкание|Действие по замыканию
замысел|Задуманный план действий, деятельности, намерение
замысел|Заложенный в произведении смысл, идея
