замызгать|Истрепать, испачкать
замыкание|Заключаться собой в конце чего–нибудь
замыкающий|Находиться в конце чего–нибудь, идя последним в цепочке
замысел|Задуманный план действий, деятельности, намерение
замысел|Заложенный в произведении смысл, идея
замыслить|Предположить, задумать, намереваясь сделать что–нибудь
замысловатый|Хитроумный, мудреный, не сразу понятный, вычурный
замыть|Отмыть запачканное место
замышляться|О чем–нибудь мыслимом и далеком (обычно тайном): предполагаться
замять|Прекратить, умышленно не дать хода
замяться|Почувствовав нерешительность, смутившись, прервать речь
занавес|Несколько соединенных полотнищ, закрывающих сцену от зрительного зала
занавес|Занавеска, портьера
занавес|О политике, обусловленной идеологической борьбой и направленной на изоляцию страны или группы стран от внешних связей и влияний
занавесить|Закрыть занавеской, шторой, гардиной
занавеска|Полотнище, отрезок ткани для закрывания, отгораживания чего–нибудь
заначка|Место, где что–то спрятано, убрано от других про запас; то, что так спрятано, убрано
занемочь|Стать больным, захворать
занести|Неся, доставить куда–нибудь мимоходом, по пути
занести|Доставить, направить куда–нибудь очень далеко или не туда, куда следует
занести|Поднять или, подняв, отвести в сторону
занести|Записать, вписать во что–нибудь
занести|Засыпать, замести
занести|Произвести, вызвать (то, что названо следующим далее существительным)
занести|О состоянии потери самообладания, самоконтроля
занестись|Начать нестись (о птицах)
занизить|Сделать ниже нормального, необходимого (о норме, цене, одежде); сделать ниже, чем нужно
занимательный|Способный занять внимание, воображение, интересный
заниматься|Работать (об умственном занятии), учиться
заниматься|Иметь что–нибудь предметом своих занятий, деятельности
заново|Вновь, по–новому
заноза|Тонкий, острый кусочек дерева, металла, вонзившийся под кожу
заноза|Задиристый, придирчивый человек
занозистый|Надоедающий своими едкими язвительными замечаниями, приставанием
занозить|Всадить занозу во что–нибудь
занос|Наметенный вьюгой, ветром сугроб, преграждающий путь
заносить|Истрепать, загрязнить ноской
заноситься|Истрепаться, загрязниться в носке
заносчивый|Высокомерный, чванный
заночевать|Остаться ночевать где–нибудь
зануда|Занудливый человек
занудливый|То же, что занудный
занудный|Надоедливый, нудный
заныть|Начать ныть
занюханный|Утративший свежесть, чистоту
занятие|То, чем кто–нибудь занят, дело, труд, работа, а также вообще заполнение чем–нибудь своего времени
занятие|Учебные часы, а также вообще время учения
занятный|Занимательный, любопытный, забавный
занятый|Имеющий много работы, много дел
занятость|Наличие работы, обеспеченность работой
занять|Взять взаймы
