зарябить|Начать рябить
заряд|Количество взрывчатого вещества, необходимое для взрыва, выстрела и содержащееся в соответствующем устройстве в специальном вместилище
заряд|Количество электричества, содержащееся в данном теле
заряд|Внезапный и сильный снегопад
заряд|Скопившаяся в ком–нибудь энергия
зарядить|Вложить заряд, патрон во что–нибудь
зарядить|Сообщить чему–нибудь заряд
зарядить|Снабдить чем–нибудь, сделать готовым к действию
зарядить|Повторяясь, производить одно и то же действие
зарядить|Начать идти (о дожде) не переставая
зарядиться|Стать заряженным
зарядиться|Приобрести некоторый запас энергии, подбодрить себя чем–нибудь
заряжать|Вкладывать заряд, патрон во что–нибудь
заряжать|Сообщать чему–нибудь заряд
заряжать|Снабжать чем–нибудь, делать готовым к действию
заряжаться|Стать заряженным каким–либо зарядом
заряжаться|Приобретать некоторый запас энергии, подбадривать себя чем–нибудь
заряжание|Действие по значению заряжать
зарядка|Совокупность оздоровительных гимнастических упражнений
зарянка|Небольшая кустарниковая певчая птица семейства дроздовых с землисто–бурым оперением на спине и рыжим на груди и горле
засада|Скрытое расположение кого–нибудь с целью неожиданного нападения
засада|Военный отряд, так расположенный
засадить|Сажая растения, занять ими какой–нибудь участок земли
засадить|Заставить безвыходно сидеть где–нибудь, заключить куда–нибудь
засадить|Заставить длительно заниматься чем–нибудь
засадить|Надолго посадить в тюрьму
засадить|Глубоко воткнуть
засаливать|То же, что солить
засалить|Запачкать чем–нибудь жирным, сальным
засалиться|Запачкаться чем–нибудь жирным, сальным
засахарить|Покрыть затвердевающим слоем сахарного сиропа
засахариться|Густея, превратиться в сахаристые комки; покрыться затвердевшим слоем сахарного сиропа
засахариваться|Густея, превращаться в сахаристые комки; покрываться затвердевшим слоем сахарного сиропа
засверкать|Начать сверкать
засветить|Зажечь для освещения
засветить|Сильно ударить
засветить|Испортить светочувствительную пленку, не предохранив от действия света
засвечивать|Портить светочувствительную пленку, не предохраняя от действия света
засветиться|Начать светиться
засветло|Пока еще светло, не стемнело
заседание|Собрание членов какой–нибудь организации для обсуждения чего–нибудь
заседатель|Выборное должностное лицо, участвующее в работе какого–нибудь учреждения
засорить|Заполнить, загрязнить чем–нибудь не нужным, вредным
засориться|Стать засоренным
засосать|Начать сосать
засосать|Причинить кому–нибудь вред сосанием
засосать|Втянуть, вобрать в себя
заспанный|Со следами сна
заспатать|Забыть о чем–нибудь после сна
заспать|Уснув, задушить младенца своей грудью, телом
заспаться|Проспать много, больше обычного
заспешить|Начать спешить
заспиртовать|Положить в спирт для предохранения от разложения
заспорить|Начать спорить
заспориться|Начать спориться
засрамить|Застыдить, опозорить
застава|Место въезда в город, пункт контроля привозимых грузов и приезжающих
застава|Воинское подразделение, несущее охранение
застава|То же, что пограничная застава
заставить|Ставя что–нибудь, занять всю площадь
заставить|Загородить чем–нибудь
заставить|Поставить в необходимость делать что–нибудь, принудить
заставка|Рисунок в ширину страницы, выделяющий начало книги, главы
заставка|Повторяющееся изображение или музыкальное сопровождение в начале телепередач, а также заполнение паузы в радио– и телепередачах
застарелый|Укоренившийся, такой, что трудно исправить, излечить
застать|Найти, увидеть в каком–нибудь месте, положении, состоянии; застичь
застегнуть|Соединить, скрепить борта, края при помощи застежки, застежек
застегнуться|Застегнуть на себе одежду
застеклить|Вставить стекла куда–нибудь
застенок|Место пыток, тюремных истязаний
застенчивый|Стыдливо–робкий, смущающийся
застесняться|Проявить застенчивость, начать стесняться
