застенок|Место пыток, тюремных истязаний
застенчивый|Стыдливо-робкий, смущающийся
застенчивость|Свойство быть стыдливо-робким, смущающимся
застесняться|Проявить застенчивость, начать стесняться
застёжка|Приспособление для скрепления, соединения бортов одежды, краев чего–нибудь
застирaть|Очистить стиркой часть чего–нибудь, отмыть
застирaть|Испортить плохой стиркой
застить|Заслонить, загородить
застигать|Внезапно захватить, застать
застигнуть|Внезапно захватить, застать
застичь|Внезапно захватить, застать
застить|Заслонить, загородить
застлать|Расстилая, накладывая что–нибудь, закрыть сплошь
застлать|Закрыть, покрыть туманной пеленой
застилать|Расстилая, накладывая что–нибудь, закрывать сплошь
застилать|Закрывать, покрывать туманной пеленой
застлаться|Закрыться, покрыться чем–нибудь туманным, стелющимся, какой–нибудь пеленой
застояться|Простоять без движения слишком долго
застояться|Утратить нормальное состояние, испортиться от долгого пребывания в неподвижности
застояться|Задержаться, простояв долго на одном месте
застой|Остановка, задержка, неблагоприятная для развития, движения чего–нибудь
застой|Время замедленного развития экономики, пассивного, вялого состояния общественной жизни, мысли
застойный|Неблагоприятный для развития, движения состояние
застолбить|Поставить столб для обозначения чего–нибудь
застолбить|Обозначить как намеченное к разработке, исполнению
застолье|Праздничный стол, угощение, а также сидящие за праздничным столом
застоличный|Происходящий за столом во время застолья, обеда, банкета
застонать|Начать стонать
застоялый|Долго стоявший, не бывший в движении
застоялость|Свойство долго стоять, не быть в движении
застращать|То же, что запугать
застрашивать|То же, что запугивать
застрелить|Убить из огнестрельного оружия
застреливаться|Убивать себя из огнестрельного оружия
застрельщик|Тот, кому принадлежит почин в каком–нибудь деле
застрельщица|Тот, кому принадлежит почин в каком–нибудь деле
застреха|В крестьянских избах: нижний, свисающий край крыши, а также брус, поддерживающий нижний край крыши
застрогать|Строгая, заострить
застругать|Строгая, заострить
застраивать|Занимать постройками какой–нибудь участок
застраиваться|Становиться застроенным, осуществлять застройку
застройка|Занятый постройками участок земли
застройщик|Тот, кто строит или построил для себя дом, строение на отведённом участке
застройщица|Тот, кто строит или построил для себя дом, строение на отведённом участке
застрочить|Убавив, зашить на швейной машине
застрочить|Начать строчить
застроченный|Обработанный строчкой
заструга|Наметённый ветром длинный и узкий снежный вал
застрять|Плотно войти, попасть во что–нибудь так, что трудно вынуть, высвободить
застрять|Задержаться, оставшись надолго где–нибудь
застудить|Озябнув, простудить; сильно остудить
застудиться|Озябнуть, простудиться
застукать|Внезапно застичь, застать на месте преступления
заступ|Большая металлическая лопата для земляных работ
заступить|Заменить, заместить
заступить|Сменив кого–нибудь, приступить к работе
заступить|Начать выполнять обязанности, сменив кого–нибудь
заступитьcя|Защитить кого–нибудь
заступаться|Выступать в защиту кого–нибудь
заступник|Тот, кто заступается, выступает в защиту кого–нибудь
заступница|Тот, кто заступается, выступает в защиту кого–нибудь
заступничество|Защита, покровительство
заступнический|Относящийся к защите, покровительству
застыдить|Укоряя или уличая в чем–нибудь, заставить испытать стыд
застыдиться|Почувствовать смущение, стыд
застыть|Сгуститься, отвердеть от охлаждения, холода
застыть|О воде: превратиться в лёд
застыть|Сильно озябнуть
застыть|О трупе: стать холодным, окоченеть
застыть|То же, что замереть
застывать|Сгущаться, отвердевать от охлаждения, холода
засудить|Обвинить по суду
засуживать|Обвинять по суду
засуетиться|Начать суетиться
засунуть|Сунув, спрятать, положить куда–нибудь
засовывать|Класть куда–нибудь, пряча что–нибудь
засупонить|Стянуть супонь у хомута при запряжке лошади
засупонивать|Стягивать супонь у хомута при запряжке лошади
