затеплить|Зажечь лампаду или свечу  
затеплиться|Начать теплиться  
затереть|Трением или замазыванием уничтожить, сделать незаметным  
затереть|Приготовить, растирая, разминая  
затереть|Сдавить, стеснить  
затереть|Умышленно помешать кому–нибудь выдвинуться, продвинуться по службе  
затереться|Пробраться в группу людей, проникнуть  
затерянный|Забытый, одинокий, заброшенный  
затерять|Потерять что–нибудь  
затеряться|Потеряться, исчезнуть  
затеряться|Стать незаметным, невидимым где–нибудь, среди кого–чего–нибудь  
затесать|Обтесывая, сделать уже, острее с конца  
затесаться|Проникнуть, затереться в какую–нибудь группу людей  
затечь|О текучем: попасть, влиться куда–нибудь  
затечь|Распухнуть, как бы налившись чем–нибудь  
затечь|О частях тела: онеметь  
затея|Задуманное дело, замысел  
затея|Занятие для развлечения, забава  
затея|Затейливые украшения  
затеять|Предпринять, начать что–нибудь делать  
затеяться|Начаться, возникнуть  
затихнуть|Стать тише, перестать, прекратиться  
затихнуть|Успокоиться, перестать двигаться, шуметь  
затишек|Защищенное от ветра место  
затишье|Ослабление, временное прекращение шума, движения, деятельности  
заткать|Покрыть сплошь тканым узором  
заткнуть|Плотно закрыть отверстие  
заткнуть|То же, что засунуть  
заткнуться|Стать заткнутым, закупориться  
заткнуться|Перестать говорить, кричать  
затмение|Временное затемнение небесного светила  
затмение|Временное помрачение сознания  
затмить|Превзойти в каком–нибудь отношении  
зато|Но в то же время, однако  
затоварить|Скопить много товара, не пуская в торговый оборот  
затовариться|Оказаться затоваренным  
затолкать|Толкая, причинить ушибы, боль  
затолкать|Затолкнуть в несколько приемов  
затолкнуть|Втолкнуть глубоко внутрь  
затон|Вдавшийся в берег речной залив, заводь  
затон|Место стоянки и ремонта речных судов, обычно оборудованное в речном заливе  
затонуть|Утонуть о судах, предметах  
затопить|Зажечь топливо в чем–нибудь, начать топить  
затопить|Залить водой поверхность чего–нибудь  
затопить|Погрузить в воду, в глубину  
затопиться|Начать топиться  
затоптать|Топча, заровнять или вдавить во что–нибудь  
затоптать|Топча, задавить, убить  
затоптать|Испачкать, наследив  
затоптаться|Начать топтаться  
затор|Задержка в движении от скопления движущихся людей, предметов, пробка  
заторможённый|Замедленный, вялый  
затормошить|Утомить, дергая, тормоша, теребя  
затормошить|Замучить надоедливыми просьбами, обращениями, требованиями  
заторопиться|Начать торопиться  
затосковать|Начать тосковать  
заточение|Пребывание в тюрьме, ссылке, а также место такого пребывания  
заточить|Подвергнуть заточению, лишить свободы  
заточить|Заострить, сделать острым  
затошнить|Начать тошнить  
затравка|То же, что запал  
затравка|То, что кладет начало чему–нибудь, возбуждает интерес к дальнейшему  
затрапезный|Будничный, повседневный, заношенный  
затрата|То, что истрачено, израсходовано  
затратить|Потратить, израсходовать
