земно|Кланяться до земли
земноводный|Приспособленный к жизни в воде и на суше
земноводный|Класс позвоночных животных, способных жить в воде и на суше, амфибии
земной|Обращенный к жизни с ее реальными делами и помыслами, далекий от высоких идеалов
земский|То же, что общегосударственный
земский|Чиновник с судебно-административной и полицейской властью, управляющий крестьянским населением определенной местности
земснаряд|Землесосный или землечерпательный снаряд
земство|В России до революции: орган местного сельского самоуправления с преобладанием в нем дворянства
земщина|Часть государства, выделенная Иваном IV в управление боярам, в отличие от опричнины
зенит|В астрономии: точка небесной сферы, находящаяся вертикально над головой наблюдателя
зенит|Высшая степень, вершина чего–нибудь
зенитка|Зенитное орудие
зенитный|Служащий для стрельбы по воздушным целям
зенитный|Пулемет, служащий для стрельбы по воздушным целям
зенитчик|Военнослужащий зенитного подразделения
зеница|Глаз; зрачок
зеркало|Предмет со стеклянной или металлической отполированной поверхностью, предназначенный для отображения того, что находится перед ним
зеркало|Спокойная гладкая поверхность вод
зеркало|Поверхность или площадь (реки, водоема, грунтовых вод)
зеркальный|Гладкий и блестящий, напоминающий зеркало
зеркальный|Об изображении: сходный с получаемым в зеркале, при котором происходит пространственное преобразование изображаемого
зернистый|Состоящий из зерен, а также с большим количеством зерен
зерно|Плод, семя злаков, а также некоторых других растений
зерно|Семеня хлебных злаков
зерно|Небольшой, обычно округлый предмет, мелкая частица чего–нибудь
зерно|Ядро, зародыш чего–нибудь
зерно|Первая часть сложных слов со значением относящийся к зерну
зернобобовый|О бобовом растении: возделываемый для получения зерна
зерновой|Относящийся к зерну 
зерновой|То же, что зерновые культуры
зерноочистительный|Служащий для очистки и сортировки зерна
зерносушилка|Специально оборудованное помещение для сушки зерна
зерносушилка|Машина для сушки зерна, семян трав
зерноуборочный|Служащий для уборки зерна
зернохранилище|Помещение для хранения зерна
зефир|У древних греков: западный ветер; в поэзии: теплый легкий ветер
зефир|Род пастилы
зефир|Тонкая хлопчатобумажная ткань
зигзаг|Ломаная линия
зигзагообразный|Имеющий вид зигзага, зигзагов
зиждиться|Основываться на чем–нибудь, опираться на что–нибудь
зима|Самое холодное время года, следующее за осенью и предшествующее весне
зимник|Дорога, проложенная прямо по снегу для езды зимой
зимовать|Проводить где–нибудь зиму, жить где–нибудь зимой
зимовка|Место, жилье, где зимуют люди
зимовка|Состав полярников, находящаяся на зимовке
зимовник|Зимнее помещение для животных, проводящих лето на пастбищах
зимовщик|Человек, который находится где–нибудь на зимовке вдали от населенных мест
зимовье|То же, что зимовка (место, жилье, где зимуют люди)
зимовье|Место, где зимуют животные, рыбы
зимой|В зимнее время
зимородок|Небольшая, родственная удоду птица с крупной головой на короткой шее и длинным клювом
зимостойкий|То же, что зимоустойчивый
зимоустойчивый|О растениях: способный переносить зимние холода
зипун|В старое время: крестьянская одежда – кафтан из грубого толстого сукна, обычно без ворота
зияние|В языкознании: стечение двух или более гласных в слове или на стыке двух слов
зиять|Быть раскрытым, обнаруживая глубину, пустоту, провал
злак|Растение со стеблем в виде полой коленчатой соломины и с мелкими цветками в колосьях или метелках
злато|То же, что золото
злато|Первая часть сложных слов, то же, что золото
златоверхий|С золоченым верхом, крышами
златой|То же, что золотой
