знать|То же, что наверное  
знаться|Поддерживать знакомство, водиться с кем–либо или чем–либо  
знахарь|Лекарь–самоучка, действующий собственными примитивными способами, часто с колдовскими приемами  
значение|Смысл, то, что данное явление, понятие, предмет значит, обозначает  
значение|Важность, значительность, роль  
значимость|То же, что значение во втором значении  
значимый|Выражающий что–нибудь, имеющий какое–нибудь значение  
значит|Следовательно, стало быть, выходит  
значит|Употребляется в значении связки «это», «это есть»  
значит|И поэтому, следовательно  
значительный|Большой по размерам, силе  
значительный|Имеющий большое значение, важный  
значительный|Очень выразительный, выражающий многое  
значить|Иметь какой–нибудь смысл, важность, ценность  
значиться|Находиться, состоять, числиться кем–либо, чем–либо, как кто–либо или в качестве кого–либо  
значкист|Человек, имеющий значок как свидетельство о квалификации, выполнении каких–либо нормативов  
значок|Пластинка, кружок, плоская фигурка с какими–нибудь изображениями, носимые на груди как памятный или отличительный знак или как знак принадлежности к какой–либо организации  
значок|Условная пометка, изображение на чем–нибудь  
знающий|Такой, который много знает, хорошо осведомлён в чем–либо  
знобить|Об ощущении озноба, лихорадочного состояния  
зной|Сильная жара от нагретого солнцем воздуха  
знойный|Жаркий, пышущий зноем  
знойный|Страстный, пылкий  
зоб|У птиц, насекомых, моллюсков: расширенная часть пищевода, где накапливается и предварительно обрабатывается пища  
зоб|Болезненно увеличенная щитовидная железа, а также ожирение шеи под подбородком  
зобастый|С большим зобом  
зобатый|С зобом или с большим зобом  
зов|см. звать  
зов|Призыв, клич  
зодиак|Пояс неба, по которому Солнце совершает свое видимое годовое движение  
зодчество|То же, что архитектура  
зодчий|То же, что архитектор  
зола|Остаток от сжигания чего–нибудь в виде серо–чёрной пыли  
золить|Обрабатывать шкуры, кожи зольником  
золовка|Сестра мужа  
золотисто|Первая часть сложных слов со значением: с золотистым оттенком  
золотистый|Цвета золота, с золотым отливом  
золотить|Покрывать позолотой  
золотить|Окрашивать в золотистый цвет  
золотиться|Становиться золотистым  
золотиться|О золотом, золотистом: виднеться  
золотко|Ласковое обращение  
золотник|Старая русская мера веса, равная 1/96 фунта или 4,26 г  
золотник|Устройство для автоматического управления потоком пара, жидкости или газа в паровых машинах и турбинах, гидравлических и пневматических механизмах  
золото|Драгоценный металл жёлтого цвета, употребляемый как мерило ценностей и в драгоценных изделиях  
золото|Монеты или изделия из этого металла  
золото|Позолоченные нити  
золото|О ком–либо или чем–либо имеющем большие достоинства, дорогом для кого–либо  
золото|волос — о золотистом цвете волос  
золото|заката — о золотистом цвете неба на закате  
золото|песок — золотоносный  
золото|запас государства — фонд золота в слитках  
золото|призер — получивший золотую медаль  
золото...|Первая часть сложных слов со значением: относящийся к золоту; с золотом; золотистого цвета  
золотоискатель|Человек, который занимается поисками и разработкой золотых месторождений, россыпей  
золотой|см. золото  
золотой|Золотая монета достоинством в три, пять, десять рублей, империал, монета из золота, червонец  
золотой|Цвета золота, блестяще–жёлтый  
золотой|Счастливый, благоприятный  
золотой|Прекрасный, замечательный  
золотой|Дорогой, любимый  
золотоносный|О месторождении, местности: содержащий в себе золото, богатый золотом  
золотоносность|Свойство содержать в себе золото, быть богатым золотом  
золотопромышленник|Работник золотопромышленности  
золотопромышленник|Владелец золотых промыслов, приисков  
золотопромышленность|Золотодобывающая промышленность  
золототысячник|Травянистое растение с розовыми цветками  
золошвейный|Относящийся к шитью золотом  
золушка|Тот, кого не любят, постоянно незаслуженно обижают  
золу|см. зола  
золочёный|Подвергшийся золочению, покрытый слоем золота  
золотоискательский|Относящийся к золотоискателям  
золотник|Устройство для автоматического управления потоком пара, жидкости или газа  
золотце|см. золото  
золотце|То же, что золотко  
золотушный|см. золотуха  
золотушный|Больной золотухой, а также вообще истощённый, покрытый сыпью  
золотуха|Старое название одной из форм диатеза  
золочение|Процесс покрытия изделия слоем золота  
зольник|Нижняя часть топки, где собирается зола  
зольник|Известковый раствор для золения шкур  
зольник|Чан, в котором золят шкуры  
зона|Пояс, полоса, пространство между какими–либо границами, двумя линиями или вдоль какой–нибудь линии, а также характеризующаяся какими–либо общими признаками территория, область  
зона|Закрытая территория концлагеря, места заключения  
зонд|Название различных инструментов и устройств для исследования почвы, скважин при бурении, внутренностей организма  
зонд|Воздушный шар со специальным прибором для метеорологических наблюдений
