избач|Работник избы-читальни  
избегать|Бегая, побывать во многих местах  
избегать|Сторониться, уклоняться от кого–чего–нибудь или от действия  
избегаться|Устать от беготни  
избежание|Уклоняясь от чего–нибудь, в целях неосуществления чего–нибудь неприятного  
избежать|Избавиться, спастись от чего–нибудь  
избиение|Массовое убийство  
избиратель|Тот, кто участвует в выборах или имеет на это право  
избирательница|Тот, кто участвует в выборах или имеет на это право  
избирательный|Основанный на свойстве производить отбор  
избирательность|Основанность на свойстве производить отбор  
избирать|Участвовать в выборах  
избранный|Отобранный из полного состава произведений литературы, искусства  
избранный|Лучший, выделяющийся чем–нибудь среди других, привилегированный  
избранность|Лучший, выделяющийся чем–нибудь среди других, привилегированный  
избранник|Тот, кто избран кем–нибудь  
избранница|Тот, кто избран кем–нибудь  
избраннический|Относящийся к человеку, который избран кем–нибудь  
избить|Ударами причинить боль, нанести увечья кому–нибудь  
избить|Ударами, толчками, ходьбой привести в негодное состояние  
изболеться|Измучиться, изнемочь  
изборник|Древнерусский рукописный сборник статей, отрывков из разных книг, рукописная антология  
избороздить|Покрыть многими бороздами, бороздками  
избороздить|О линиях, полосках, подобных бороздам, бороздкам: пересечь во многих, разных направлениях  
избороздить|Изъездить, исходить в разных направлениях  
избочениться|Подбочениться с вызывающим или гордым видом  
избочениваться|Подбочениться с вызывающим или гордым видом  
избыток|То же, что излишек  
избыток|Обилие, полнота  
избыточный|Излишний, выходящий за пределы необходимого  
избыточность|Излишнее, выходящее за пределы необходимого  
избыть|Избавиться от чего–нибудь  
извалять|Валяя в чем–нибудь, выпачкать  
изваливаться|Валяя в чем–нибудь, выпачкать  
изваляться|Валяя в чем–нибудь, выпачкать  
изваяние|Скульптурное изображение, статуя  
изведать|Узнать на опыте  
изведывать|Узнать на опыте  
изверг|Жестокий человек, мучитель  
извергать|Выбросить из себя, удалить  
извергаться|О вулкане: выбрасывать лаву, пепел, горячие газы, пары воды и обломки горных пород  
извергнуть|Выбросить из себя, удалить  
извергнуться|Выброситься, выйти изнутри чего–нибудь  
извержение|Стихийный выброс лавы, пепла, огня из кратера вулкана  
изверженный|Образовавшийся в результате действия вулканических сил  
извериться|Потерять веру, доверие  
извериваться|Потерять веру, доверие  
извернуться|Ловко повернуться, стремясь сделать что–нибудь или освободиться от чего–нибудь  
извернуться|То же, что изловчиться  
извертываться|Ловко повернуться, стремясь сделать что–нибудь или освободиться от чего–нибудь  
изворачиваться|Ловко повернуться, стремясь сделать что–нибудь или освободиться от чего–нибудь  
извести|То же, что истратить  
извести|То же, что истребить  
извести|То же, что измучить  
известие|Сообщение о чем–нибудь  
известие|Название некоторых повременных изданий  
известиться|То же, что измучиться  
извозить|Истратить  
известить|Сообщить кому–нибудь, довести что–нибудь до чьего–нибудь сведения  
извещать|Сообщить кому–нибудь, довести что–нибудь до чьего–нибудь сведения  
известковать|Насытить известью  
изветшалый|Пришедший в полную ветхость  
изветшалость|Пришедший в полную ветхость  
изветшать|Стать совсем ветхим  
извечный|С давних времен существующий  
извечность|С давних времен существующее  
извещение|Сообщение, уведомление  
извёстка|Раствор извести  
извёстка|То же, что известь  
известковый|Относящийся к извести  
известняк|Осадочная горная порода, состоящая преимущественно из известкового шпата  
известняковый|Относящийся к известняку  
известность|Состояние, когда о ком–нибудь известно  
известность|Пользование популярностью  
известный|Такой, о котором знают, имеют сведения  
известный|Такой, о деятельности которого хорошо знают, пользующийся популярностью  
известный|Общепризнанный (в сочетании с существительными оценочного значения)  
известный|Установленный, определенный, признающийся необходимым  
известный|Некоторый, подразумеваемый  
известь|Оксид кальция, белое вещество, продукт обжига известняка  
извив|Изгиб, волнистое искривление  
извивистый|С извилинами, изгибами  
извивистость|Свойство быть извилистым  
извилина|Волнистое искривление, изгиб  
извилина|То же, что извилина мозга  
извилистый|С извилинами, изгибами  
извилистость|Свойство быть извилистым  
извинение|Основание для оправдания  
извинитительный|Заслуживающий извинения, оправдания  
извинитительный|Просящий извинения, выражающий извинение  
извинительность|Свойство быть заслуживающим извинения
