извивистый|То же, что извилистый
извивистость|То же, что извилистость
извилина|Волнистое искривление, изгиб
извилина|То же, что извилина мозга
извилины головного мозга|Разделенные углублениями выпуклости (изгибы), составляющие кору головного мозга
извилистый|С извилинами, извивами
извилистость|С извилинами, извивами
извинение|Основание для оправдания
извинение|Попросить прощения, извиниться
извинительный|Заслуживающий извинения, оправдания
извинительный|Просящий извинения, выражающий извинение
извинительность|Заслуживающий извинения, оправдания
извинить|Простить кого–нибудь или кого–нибудь за что–нибудь
извинить|Оправдать чем–нибудь
извинить|Выражение сожаления по поводу причиняемого беспокойства, неудобства, а также форма вежливости при обращении, вопросе
извинить|Выражение протеста, несогласия
извинять|Простить кого–нибудь или кого–нибудь за что–нибудь
извинение|Простить кого–нибудь или кого–нибудь за что–нибудь
извинительный|Простить кого–нибудь или кого–нибудь за что–нибудь
извинительная|Заслуживающий извинения, оправдания
извинительное|Заслуживающий извинения, оправдания
извиниться|Попросить прощения
извиниться|Привести что–нибудь в свое оправдание
извиняться|Попросить прощения
извиняться|То же, что извинить в выражении сожаления по поводу причиняемого беспокойства, неудобства, а также форма вежливости при обращении, вопросе
извиняться|То же, что извинить в выражении протеста, несогласия
извить|Изогнуть волнистой линией, спиралью
извивать|Изогнуть волнистой линией, спиралью
извиться|Изогнуть волнистой линией, спиралью
извиваться|Изогнуть волнистой линией, спиралью
извлечение|Выдержка, выписка из какого–нибудь текста
извлечь|Вынуть, достать, добыть; вывести
извлечь|Заставить появиться
извлекать|Вынуть, достать, добыть; вывести
извлечение|Вынуть, достать, добыть; вывести
извне|Снаружи, со стороны
извод|Разновидность текста рукописного памятника, устанавливаемая на основании особенностей языка
извоз|Крестьянский отхожий промысел, перевозка грузов на лошадях
извоз|Платные перевозки пассажиров владельцами автомобилей
извозный|Крестьянский отхожий промысел, перевозка грузов на лошадях
извозить|Сильно испачкать, истрепать
извозиться|Сильно испачкать, истрепать
извозчик|Кучер наемного экипажа, повозки
извозчик|Наемный экипаж с кучером
извозчик|Крестьянин, промышляющий извозом
извозчицкий|Кучер наемного экипажа, повозки
изволение|Воля, желание
изволить|Хотеть, желать
изволить|Обозначает строгое побуждение к действию
изволить|Выражение согласия, хорошо, пусть будет так
изворот|Поворот, извилина, изгиб
изворот|Уловки, увертки
изворотливый|Находчивый, ловкий
изворотливость|Находчивый, ловкий
извратить|Ложно истолковать, исказить
извращать|Ложно истолковать, исказить
извращение|Ложно истолковать, исказить
извращение|Противоестественное поведение, ненормальность
извращённый|Противоестественный, уродливый
извращенность|Противоестественный, уродливый
изгадить|Испачкать, загрязнить; испортить
изгаживать|Испачкать, загрязнить; испортить
изгаляться|Злобно издеваться, глумиться
изгиб|Дугообразное искривление
изогнуть|Дугообразное искривление
изгладить|Стереть, уничтожить
изглаживать|Стереть, уничтожить
изгладиться|Постепенно забыться, стереться
изглаживаться|Постепенно забыться, стереться
изгнание|Вынужденное пребывание где–нибудь в качестве изгнанника
изгнанник|Человек, который изгнан откуда–нибудь
изгнанница|Человек, который изгнан откуда–нибудь
изгнаннический|Человек, который изгнан откуда–нибудь
изгнать|Удалить насильственно откуда–нибудь
изгонять|Удалить насильственно откуда–нибудь
изгой|Человек, вышедший из своего прежнего социального состояния
изгой|Человек, отвергнутый обществом
изгойский|Человек, вышедший из своего прежнего социального состояния
изголовье|Место на постели, куда ложатся головой
изголодаться|Натерпеться голода
изгородь|Ограда из жердей, прутьев, штакетника
изготовить|Сделать, выработать; подготовить
изготовлять|Сделать, выработать; подготовить
изготавливать|Сделать, выработать; подготовить
изготовление|Сделать, выработать; подготовить
изготовка|Сделать, выработать; подготовить
изготовиться|Привести себя в готовность
изготовляться|Привести себя в готовность
изготавливаться|Привести себя в готовность
изгрызть|Грызя, испортить, а также сгрызть полностью
изгрызать|Грызя, испортить, а также сгрызть полностью
издавна|С давних пор
издалека|С далекого расстояния, из отдаленного места
издалёка|С далекого расстояния, из отдаленного места
издали|С далекого расстояния, из отдаленного места
издание|Изданное произведение печати
издание|Единовременный выпуск в свет (печатного произведения) в определенном количестве экземпляров
издатель|Специалист по изданию произведений печати, тот, кто их издает или руководит издательством
издательница|Специалист по изданию произведений печати, тот, кто их издает или руководит издательством
издательский|Специалист по изданию произведений печати, тот, кто их издает или руководит издательством
издательство|Учреждение, издающее произведения печати
издать|Напечатав, выпустить в свет
издать|Опубликовать, обнародовать
издавать|Напечатав, выпустить в свет
издавать|Опубликовать, обнародовать
издать|Произвести (звук, запах)
издавать|Произвести (звук, запах)
