издали|То же, что издалека  
издание|Опубликованное произведение печати  
издание|Единовременный выпуск в свет печатного произведения в определенном количестве экземпляров  
издатель|Специалист по изданию произведений печати, тот, кто их издает или руководит издательством  
издательство|Учреждение, издающее произведения печати  
издать|Напечатав, выпустить в свет  
издать|Опубликовать, обнародовать  
издать|Произвести (звук, запах)  
издеватель|Тот, кому доставляет удовольствие издеваться над кем–нибудь  
издевательство|Оскорбительная насмешка, оскорбление, а также оскорбительный поступок, поведение по отношению к кому–нибудь  
издеваться|Зло и оскорбительно высмеивать кого–нибудь  
изделие|Выделка, производство  
изделие|Вещь, товар  
издержать|Истратить, израсходовать  
издержаться|Истратиться, израсходовать свои деньги  
издержки|Израсходованная на что–нибудь сумма, затраты  
издёвка|Оскорбительная насмешка, то же, что издевательство  
издёрганный|Болезненно раздражительный от усталости, нервозный  
издёргать|Привести в болезненно раздраженное, нервное состояние; измучить  
издёргаться|Прийти в болезненно раздраженное, нервное состояние; измучиться  
издольщик|Земледелец, платящий за аренду земли долей урожая  
издольщина|Аренда земли издольщиком  
издохнуть|То же, что дохнуть  
издревле|С древних времен, издавна  
издыхание|До последнего издыхания — до конца, до смерти; при последнем издыхании — при смерти  
издыхать|То же, что умирать (о животных; о человеке — грубо, прост.)  
изжарить|То же, что жарить  
изжелта|Первая часть сложных слов со значением с желтым оттенком  
изжить|Избавиться от чего–нибудь, искоренить в себе что–нибудь  
изжить|Перетерпеть, перестать ощущать (устар.)  
изжога|Ощущение жжения в пищеводе  
из–за|Обозначает направление, движение из места, закрытого чем–нибудь, с противоположной стороны чего–нибудь  
из–за|По причине чего–нибудь, по вине кого–чего–нибудь  
иззелена|Первая часть сложных слов со значением с зеленым оттенком  
иззябнуть|Сильно озябнуть  
излагать|Описывать, передавать устно или письменно  
излазить|Лазая, побывать повсюду  
изламывать|То же, что изломать  
излаять|Сильно изругать, облаять  
излениться|Долго предаваясь лени, окончательно облениться  
излечение|То же, что лечение  
излечение|То же, что выздоровление  
излечиваться|Поддаваться лечению, излечению  
излечимый|Поддающийся излечению  
излечить|Сделать здоровым, вылечить  
излечиться|Стать здоровым, вылечиться  
излёт|Конечный момент полёта летящего тела перед падением  
излить|То же, что источить  
излить|Выразить, высказать сильные, глубокие чувства  
излиться|То же, что вылиться  
излиться|Выразить, высказать свои чувства  
излишек|То, что остаётся лишним, сверх нужного, остаток  
излишек|Излишнее количество чего–нибудь  
излишество|Употребление чего–нибудь сверх меры, потребности  
излишествовать|Предаваться излишествам  
излишний|Лишний, не вызываемый необходимостью  
излияние|Откровенное и многословное признание, выражение чувств  
изловить|Ловя, поймать  
изловчиться|Ловко приноровиться, приспособиться, чтобы сделать что–нибудь  
изловчиться|Умело, ловко устроить что–нибудь  
изложение|То, что изложено, высказано или написано  
изложение|Письменное упражнение, перелагающее содержание прочитанного или услышанного  
изложить|Описать, передать устно или письменно  
изложить|Кратко пересказать содержание чего–нибудь  
изложница|Форма, заполняемая расплавленным металлом для получения слитка  
излом|Место разлома, перелома  
излом|Место поворота, изгиба
