измызгать|Сильно загрязнить, испачкать  
измыслить|Выдумать, придумать  
измыслить|Выдумать небылицы  
измытарить|Измучить, утомить чем–нибудь неприятным, мытарствами  
измытариться|Измучиться, устать от неприятностей, мытарств  
измышление|Вымысел, выдумка  
изнанка|Внутренняя сторона ткани, одежды  
изнанка|Скрытая сторона чего–нибудь  
изначальный|Существующий с самого начала, первоначальный  
изнашиваемость|Подверженность износу  
изнеженный|Привыкший к неге, довольству, чувствительный к лишениям  
изнежить|Избаловать, сделать крайне чувствительным к лишениям  
изнежиться|Стать изнеженным  
изнеможение|Состояние полной усталости, бессилия  
изнеможённый|Совершенно обессиленный; выражающий изнеможение  
изнемочь|Потерять силы, ослабеть  
изнервничаться|Стать очень нервным; пережить беспокойство, волнение, переволноваться  
изничтожить|Истребить, уничтожить полностью  
износить|Продолжительной ноской сделать негодным  
износиться|Стать негодным от продолжительной носки, длительного употребления  
изношенный|Негодный от длительного употребления  
изнурённый|Крайне утомленный; выражающий крайнее утомление, истощение  
изнурительный|Истощающий силы  
изнурить|Довести до крайнего утомления, истощения  
изнуриться|Дойти до крайнего утомления, истощения  
изнутри|С внутренней стороны, из внутренней части чего–нибудь  
изнутри|Из чего–нибудь, из внутренней части чего–нибудь  
изнывать|Томиться  
изо|То же, что «из», употребляется перед некоторыми сочетаниями согласных  
изо...|То же, что из; употребляется вместо «из» перед «й» и перед некоторыми сочетаниями согласных  
изо...|Первая часть сложных слов со значением относящийся к художественному изображению, к рисунку, живописи  
изо...|Первая часть сложных слов со значением равенства, подобия  
изобара|Линия на графике, соединяющая места одинакового атмосферного давления  
изобидеть|Сильно обидеть  
изобилие|Полное обилие  
изобиловать|Иметь в изобилии  
изобильный|Имеющийся в изобилии  
изобличать|Обнаруживать, показывать, выявлять  
изобличитель|Тот, кто изобличил, изобличает кого–либо, уличил, уличает кого–либо в чем–нибудь  
изобличить|Обнаружить в ком–либо что–нибудь предосудительное, уличить в чем–нибудь  
изображение|Предмет, рисунок, изображающий кого–либо, что–либо; зрительное воспроизведение чего–либо  
изобразительный|Наглядный, хорошо изображающий  
изобразительный|Относящийся к изобразительным искусствам  
изобразить|Воспроизвести в художественном образе, а также вообще показать, представить  
изобразить|Выразить, обнаружить  
изобразиться|Выразиться, обнаружиться  
изобрести|Творчески мысля, работая, создать что–нибудь новое, неизвестное прежде  
изобрести|Придумать, выдумать, солгать  
изобретатель|Тот, кто изобрел, изобретает что–либо  
изобретательный|Способный изобретать, находчивый  
изобретательство|Деятельность изобретателя, изобретателей  
изобретение|То, что изобретено, создано изобретателем  
изовраться|Изолгаться
