изувечить|Нанести увечья  
изувечиться|Получить увечья, изувечить себя  
изукрасить|Украсить со всех сторон  
изумительный|Необыкновенный, восхитительный, приводящий в изумление  
изумить|Привести в изумление  
изумиться|Прийти в изумление  
изумление|Крайнее удивление  
изумруд|Прозрачный драгоценный камень густого зеленого цвета  
изумрудный|Прозрачно зеленый, цвета изумруда  
изустный|Передающийся из уст в уста, не записанный  
изучить|Постичь учением, усвоить в процессе обучения  
изучить|Научно исследовать, познать  
изучить|Внимательно наблюдая, ознакомиться, понять  
изъ|То же, что из; пишется вместо «из» перед е, я (потенциально также перед ё, ю)  
изъездить|Ездя, побывать во многих местах  
изъездить|Испортить, повредить ездой  
изъесть|Испортить, грызя или подтачивая  
изъесть|О едких веществах: испортить, разъесть  
изъявительный|Изъявительное наклонение — в грамматике: совокупность личных форм глагола, указывающих на совершение действия в настоящем, прошедшем или будущем времени  
изъявить|Высказать, выразить  
изъявлять|Высказывать, выражать  
изъязвить|Покрыть язвами  
изъян|Повреждение, недостаток  
изъян|Убыток, ущерб  
изъяснить|Объяснить, понятно изложить  
изъяснительный|Относящийся к объяснению, понятному изложению  
изъяснительное предложение|В грамматике: придаточное предложение с общим пояснительным значением, относящееся в главном к словам со значением речи, информации, мысли, познания, памяти, суждения, мнения, восприятия, эмоциональных состояний и их реакций, волеизъявления, веры, убеждения, сомнения, бытия  
изъясниться|Изложить свою мысль ясно, понятно  
изъятие|Исключение из чего–нибудь, отступление от чего–нибудь  
изъять|Исключить, устранить, а также вообще удалить, вынуть  
изыск|В искусстве: чисто внешнее, претенциозное новшество  
изыскание|Предварительное исследование, разыскание для создания каких–нибудь проектов, разработок  
изысканный|Утонченный, изящный  
изыскатель|Специалист, занимающийся изысканиями в какой–нибудь области  
изыскательский|Относящийся к изыскателям или изысканиям  
изыскать|Приложив старание, найти, отыскать  
изюбр|Крупный восточносибирский олень  
изюм|Сушеные ягоды винограда  
изюмина|Одна ягода изюма  
изюминка|Своеобразная прелесть, острота  
изящество|Тонкая и строгая художественная соразмерность и красота  
изящный|Отличающийся изяществом  
икать|Издавать отрывистые непроизвольные звуки, вызванные судорожным сокращением диафрагмы  
икаться|О состоянии икоты  
икона|У православных и католиков: предмет поклонения, живописное изображение Бога, святого или святых  
иконография|Описание и изучение изображений каких–нибудь лиц в произведениях живописи, скульптуры, а также описание сюжетов  
иконография|Совокупность таких изображений  
иконография|Правила, которых должен придерживаться художник при изображении определенных, обычно религиозных или мифологических сюжетов и лиц  
иконописец|Художник, пишущий иконы  
иконописный|О внешнем облике: отличающийся суровой и строгой красотой  
иконопись|Вид религиозной живописи — писание икон  
иконостас|Покрытая иконами стена, отделяющая алтарь в православном храме  
икота|Отрывистые непроизвольные звуки, издаваемые при икании  
икра|Масса из яичек самок рыб, моллюсков, иглокожих, некоторых других водных животных и земноводных  
икра|Масса неоплодотворенных яичек рыбы, обработанная как пищевой продукт  
икра|Кушанье из мелко изрубленных овощей, грибов  
икринка|Одно зернышко икры  
икристый|О рыбе: содержащий много икры  
икрометание|Метание икры  
икромёт|Метание икры  
икры|Округлые мышцы на голени человека  
икряной|Содержащий икру  
икс|В математике: обозначение латинской буквой «х» неизвестной или переменной величины  
икс|Условное обозначение неизвестного или неназываемого лица
