индус|Индиец – последователь индуизма
индуска|Женщина – последовательница индуизма
индусский|Относящийся к индусам, их религии, культуре, языку
индустриализировать|Перевести на машинную, индустриальную технику; внедрить такую технику
индустриализация|Перевод на машинную, индустриальную технику; внедрение такой техники
индустриальный|То же, что промышленный
индустрия|То же, что промышленность
индюк|Самец индейки, индейский петух
индюшачий|Относящийся к индюку
индюшка|То же, что индейка
индюшечий|Относящийся к индюшке
индюшонок|Птенец индюшки
иней|Тонкий слой ледяных кристаллов, образующийся благодаря испарениям на охлаждающейся поверхности
инеевый|Относящийся к инею
инейный|Относящийся к инею
инертный|Обладающий инерцией
инертный|Бездеятельный, безынициативный
инертные газы|Благородные газы, в обычных условиях не вступающие в химические реакции
инертность|Бездеятельность, отсутствие инициативы
инерция|Свойство тел сохранять состояние покоя или равномерного прямолинейного движения, пока какая-нибудь внешняя сила не изменит этого состояния
инерция|Бездеятельность, отсутствие инициативы, инертность
инерционный|Относящийся к инерции, обладающий ею
инерциальный|Относящийся к инерции, обладающий ею
инженер|Специалист с высшим техническим образованием
инженерша|Женщина – специалист с высшим техническим образованием
инженерский|Относящийся к инженеру
инженерия|Инженерное дело, творческая техническая деятельность
инженерия|Конструирование новых, не существующих в природе органических единиц
инженерный|Технический; связанный с технической деятельностью
инжир|Южное дерево семейства тутовых с сочными сладкими плодами, смоковница, а также сам плод его
инжирный|Относящийся к инжиру
инистый|Покрытый густым инеем
инициалы|Первые буквы имени и отчества или имени и фамилии
инициальный|Относящийся к инициалам
инициатива|Почин, внутреннее побуждение к новым формам деятельности, предприимчивость
инициатива|Руководящая роль в каких-нибудь действиях
инициатива|Предложение, выдвинутое для обсуждения
инициативный|Проявляющий инициативу в каком-нибудь деле
инициативный|То же, что предприимчивый
инициативность|Проявление предприимчивости, инициативы
инициатор|Тот, кто действует, проявляя инициативу в чем-нибудь, зачинатель
инициаторский|Относящийся к инициатору
инкассатор|Должностное лицо, принимающее деньги от организаций для сдачи их в банк
инкассаторский|Относящийся к инкассатору
инквизитор|Судья инквизиции
инквизитор|Человек, обращающийся с кем-нибудь с холодной жестокостью, мучитель
инквизиторша|Женщина, действующая с холодной жестокостью, мучительница
инквизиторский|Относящийся к инквизитору
инквизиция|Следственный и карательный орган католической церкви, с крайней жестокостью преследовавший ее противников
инквизиция|Издевательство, мучение, пытка
инквизиционный|Относящийся к инквизиции
инки|Древнее высококультурное индейское племя, жившее в Южной Америке в бассейне реки Амазонки
инкский|Относящийся к инкам, к их языку, национальному характеру, образу жизни, культуре, территории их проживания, внутреннему устройству, истории; такой, как у инков
инкогнито|Под вымышленным именем, не открывая своего подлинного
инкогнито|Пребывание под вымышленным именем
инкогнито|Лицо, скрывающее свое имя
инкриминировать|Вменить в вину, предъявить кому-нибудь обвинение в чем-нибудь
инкрустатор|Художник, занимающийся инкрустацией
инкрустаторский|Относящийся к инкрустатору
инкрустация|Украшение, выполненное способом инкрустирования
инкрустировать|Украсить, врезывая узоры, рисунки в изделия из иного материала, обычно на одном уровне с поверхностью изделия
инкрустирование|Украшение врезкой узоров, рисунков в изделия из другого материала
инкрустационный|Относящийся к инкрустации
инкубатор|Специальное устройство для искусственного выведения птенцов домашних птиц, молоди рыб, гусениц шелкопряда
инкубаторный|Относящийся к инкубатору
инкубаторский|Относящийся к инкубатору
инкубаторий|Помещение, в котором размещены инкубаторы
инкубация|Скрытый период болезни от заражения до появления первых ее признаков
инкубация|Искусственное выведение молодых особей в инкубаторе
инкубационный|Относящийся к инкубации
ино...|Первая часть сложных слов со значением иной, другой; с чем-нибудь иным, другим; относящийся к чему-нибудь иному, другому; по-иному
иноверец|Человек другой веры, иной религии
иноверка|Женщина другой веры, иной религии
иноверческий|Относящийся к иноверцу
иногда|Время от времени, в некоторых случаях, иной раз
иногородний|Живущий в другом городе, прибывший или получаемый из другого города
иногородний|О крестьянах казачьих областей до 1917 года: не принадлежащий к казачьему сословию
иноземец|Иностранец, чужестранец
иноземка|Женщина-иностранец, чужестранка
иноземный|То же, что иностранный
иной|Другой, отличающийся от этого
иной|Некоторый, какой-нибудь, какой-то
иной раз|То же, что иногда
иными словами|То есть, другими словами
не что иное, как...|Именно это
не кто иной, как...|Именно этот
инок|Православный монах
инокиня|Женщина-монахиня
иноческий|Относящийся к иноку
иномарка|Легковой автомобиль зарубежного производства
инопланетный|Относящийся к иным планетам, не к Земле
инопланетянин|Житель иной планеты, не Земли
иноплеменник|Человек иного племени, народа, иноземец
иноплеменница|Женщина другого племени, народности
иноплеменнический|Относящийся к иноплеменнику
иноплеменный|Принадлежащий к иному племени, народу
инородец|В царской России: уроженец окраины страны, по преимуществу восточной, принадлежащий к одному из национальных меньшинств
инородка|Женщина-уроженка окраинных районов страны, представительница национальных меньшинств
инородческий|Относящийся к инородцу
инородный|Обладающий совсем иными свойствами, посторонний, чуждый
инародное тело|Предмет, попавший в организм извне, а также о том, кто попал в чуждую ему среду, обстановку
иносказание|Выражение, содержащее иной, скрытый смысл, аллегория
иносказательный|Заключающий в себе иносказание
иносказательность|Свойство быть иносказательным
