искристый|Искрящийся, сверкающий искрами, игристый  
искритый|Искрящийся, сверкающий искрами, игристый  
искристость|Свойство искриться, быть искристым  
искритость|Свойство искриться, быть искристым  
искрить|Давать искры при недостаточно плотном электрическом контакте  
искрение|Давание искр при недостаточно плотном электрическом контакте  
искриться|Сверкать блестками, искрами  
искровенить|Изранить, избить до крови  
искровенять|Ранить, избить до крови  
искромётный|Мечущий искры  
искромётный|Жгучий, сверкающий, искрящийся  
искрометность|Свойство быть искромётным  
искромсать|Раскромсать, изрубить, покромсать  
искрошить|Раздробить на очень мелкие части  
искрошиться|Раздробиться на очень мелкие части  
искупать|Заслуживать прощения; возмещать  
искупить|Заслужить прощение; возместить  
искупительный|Приносящий искупление, избавление от бедствий, несчастий  
искупление|Заслуживание прощения; возмещение  
искус|Строгое, суровое испытание кого–нибудь  
искусать|Укусить во многих местах  
искусывать|Кусать во многих местах  
искуситель|Тот, кто искушает, соблазнитель  
искусительница|Женщина, соблазняющая, искуситель  
искусительный|Относящийся к искусителю  
искуситься|Стать искусным в чем–нибудь  
искусник|Человек, искусный в каком–нибудь деле  
искусница|Женщина, искусная в каком–нибудь деле  
искусный|Умелый, хорошо знающий свое дело  
искусный|Умело, хорошо сделанный  
искусность|Свойство быть искусным  
искусственник|Младенец, вскармливаемый искусственно (не грудью)  
искусственница|Женщина, вскармливающая младенца искусственно  
искусственный|Не природный, сделанный наподобие подлинного  
искусственный|Притворный, неискренний  
искусственность|Свойство быть искусственным  
искусство|Творческое отражение, воспроизведение действительности в художественных образах  
искусство|Умение, мастерство, знание дела  
искусство|Дело, требующее умения, мастерства  
искусствовед|Специалист по искусствоведению  
искусствоведение|Теория искусств  
искусствоведческий|Относящийся к искусствоведению  
искушать|Соблазнять, прельщать  
искушать|Делать что–нибудь сопряжённое с излишним риском  
искушение|Соблазн, желание чего–нибудь запретного  
искушённый|Хорошо знающий что–нибудь, опытный в чем–нибудь  
искушенность|Свойство быть искушённым  
ислам|Одна из трёх мировых религий, возникшая в Аравии в 7 веке на основе почитания Аллаха как единого Бога  
исламский|Относящийся к исламу, мусульманский  
исламоведение|Совокупность наук, изучающих ислам  
исландский|Относящийся к исландцам, их языку, национальному характеру, культуре, а также к Исландии, её территории, устройству, истории  
исландцы|Народ, составляющий основное население Исландии  
исландка|Женщина — представительница исландцев  
испакостить|Сделать пакость, испортить  
испанистика|Совокупность наук, изучающих язык, литературу и культуру испанцев  
испанка|Название тяжелой разновидности гриппа во время пандемии 1918–1919 годов  
испанский|Относящийся к испанцам, их языку, национальному характеру, культуре, а также к Испании, её территории, устройству, истории  
испанцы|Народ, составляющий основное население Испании  
испанка|Женщина — представительница испанцев  
испарение|Переход вещества из жидкого или твердого состояния в газообразное  
испарение|Испаряющееся вещество  
испарина|Обильный пот, обычно у больного после жара  
испарить|Обратить в пар  
испарять|Обращать в пар  
испариться|Обратиться в пар  
испариться|Исчезнуть, пропасть  
испаряться|Обращаться в пар  
испачкать|Сделать что–нибудь пачкой, грязным  
испачкаться|Стать грязным  
испепелить|Обратить в пепел, сжечь дотла  
испепелять|Обращать в пепел, сжигать дотла  
испепеление|Превращение в пепел, сжигание дотла  
испепелиться|Обратиться в пепел, сгореть дотла  
испепеляться|Обращаться в пепел, сгорать дотла  
испестрить|Сделать очень пёстрым, разноцветным  
испестрять|Сделать разноцветным  
испечь|Выпечь, приготовить путем запекания  
испечься|Приготовиться путем запекания  
испещрить|Усеять, покрыть чем–нибудь (мелкими пятнами, надписями)  
испещрять|Усеивать, покрывать чем–нибудь (мелкими пятнами, надписями)  
исписать|Заполнить написанным  
исписать|Израсходовать писанием  
исписывать|Заполнять написанным  
исписываться|Заполняться написанным  
исписаться|Израсходоваться или прийти в негодность от писания  
исписаться|Утратить свежесть литературного таланта, перестать писать интересно, оригинально  
испитой|Изнурённый, худосочный  
испить|Выпить, отпить немного  
испить|Испытать что–нибудь тяжёлое  
исповедальный|О речи, тоне: интимный и откровенный  
исповедальность|Свойство быть исповедальным  
исповедальня|Помещение для исповеди в католическом храме
