исшаркать|Загрязнить или испортить шарканьем
итак|Следовательно, таким образом
итало|Первая часть сложных слов со значением итальянский
итало-|Первая часть сложных слов со значением итальянский
итальянский|Относящийся к итальянцам, к их языку, национальному характеру, образу жизни, культуре, а также к Италии, ее территории, внутреннему устройству, истории; такой, как у итальянцев, как в Италии
итальянский|Свойственный итальянцам
итальянцы|Народ, составляющий основное население Италии
ительменский|Относящийся к ительменам, к их языку, национальному характеру, образу жизни, культуре, а также к их территории, внутреннему устройству, истории; такой, как у ительменов
ительмены|Небольшой северный народ, живущий на Камчатке
итог|Вывод, результат
итог|Общая сумма
итого|В общей сумме, в итоге
итожить|Подводить итог, итоги чему-нибудь
итээровский|Относящийся к инженерно-техническим работникам
иуда|Предатель, изменник
иудаизм|Возникшая в первом тысячелетии до нашей эры в Палестине и распространившаяся среди евреев религия, в основе которой лежит культ бога Яхве
иудеи|То же, что евреи
иудейский|То же, что еврейский
иудейский|Относящийся к древним иудеям, к их языку, образу жизни, культуре, а также к Иудейскому царству, его территории, внутреннему устройству, истории; такой, как у древних иудеев, как в Иудейском царстве
иудушка|Лицемер и ханжа
их|Принадлежащий им, относящийся к ним
ихний|То же, что их
ихтио|Первая часть сложных слов со значением относящийся к рыбам
ихтиозавр|Вымершее крупное морское пресмыкающееся с рыбообразным телом
ихтиол|Используемый в медицине маслообразный продукт перегонки смолистых горных пород, содержащих остатки ископаемых рыб
ихтиолог|Специалист по ихтиологии
ихтиология|Раздел зоологии, изучающий рыб
ишак|Осел, либо лошак или мул
ишак|Человек, безропотно выполняющий самую тяжелую работу
ишачить|Выполнять тяжелую работу
ишемия|Местное обескровливание ткани в результате сужения просвета питающей ее артерии
ишиас|Воспаление седалищного нерва
ишь|То же, что вишь
ищейка|Служебная собака с тонким чутьем, используемая для поисков кого-нибудь или чего-нибудь
июль|Седьмой месяц календарного года
июнь|Шестой месяц календарного года
йеменский|Относящийся к йеменцам, к их языку, национальному характеру, образу жизни, культуре, а также к Йемену, его территории, внутреннему устройству, истории; такой, как у йеменцев, как в Йемене
йеменцы|Основное население Йемена
йог|Последователь йога
йога|В Индии: религиозно-философское учение, разработавшее особую систему приемов и методов самопознания, позволяющего человеку управлять психическими и физиологическими функциями своего организма
йога|Система физических упражнений, выработанная последователями этого учения
йогурт|Заквашенное молоко с различными добавками
йод|Химический элемент черно-серого цвета
йод|Раствор этого вещества в спирте, употребляемый в медицине
йодоформ|Обеззараживающее средство – желтые кристаллы с резким запахом
йоркширы|Высокопродуктивная порода свиней
йот|В языкознании: согласный звук, изображаемый в латинском алфавите буквой j, в русском – буквой й в конце слога, а также открывающий собой слог, который начинается буквами е, ё, ю, я
йота|Ни на йоту – ни в малой степени, ни насколько
к|Обозначает направление в сторону кого-нибудь или чего-нибудь, включение во что-нибудь, добавление, как в пространственном, так и в переносном значении
ка|Употребляется для смягчения просьбы, приказания
ка|Выражает решение, намерение
кабак|Питейное заведение
кабалистика|Средневековое мистическое течение в иудаизме, применявшее магические ритуалы и гадания
кабалистика|Нечто непонятное, запутанное, полное загадочной силы
кабала|Договор или долговое обязательство, ставящее должника в личную или имущественную зависимость от заимодавца, а также сама такая зависимость
кабала|Полная, почти рабская зависимость
кабальный|Тяжкий, закабаляющий
кабан|Дикая свинья, а также самец дикой свиньи
кабан|Самец домашней свиньи
