каменноугольный|Относящийся к каменному углю
каменный|Относящийся к камню
каменный|Безжизненный, застывший
каменный|Безжалостный, жестокий
каменный|Употребляется в названиях некоторых растений, минералов
каменность|Безжизненность, застывшее состояние
каменность|Безжалостность, жестокость
каменоломный|Относящийся к добыче камня и его обработке
каменоломня|Место, где производится добыча и обработка камня
каменотёс|Рабочий, занимающийся обтеской камня
каменщик|Рабочий, специалист по кирпичной, каменной кладке
камень|Твердая горная порода кусками или сплошной массой, а также кусок, обломок такой породы
камень|Драгоценный камень, полудрагоценный камень — красиво окрашенный или бесцветный прозрачный минерал, используемый для ювелирных украшений; поделочный камень — красиво окрашенный минерал или горная порода, используемые для изготовления украшений, предметов искусства
камень|Плотное образование из солей и органических соединений во внутренних органах, протоках
камешек|Уменьшительное к камню, используемое для обозначения небольшого куска породы, либо минерала
камушек|Уменьшительное к камню, используемое для обозначения небольшого куска породы, либо минерала
каменный|Изготовленный из камня
каменный|Плотный как камень (о чем-либо)
камерный|Исполняемый в небольшом концертном зале несколькими голосами или на нескольких инструментах
камерный|Предназначенный для небольшого, узкого круга слушателей, зрителей
камерность|Качество предназначенного для небольшого круга слушателей, зрителей
камера|Отдельная комната, помещение особого назначения
камера|Закрытое пространство внутри какого–нибудь аппарата, сооружения, машины, а также закрытая полость внутри какого–нибудь органа
камера|Фотографический, киносъемочный или телевизионный съемочный аппарат
камера|Накачиваемая воздухом резиновая оболочка (под покрышкой шины, мяча)
камерный|Относящийся к камере, внутреннему пространству
камеральный|Относящийся к лабораторной обработке материалов, полученных в экспедициях
камергер|В некоторых монархических государствах: придворный чин старшего ранга, а также лицо, имеющее этот чин
камергерский|Относящийся к камергерам
камердинер|Слуга при господине в богатом дворянском доме
камердинерский|Относящийся к камердинерам
камеристка|Служанка при госпоже в богатом дворянском доме
камертон|Металлический инструмент, издающий при ударе звук, который является эталоном высоты при настраивании инструментов, в хоровом пении
камертонный|Относящийся к камертону
камер-юнкер|В некоторых монархических государствах: младший придворный чин, а также лицо, имеющее этот чин
камер-юнкерский|Относящийся к камер-юнкерам
камея|Украшение с выпуклой резьбой из слоистого разноцветного камня или раковины
камзол|Старинная мужская верхняя одежда, обычно без рукавов
камзольный|Относящийся к камзолу
камикадзе|Летчик, в боевой операции идущий на гибель вместе со своим самолетом, а также боевик, идущий на гибель для совершения террористического акта
камилавка|Высокий цилиндрический с расширением кверху головной убор – почетная награда православных священников
камилавка|Монашеский головной убор
камин|Сложенная у стены комнатная печь с широкой открытой топкой
камин|Электрический обогревательный прибор, по форме напоминающий такую печь
камин|Углубление в скале
каминный|Относящийся к камину
камка|Старинная шелковая узорчатая ткань
камковый|Относящийся к камке
камлот|Плотная темная шерстяная или хлопчатобумажная ткань
камлотовый|Относящийся к камлоту
камне...|Первая часть сложных слов со значением: относящийся к камню; содержащий камень; похожий на камень; относящийся к камню во внутренних органах
камнепад|Обвал камней в горах
камнепадный|Относящийся к камнепаду
каморка|Маленькая комната, чулан
каморочный|Относящийся к каморке
кампания|Совокупность военных операций, объединенных общим стратегическим замыслом и осуществляемых на определенном этапе войны на одном театре военных действий
кампания|Период плавания или военных операций флота
кампания|Совокупность мероприятий для осуществления очередной важной общественно-политической или хозяйственной задачи
кампучийцы|Прежнее название камбоджийцев
кампучийка|Женщина из кампучийцев
кампучийский|Относящийся к кампучийцам
камса|То же, что хамса
камуфлет|Подземный взрыв мины для разрушения подземных сооружений противника, а также разрыв артиллерийского снаряда (бомбы, мины) под землей без выбрасывания земли и осколков
камуфлет|Неожиданная неприятность, неудача
камуфлетный|Относящийся к подземному взрыву
камуфлировать|Маскировать средствами камуфляжа
закамуфлировать|Маскировать средствами камуфляжа
камуфляж|Маскировка предметов путем окраски полосами, пятнами, искажающими их очертания
камуфляж|Одежда из такой маскировочной ткани
камуфляж|Обманные действия, маскировка какой–нибудь деятельности, поступков
камуфляжный|Относящийся к маскировке или камуфляжу
камфара|Кристаллическое, сильно пахнущее вещество, используемое в технике и медицине
камфора|Кристаллическое, сильно пахнущее вещество, используемое в технике и медицине
камфарный|Относящийся к камфаре
камфорный|Относящийся к камфоре
камчадалы|Название смешанного по своему происхождению коренного населения Камчатки, говорящего по–русски
камчадалка|Женщина из коренного населения Камчатки
камчадальский|Относящийся к камчадалам, их языкам, национальному характеру, образу жизни, культуре, территории их проживания, внутреннему устройству, истории; такой, как у камчадалов
камчатый|О ткани: с узором, похожим на камку
камчатный|О ткани: с узором, похожим на камку
камыш|Высокое водное или болотное растение семейства осоковых
камыш|Заросль этого растения
камышовый|Сделанный из камыша, относящийся к камышу
камышевка|Певчая птица семейства славковых, живущая в камышовых, тростниковых зарослях
камышовка|Певчая птица семейства славковых, живущая в камышовых, тростниковых зарослях
камышит|Легкий строительный материал в виде щитов из спрессованных стеблей камыша или тростника
камышитовый|Относящийся к камышиту
канава|Неглубокий и неширокий ров
канавка|Уменьшительно к канаве
канавный|Относящийся к канаве
канавокопатель|Машина для прокладки неглубоких каналов, траншей, кюветов
канадский|Относящийся к канадцам, к их языкам, национальному характеру, образу жизни, культуре, Канаде, её территории, внутреннему устройству, истории; такой, как у канадцев, как в Канаде
канадцы|Население Канады
канадка|Женщина из населения Канады
канал|Искусственное русло, наполненное водой
канал|Узкое длинное полое пространство внутри чего–нибудь
канал|Линия связи, коммуникации; устройство для передачи информации
канал|Путь, средство для достижения чего–нибудь
канальный|Относящийся к каналу
канализация|Комплекс сооружений для приема, отвода и очистки сточных вод
канализационный|Относящийся к канализации
канальство|Поведение канальи, плутовство, жульничество
канальство|Выражение раздраженного удивления и оценки
каналья|Плут, мошенник
канальский|Относящийся к каналье
канареечный|Светло–желтый, цвета перьев канарейки
канарейка|Маленькая южная птичка семейства вьюрковых с ярким, обычно желтым оперением
канат|Гибкое длинное крученое (или витое, плетеное) изделие, трос
канатный|Относящийся к канату
канатоходец|Цирковой артист, выполняющий номера на высоко натянутом канате
