каналья|Плут, мошенник  
канареечный|Светло-желтый, цвета перьев канарейки  
канарейка|Маленькая южная птичка семейства вьюрковых с ярким, обычно желтым оперением  
канат|Гибкое длинное крученое или витое, плетеное изделие, трос  
канатоходец|Цирковой артист, выполняющий номера на высоко натянутом канате  
канаус|Плотная шелковая ткань  
канва|Редкая сетчатая, накрахмаленная или проклеенная ткань для вышивания по клеткам  
канва|Основа чего–нибудь  
кандалы|В царской России и других странах: железные кольца с цепями, надеваемые на руки и ноги узнику  
канделябр|Подсвечник для нескольких свечей, а также подставка-светильник с несколькими лампами в форме свечей  
кандидат|Лицо, которое предполагается к избранию, назначению или к приему куда–нибудь  
кандидат|Младшая ученая степень, а также лицо, имеющее эту степень  
кандидатка|Лицо, которое предполагается к избранию, назначению или к приему куда–нибудь  
кандидатура|То же, что кандидат  
кандидатура|Предполагаемая, открывающаяся для кого–нибудь возможность стать кандидатом  
кандиль|Сорт сочных яблок удлиненной формы  
каникулы|Перерыв в занятиях в учебных заведениях или в работе парламента на праздничное или летнее время  
канистра|Плотно закрывающийся бак для горючего, смазочных масел  
канителить|Действовать по отношению к кому–чему–нибудь бестолково и медлительно, задерживать дело  
канителиться|Бестолково и медлительно делать что–нибудь, заниматься канительным делом, копаться  
канитель|Очень тонкая металлическая нить для вышивания  
канитель|Нудное, с проволочками тянущееся дело  
канительный|Нудный, сопровождающийся канителью  
канительный|Медлительный, любящий канителиться  
канительщик|Человек, который канителится или канителит  
канительщица|Человек, которая канителится или канителит  
канифас|Легкая плотная хлопчатобумажная ткань с рельефным тканым рисунком  
канифолитить|Натирать канифолью  
канифоль|Желтовато-красное хрупкое смолистое вещество, употребляемое в резиновом, лаковом, бумажном и некоторых других производствах, а также для натирания смычков  
канкан|Эстрадный танец быстрого темпа с высоким выкидыванием ног  
каннибал|Животное, поедающее особей своего вида  
каннибал|Людоед-дикарь  
каннибал|Варварски жестокий человек  
каноист|Спортсмен, занимающийся греблей на каноэ  
канон|Правило, непреложное положение какого–нибудь направления, учения  
канон|Церковное установление, правило  
канон|Церковное хоровое песнопение в честь святого или праздника  
канонада|Продолжительная сильная частая стрельба из многих орудий  
канонерка|Канонерская лодка  
канонерская лодка|Небольшой военный корабль с несколькими орудиями для действия вблизи берегов  
канонизовать|Признать каноном, таким, который должен быть каноном  
канонизовать|В религии: причислить к лику святых, признать церковно узаконенным  
канонизировать|Признать каноном, таким, который должен быть каноном  
канонизировать|В религии: причислить к лику святых, признать церковно узаконенным  
канонир|В царской и некоторых других армиях: рядовой артиллерии  
канонический|Принятый за истинный, твердо установленный  
каноничный|То же, что канонический  
каноэ|Гребная спортивная одновесельная лодка без уключин с заостренным носом и высоко поднятой кормой  
кант|Вшитый цветной шнурок, узкая полоска ткани по краю или шву одежды  
кант|Полоска, которой оклеен по краям в виде рамки эстамп, рисунок, таблица  
кантата|Крупное вокально-инструментальное произведение, близкое оратории, обычно для солистов, хора и оркестра  
кантата|Состоящее из нескольких частей стихотворение к торжественному случаю или на мифологическую тему  
кантовать|Окаймлять кантом  
кантовать|Переворачивать, повертывать на бок, на другую сторону груз или изделие при переноске, перевозке  
кантон|В Швейцарии, Бельгии и некоторых других странах: административно-территориальная единица, а также избирательный округ  
кантор|В синагоге: певец, поющий псалмы  
кантор|В католической церкви: певчий  
кантор|В протестантской церкви: учитель и дирижер хора, органист  
канун|День перед праздником, накануне праздника  
канун|Время, предшествующее какому–нибудь событию  
кануть|Капнуть, упасть каплей  
кануть|Бесследно пропасть, исчезнуть  
канцелярия|Отдел учреждения, ведающий служебной перепиской, оформлением текущей документации  
канцелярщина|Неоправданный, излишний формализм в ведении дел  
канцелярист|Служащий канцелярии  
канцер|То же, что рак  
канцероген|Химическое вещество, способствующее возникновению злокачественных опухолей  
канцлер|Премьер-министр  
канцлер|В царской России и в некоторых других странах: высший гражданский чин, а также лицо, имеющее этот чин  
каньон|Глубокая узкая долина с очень крутыми склонами, размытая текущей по ее дну рекой  
канюк|Хищная птица семейства ястребиных, крик которой напоминает плач, мяуканье, сарыч  
канючить|Надоедливо просить о чем–нибудь, жалуясь на что–нибудь
