батальный|Изображающий войну
батальон|Войсковое подразделение из трех–четырех рот и специальных взводов, обычно входящее в состав полка или бригады
батальонный|Относящийся к батальону
батареец|Военнослужащий артиллерийского расчета
батарейка|Маленькая аккумуляторная батарея
батарея|Артиллерийское подразделение из нескольких орудий и средств управления, а также позиция, которую занимает такое подразделение
батарея|Соединение нескольких однородных приборов, устройств, сооружений, образующих единое целое
батенька|То же, что батюшка
батискаф|Самоходный аппарат для глубоководных исследований
батист|Тонкая, полупрозрачная, слегка блестящая бумажная или льняная ткань полотняного переплетения
батник|Приталенная рубашка или кофта с отложным воротником и застежкой на планке
батог|Палка, толстый прут для телесных наказаний в старину
батог|Палка, трость
батожье|Собрание батогов
батожок|Маленький батог
батон|Белый хлеб продолговатой формы
батон|Пищевое изделие округлой и удлиненной формы
батончик|Маленький батон, обычно шоколадный
батрак|Наемный сельскохозяйственный рабочий
батрачка|Женщина–батрак
батрацкий|Относящийся к батракам
батраческий|Относящийся к батракам
батрачество|Батраки
батрачить|Работать батраком
баттерфляй|Стиль спортивного плавания на груди, при котором обе руки одновременно выбрасываются над водой
батут|Туго натянутая сетка для прыжков–подскоков
батутный|Относящийся к батуту
батька|То же, что батя
батюшка|То же, что отец
батюшка|Фамильярное или дружеское обращение к собеседнику
батюшка|Православный священник, а также обращение к нему
батя|То же, что батюшка
батя|Православный священник, а также фамильярное обращение к нему
баул|Продолговатый дорожный сундучок
баульный|Относящийся к баулу
бах|Об отрывистом низком и сильном звуке
бах|Бахнул
бах|Предваряет сообщение о возникновении в высшей степени неожиданной ситуации
бахвал|Болтливый хвастун
бахвалка|Женщина–бахвал
бахвальский|Относящийся к бахвалу
бахвалиться|Хвастаться, кичиться
бахвальство|Действие по значению «бахвалиться», хвастовство
бахнуть|Издать резкий и отрывистый низкий звук
бахнуть|С шумом ударить или бросить
бахать|Работать, действовать резко, сильно 
бахнуться|С шумом упасть или удариться обо что–нибудь
бахаться|Постоянно ударяться обо что–нибудь, падать с шумом
бахрома|Тесьма для обшивки чего–нибудь с рядом свободно свисающих нитей, а также ряд таких свисающих нитей, кистей
бахромка|Маленькая бахрома
бахромчатый|С бахромой, наподобие бахромы
бахромчатость|Свойство быть бахромчатым
бахча|Участок, засеянный арбузами, дынями, тыквами
бахчевой|Относящийся к бахче
бахчевод|Специалист по бахчеводству
бахчеводство|Отрасль растениеводства — разведение бахчевых культур
бахчеводческий|Относящийся к бахчеводству
бац|О коротком сильном и резком звуке
бац|Ударил, бацнул
бац|Предваряет сообщение о возникновении в высшей степени неожиданной ситуации
бацилла|Бактерия (обычно болезнетворная) в форме палочки
бацилловый|Относящийся к бацилле
бацнуть|Издать короткий, сильный и резкий звук
бацнуть|С шумом ударить или бросить
бачки|Небольшие, не закрывающие щеку бакенбарды
баш|Баш на баш — то же, что так
башибузук|Разбойник, головорез
башка|То же, что голова
башкирский|Относящийся к башкирам, к их языку, национальному характеру, образу жизни, культуре, а также к Башкирии, ее территории, внутреннему устройству, истории; такой, как у башкир, как в Башкирии
башкиры|Народ, составляющий основное коренное население Башкирии
башкирка|Женщина–башкирка
башковитый|Умный, сообразительный
башковитость|Свойство быть умным, сообразительным
башлык|Суконный теплый головной убор — остроугольный колпак с длинными концами, надеваемый поверх шапки
башлыковый|Относящийся к башлыку
башмак|Ботинок или полуботинок
башмачный|Относящийся к башмаку
башмак|Приспособление, накладываемое на рельс для остановки колес
башмачный|Относящийся к башмаку как к устройству для остановки колес
башмачник|То же, что сапожник
башмачник|Тот, кто работает с башмаками для остановки колес
башня|Высокое и узкое архитектурное сооружение
башня|Возвышение для орудий на судах, танках, бронемашинах
башня|Высокий и узкий многоэтажный дом
башенка|Маленькая башня
башенный|Относящийся к башне и ее устройству
баштан|То же, что бахча
баштанный|Относящийся к баштану
баю-бай|Колыбельная песня, убаюкивающее междометие
баю-баюшки-баю|Колыбельная песня, убаюкивающее междометие
баюшки-баю|Колыбельная песня, убаюкивающее междометие
