кафель|То же, что изразец
кафе-мороженое|Кафе с продажей мороженого
кафетерий|Род кафе, обычно с самообслуживанием
кафешантан|Кафе с эстрадой, с исполнением различных увеселительных номеров, музыки, танцев
кафтан|Старинная мужская долгополая верхняя одежда
кахетинский|Относящийся к кахетинцам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории; такой, как у кахетинцев
кахетинцы|Этническая группа грузин, составляющая коренное население Кахетии – исторической области Восточной Грузии
кацавейка|Верхняя распашная короткая кофта
качалка|Кресло на качающейся подставке
качать|Приводить в колебательное движение
качать|Подбрасывать на руках вверх в знак восхищения, радости
качать|Производить колебательное движение
качать|Вытягивать, нагнетать насосом
качаться|Двигаться из стороны в сторону или колебаться, то поднимаясь, то опускаясь
качаться|Шататься при ходьбе
качели|Устройство для качания – сиденье, подвешенное к столбам или перекладине
качественный|Очень хороший, высокий по качеству
качество|Совокупность существенных признаков, свойств, особенностей, отличающих предмет или явление от других и придающих ему определенность
качество|То или иное свойство, признак, определяющий достоинство чего–нибудь
качка|Колебание, качание при движении (экипажа, судна, вагона, летательного аппарата)
качкий|Качающийся, неустойчивый
каша|Кушанье из сваренной или запаренной крупы
каша|То же, что месиво
каша|Нечто беспорядочное, путаница
кашалот|Морское млекопитающее подотряда зубатых китов
кашевар|Повар в походной группе, отряде, а также в рабочей артели
кашеварить|Быть кашеваром
кашель|Сильные, толчками, хриплые выдыхательные движения
кашемир|Тонкая шерстяная или полушерстяная ткань
кашица|Жидкая каша
кашка|Клевер, а также его шаровидное соцветие (головка)
кашлять|Издавать кашель, а также страдать кашлем
кашне|Узкий шейный шарф, надеваемый под пальто
кашпо|Декоративная ваза для цветочного горшка
каштан|Дерево семейства буковых с коричневыми плодами (орехами), а также самый плод
каштановый|Коричневый, цвета спелого каштана
каюк|Конец, капут, крышка
каюр|Погонщик собак или оленей, запряженных в нарты
каюта|Отдельное помещение на судне
кают-компания|Общее для командного состава помещение на судне место отдыха, собраний и столовая
каяться|На церковной исповеди признаваться в своем грехе
каяться|Сожалея, признавать свою ошибку, вину
квадрат|Равносторонний прямоугольник, а также предмет или участок такой формы
квадрат|В математике: произведение числа на самого себя
квадрат|В математике: показатель степени, равный двум
квадрат|Название офицерского знака различия в форме равностороннего прямоугольника на петлицах в Красной Армии
квадратно-гнездовой|Способ посева, посадки (пропашных культур), при котором группы семян помещаются по углам земельных квадратов
квадратный|Имеющий форму квадрата; похожий на квадрат
квадратный|По форме напоминающий квадрат
квадратура|В математике: вычисление площади или поверхности фигуры
квадрига|В античном мире: двухколесная колесница, запряженная в ряд четверкой коней
квадриллион|Название числа, изображаемого единицей с пятнадцатью или с двадцатью четырьмя нулями
квази...|Первая часть сложных слов – то же, что лже...
квакать|О лягушке: издавать характерные отрывистые звуки, похожие на «ква-ква»
квакер|В Англии, США и некоторых других странах: протестантская секта, отвергающая церковные обряды
квакер|Член такой секты
квакуша|То же, что лягушка
квакушка|То же, что лягушка
квакша|Древесная лягушка
квалитативный|То же, что качественный
квалификация|Степень годности к какому–нибудь виду труда, уровень подготовленности
квалификация|Профессия, специальность
квалифицированный|Имеющий высокую квалификацию, опытный
квалифицированный|Требующий специальных знаний
квалифицировать|Установить степень подготовки, годности к какому–нибудь виду труда, деятельности
квалифицировать|Оценить, определить каким–нибудь образом
