квакша|Древесная лягушка  
квалитативный|То же, что качественный  
квалитативность|То же, что качество  
квалификация|Степень годности к какому–нибудь виду труда, уровень подготовленности  
квалификация|Профессия, специальность  
квалификационный|Относящийся к квалификации  
квалифицированный|Имеющий высокую квалификацию, опытный  
квалифицированный|Требующий специальных знаний  
квалифицированность|Свойство быть квалифицированным  
квалифицировать|Установить степень чьей–нибудь подготовки, годности к какому–нибудь виду труда, деятельности  
квалифицировать|Оценить, определить каким–нибудь образом  
квант|В физике: наименьшее количество энергии, отдаваемое или поглощаемое физической величиной в её нестационарном состоянии  
квантовый|Относящийся к кванту  
квантовый|Основанный на квантовой теории  
квантовый|Относящийся к квантовой электронике  
квантовый|Относящийся к квантовому генератору  
квантитативный|То же, что количественный  
квантитативность|То же, что количественность  
кварта|В музыке: четвертая ступень гаммы, а также интервал, охватывающий четыре ступени звукоряда  
кварта|Мера вместимости, объема жидких и сыпучих веществ в разных странах, обычно немного больше литра  
квартовый|Относящийся к мере вместимости  
квартал|Часть города, ограниченная пересекающимися улицами  
квартал|Четвертая часть отчетного года  
квартал|В лесном хозяйстве: участок леса, ограниченный просеками, дорогами  
квартал|В царской России: низшая городская административно–полицейская единица, входящая в полицейский участок  
квартальный|Относящийся к кварталу  
квартет|Музыкальное произведение для четырех исполнителей с партиями для каждого  
квартет|Ансамбль из четырех исполнителей  
квартетный|Относящийся к квартету  
квартира|Жилое помещение в доме, имеющее отдельный вход, обычно с кухней, передней  
квартира|Помещение, снимаемое у кого–нибудь для жилья  
квартира|Место временного расположения войск, а также вообще временного расположения членов какого–нибудь отряда, рабочей группы  
квартирка|Небольшая квартира  
квартирный|Относящийся к квартире  
квартирант|Человек, который снимает квартиру у кого–нибудь  
квартирантка|Женщина, которая снимает квартиру у кого–нибудь  
квартирантский|Относящийся к квартиранту  
квартирмейстер|В царской армии и в армиях некоторых стран: офицер, ведающий снабжением и расквартированием части  
квартирмейстерский|Относящийся к квартирмейстеру  
квартировать|Проживать у кого–нибудь на квартире  
квартировать|Располагаться на квартирах  
квартиронаниматель|То же, что квартиросъемщик  
квартиронанимательница|Женщина, которая снимает квартиру  
квартиросъемщик|Съемщик квартиры  
квартиросъемщица|Женщина, снимающая квартиру  
квартирохозяин|Владелец, хозяин квартиры, сдающий комнаты жильцам  
квартирохозяйка|Женщина–владелец квартиры, сдающая комнаты жильцам  
квартирьер|Военнослужащий, а также член военизированной организации, стройотряда, высылаемый вперед для подготовки мест расположения  
квартирьерский|Относящийся к квартирьеру  
квартплата|Квартирная плата  
кварц|Широко распространенный минерал, двуокись кремния  
кварц|Облучение кварцевой лампой  
кварцевый|Относящийся к кварцу  
кварцевый|Стекло, получаемое плавлением горного хрусталя, кварца и некоторых других веществ  
кварцевать|Облучать кварцевой лампой  
кварцевание|Процесс облучения кварцевой лампой  
квас|Кисловатый напиток, настаиваемый с дрожжами на солоде, а также на ржаном хлебе, сухарях  
квасок|Небольшое количество кваса  
квасок|Кисловатый привкус  
квасной|Относящийся к квасу  
квасить|Подвергая брожению, вызывать закисание, делать кислым  
сквасить|Подвергнуть закисанию  
заквасить|Подвергнуть закисанию  
квашение|Процесс квашения  
сквашивание|Процесс сквашивания  
закваска|Вещество для заквашивания  
квасильный|Служащий для квашения  
заквасочный|Служащий для закваски  
квасцы|Двойная сернокислая соль алюминия, хрома или железа и какого–нибудь щелочного металла или аммония в форме кристаллов, употребляется в технике и как дезинфицирующее средство  
квасцовый|Относящийся к квасцам  
квашенина|Корм для скота — заквашенная ботва, остатки овощей  
квашенинный|Относящийся к квашенине  
квашеный|Подвергнутый квашению, кислый  
квашня|Деревянная кадка, кадушка для теста  
квашня|О вялом и толстом, неповоротливом человеке  
кверху|То же, что вверх  
кверху от|То же, что вверх от кого–чего–нибудь  
квёлый|Слабый, хилый, вялый  
