кое–когда|Иногда, изредка  
кое–кто|Некоторые или немногие люди  
кое–куда|В некоторое, в какое–то место  
коечник|Временный жилец, снимающий у кого–нибудь койку  
кое–что|Некоторые или немногие вещи, явления  
кож|Первая часть сложных слов со значением относящийся к коже  
кож|Первая часть сложных слов со значением кожевенный  
кожа|Наружный покров тела человека, животного  
кожа|Выделанная шкура животного  
кожа|Оболочка некоторых плодов  
кожан|Кожаное пальто, куртка  
кожанка|Кожаная куртка или короткое кожаное пальто  
кожаный|Сделанный из кожи  
кожевенный|Относящийся к выделке кож, к изделиям из кожи и торговле ими  
кожевник|Работник кожевенного производства  
кожистый|Имеющий кожу или с поверхностью, похожей на кожу  
кожица|Тонкая кожа  
кожица|Наружный тонкий покров листьев, стеблей и некоторых других органов растений  
кожник|То же, что дерматолог  
кожура|Наружный покров, оболочка плодов, семян  
кожух|Верхняя одежда из кожи, овчинный тулуп  
кожух|Чехол, футляр, внешняя обшивка механизмов, их частей  
коза|Одомашненный вид козлов  
коза|Самка козла  
козерог|Дикий горный козел с большими рогами  
козёл|Жвачное парнокопытное животное семейства полорогих с длинной шерстью  
козёл|Самец домашней козы  
козёл|Род игры в карты, в домино  
козёл|Гимнастический снаряд – короткий брус на ножках  
козлёнок|Детёныш козы  
козлище|Отделить хорошее от плохого  
козлы|Сиденье для кучера в передке экипажа  
козлы|Подставка в виде бруса на ножках, сбитых крестовиной  
козлятина|Козье мясо как пища  
козни|Злые, коварные умыслы  
козовод|Специалист по козоводству  
козоводство|Разведение коз как отрасль животноводства  
козодой|Ночная птица с широкой плоской головой  
козуля|То же, что косуля  
козырёк|Твёрдая часть картуза, фуражки, выступающая над лбом  
козырёк|Небольшой навес, небольшой выступ над чем–нибудь  
козырь|Карта масти, являющейся старшей в игре  
козырь|Преимущество, которое используется в нужный момент в споре, борьбе  
козырять|Ходить с козырной карты  
козырять|Выставлять что–нибудь на вид, хвастаться  
козырять|Брать под козырёк, отдавая честь по–военному  
козявка|То же, что букашка  
кой|Какой, который  
кой|Ни в коем случае  
кой|Ни в коей мере  
кой|На кой или на кой черт — зачем, к чему  
койка|Подвесная постель на судне  
койка|Кровать в больнице, общежитии, казарме, вообще кровать, место для спанья  
койко–день|Единица учета: одни сутки, проведённые одним человеком в больнице, общежитии, гостинице  
койот|Североамериканский луговой волк  
кок|Зачёсанный кверху вихор  
кок|Повар на судне  
кокаин|Наркотик, получаемый из листьев кокаинового куста, употребляется также как обезболивающее средство  
кокаинист|Наркоман, пристрастный к кокаину  
кокаиновый|См. кокаин  
кокаиновый|Кокаиновый куст — тропический кустарник семейства кокаиновых, культивируемый для получения кокаина  
кока–кола|Тонизирующий прохладительный напиток  
кокарда|Форменный знак на головном уборе  
кокать|Ударяя обо что–нибудь, разбивать  
кокать|Убивать, приканчивать  
кокетка|Женщина, стремящаяся заинтересовать собой, понравиться своим поведением, нарядом  
кокетка|Отрезная часть одежды, закрывающая верх груди и спины  
кокетливый|Исполненный кокетства, выражающий кокетство  
кокетничать|Быть кокеткой, вести себя кокетливо  
кокетничать|Рисоваться, выставлять напоказ что–нибудь как своё особенное достоинство  
кокки|Шаровидные, обычно неподвижные бактерии
