колит|Воспаление толстой кишки  
количество|Степень выраженности измеряемых свойств предметов, явлений, их мерные характеристики  
количество|Величина, число  
колкий|Легко колющийся, удобный для колки  
колкий|Причиняющий уколы  
колкий|Насмешливый, язвительный  
колкость|Колючесть  
колкость|Колкая насмешка, язвительное замечание  
коллаборационист|Предатель, сотрудничающий с врагами своей родины, своего народа  
коллаж|В изобразительном искусстве: наклеивание на какую–нибудь основу материалов другой фактуры, другого цвета; произведение, выполненное таким образом  
коллега|Товарищ по учению или работе  
коллегиальный|Не единоличный, осуществляемый группой лиц  
коллегия|В некоторых профессиях, связанных с умственным трудом и частной клиентурой: объединение, корпорация  
коллегия|Группа должностных лиц, образующих административный, совещательный или распорядительный орган  
коллегия|В России в 18 – начале 19 века: название центральных правительственных учреждений  
коллегия|Название некоторых учебных заведений  
коллежский|Первая часть названий некоторых гражданских чинов в царской России  
колледж|Высшее или среднее учебное заведение  
коллектив|Группа лиц, объединенных общей работой, учебой, общими интересами  
коллективизация|Объединение мелких единоличных крестьянских хозяйств в крупные коллективные хозяйства  
коллективизировать|Произвести или производить коллективизацию  
коллективизм|Принцип общности, коллективное начало в общественной жизни, в труде, в какой–нибудь деятельности  
коллективист|Человек, проникнутый духом коллективизма  
коллективный|Свойственный коллективу, основанный на общности труда, интересов  
коллективный|Общий, совместный, производимый коллективом  
коллективный|Существующий, предназначенный для коллектива  
коллектор|Труба или канал для отвода жидкостей и газов  
коллектор|Подземная галерея для укладки кабелей  
коллектор|Часть генератора постоянного тока, в котором переменный ток превращается в постоянный  
коллектор|Учреждение, распределяющее что–нибудь по подведомственным ему организациям  
коллектор|Работник, собирающий и хранящий образцы минералов, ископаемых, почв и других  
коллекционер|Человек, который занимается коллекционированием  
коллекционировать|Собирать коллекцию каких–нибудь предметов  
коллекция|Систематизированное собрание каких–нибудь предметов  
коллекция|Совокупность предметов, растений, животных, представляющая внутреннюю целостность  
колли|Шотландская овчарка  
коллизия|Столкновение каких–нибудь противоположных сил, интересов, стремлений  
коллодий|Густой клейкий раствор на смеси спирта и эфира  
коллоид|Гетерогенная система, состоящая из множества мелких частиц какого–нибудь вещества, находящихся во взвешенном состоянии в однородной среде  
коллоидный|Коллоидная система — гетерогенная система, состоящая из множества мелких частиц какого–нибудь вещества, находящихся во взвешенном состоянии в однородной среде  
коллоидный|Коллоидная химия — раздел физической химии, занимающийся изучением коллоидных систем и поверхностных явлений  
коллоквиум|Беседа преподавателя со студентами с целью выяснения их знаний  
коллоквиум|Научное собрание с обсуждением докладов на определенную тему  
колобок|Небольшой круглый хлебец  
колобродить|Бесцельно ходить, блуждать  
колобродить|Вести себя суетливо, шумно или беспутно, непорядочно  
коловорот|Ручной столярный инструмент для сверления отверстий  
коловорот|Круговорот, непрерывное вращение  
коловратный|Вращающийся, с вращающимся устройством  
коловратный|Изменчивый, непостоянный  
коловращение|То же, что круговорот  
колода|Короткое толстое бревно  
колода|Род деревянного корыта — бревно с выдолбленной серединой  
колода|О толстом, неповоротливом человеке  
колода|Комплект игральных карт  
колодец|Укрепленная срубом узкая и глубокая яма для получения воды из водоносного слоя  
колодец|Глубокая вертикальная скважина для разных технических надобностей  
колодка|Кусок дерева, служащий основой в некоторых инструментах, приборах  
колодка|Кусок дерева в форме нижней части ноги до щиколотки, употребляемый при шитье обуви  
колодка|Деревянное приспособление, надеваемое в старину на ноги арестантам для предупреждения побега  
колодка|Планка для ношения на груди орденов, медалей или орденских ленточек  
колодник|В старину: арестант в колодках  
колок|Деревянная заостренная палочка, укрепленная в чем–нибудь  
колок|Небольшой лес среди поля, пашни  
колокол|Отлитый из медного сплава полый конус с язычком, издающий громкий звон  
колокол|Конусообразный предмет для разных технических надобностей  
колокол|Ударный музыкальный инструмент — набор колоколов разной величины  
колокольня|Башня с колоколами на здании церкви или у церкви  
колокольчик|Звонок в форме маленького колокола  
колокольчик|Ударный музыкальный инструмент — набор металлических пластинок, звук из которых извлекается ударами деревянных молоточков или при помощи механического устройства  
колокольчик|Травянистое растение с лиловыми или темно–голубыми цветками, по форме похожими на маленькие колокола  
коломенок|Прочная и мягкая льняная ткань  
коломянка|Прочная и мягкая льняная ткань  
колониализм|Политика захвата колоний, установления в них колониальных режимов  
колонизатор|Тот, кто осуществляет политику колониализма  
колонизатор|Человек, который осуществляет освоение незаселенных, пустующих земель  
колонизовать|Захватив чужую страну, превратить или превращать ее в колонию  
колонизовать|Заселить или заселять переселенцами, колонистами пустующие земли  
колонист|Житель колонии  
колония|Страна, лишенная самостоятельности, находящаяся под властью иностранного государства  
колония|Поселение, состоящее из выходцев из другой страны, области  
колония|Сообщество, совокупность людей какой–нибудь страны, земляков, живущих в чужом городе, в чужой стране  
колония|Общежитие лиц, поселенных или поселившихся для совместной жизни с той или иной целью  
колония|Группа организмов, а также временное совместное поселение птиц  
колонка|Техническое устройство в форме цилиндра или вообще удлиненное  
колонка|Установка для отпуска жидкого горючего автотранспорту  
колонка|Водопроводное устройство с краном, установленное на улице  
колонка|То же, что столбец  
колонна|Сооружение в виде высокого столба, служащее опорой в здании или воздвигаемое в качестве монумента  
колонна|О людях, предметах, расположенных или движущихся друг за другом вытянутой линией
