конспектировать|Составлять конспект чего–нибудь  
законспектировать|Составлять конспект чего–нибудь  
проконспектировать|Составлять конспект чего–нибудь  
конспектирование|Составление конспекта  
конспиративный|Связанный с конспирацией, тайный, подпольный  
конспиративность|Свойство быть связанным с конспирацией, тайный, подпольный  
конспиратор|Тот, кто прибегает к конспирации  
конспираторша|Тот, кто прибегает к конспирации  
конспираторский|Связанный с конспирацией  
конспирация|Методы, применяемые нелегальной организацией для сохранения в тайне своей деятельности и членов; соблюдение тайны  
конспирационный|Связанный с конспирацией  
конспирировать|Применять методы конспирации, устраивать конспирацию  
законспирировать|Применять методы конспирации, устраивать конспирацию  
константа|Постоянная величина  
константный|Связанный с постоянной величиной  
констатировать|Установить или устанавливать наличие, несомненность чего–нибудь  
констатация|Установление наличия, несомненности чего–нибудь  
констатирование|Установление наличия, несомненности чего–нибудь  
конституция|Основной закон государства, определяющий основы общественного и государственного строя, систему государственных органов, права и обязанности граждан  
конституция|Строение, структура  
конституционный|Связанный с конституцией  
конструировать|Создавать конструкцию чего–нибудь, строить, а также вообще создавать что–нибудь  
сконструировать|Создать конструкцию чего–нибудь, построить, а также вообще создать что–нибудь  
конструктивизм|Направление в искусстве XX века, стремящееся к максимальной выразительности и экономичности форм, к обнажению их технической основы  
конструктивистский|Связанный с конструктивизмом  
конструктивист|Последователь конструктивизма  
конструктивистка|Последователь конструктивизма  
конструктивный|Относящийся к конструкции, нужный для конструирования  
конструктивный|Такой, который можно положить в основу чего–нибудь, плодотворный  
конструктивность|Свойство быть таким, который можно положить в основу чего–нибудь, плодотворный  
конструктор|Специалист, который создает конструкцию сооружения, механизма  
конструктор|Детская игра — набор деталей для конструирования  
конструкторша|Специалист, который создает конструкцию сооружения, механизма  
конструкторский|Связанный с работой конструктора  
конструкция|Состав и взаимное расположение частей построения, сооружения, механизма, а также само такое построение, сооружение, машина с таким устройством  
конструкция|В грамматике: синтаксически связанное сочетание слов, словесное построение  
конструкционный|Связанный с конструкцией  
консул|Должностное лицо дипломатического ведомства, представляющее и защищающее интересы своего государства и его граждан в каком–нибудь городе или административном районе иностранного государства  
консул|В Древнем Риме и во Франции в 1799–1804 годах: одно из высших правительственных лиц  
консульский|Связанный с консулом  
консульство|Дипломатическое представительство, возглавляемое консулом  
консульство|Должность или время управления консулом  
консультант|Специалист, дающий консультации  
консультантка|Специалист, дающий консультации  
консультантский|Связанный с консультантом  
консультация|Совещание специалистов по какому–нибудь делу, вопросу  
консультация|Совет, даваемый специалистом  
консультация|Учреждение, дающее такие советы  
консультация|Дополнительные занятия преподавателя с учащимися  
консультационный|Связанный с консультацией  
консультативный|Совещательный, дающий консультации  
консультировать|Советоваться с кем–нибудь (устаревшее)  
консультировать|Давать консультацию  
проконсультировать|Дать консультацию  
консультироваться|Советоваться со специалистом по какому–нибудь вопросу  
проконсультироваться|Посоветоваться со специалистом по какому–нибудь вопросу  
консьерж|Во Франции: швейцар при доме  
консьержка|Во Франции: швейцар при доме  
контакт|Соприкосновение, соединение  
контакт|Деловая связь, согласованность в действиях  
контакт|Непосредственное общение, соприкосновение с кем–нибудь  
контакт|Деталь, обеспечивающая соприкосновение проводов электрической цепи  
контактный|Связанный с контактом  
контактный|Такой, с которым легко иметь дело, установить контакт  
контактность|Свойство быть контактным  
контаминация|Смешение, соединение  
контаминация|В языкознании: возникновение нового выражения, слова, формы путем объединения элементов двух выражений или форм, чем–нибудь сходных  
контаминационный|Связанный с контаминацией  
контейнер|Стандартное вместилище для транспортировки грузов без упаковки  
контейнерный|Связанный с контейнером  
контекст|Относительно законченная в смысловом отношении часть текста, высказывания  
контекстный|Связанный с контекстом  
контекстовый|Связанный с контекстом  
контингент|Устанавливаемое для какой–нибудь цели предельное количество чего–нибудь  
контингент|Совокупность людей, образующих однородную в каком–нибудь отношении группу, категорию  
континент|То же, что материк  
континентальный|Связанный с континентом  
контора|Общее название административно–канцелярских отделов учреждений и предприятий, а также самостоятельных учреждений преимущественно хозяйственного, финансового характера  
конторский|Связанный с конторой  
конторка|Род письменного стола с наклонной доской на высоких ножках, за которым обычно работают стоя  
конторка|Небольшое помещение для мастера, руководителя цеха, работ  
конторщик|Конторский служащий  
конторщица|Конторский служащий  
конторщицкий|Связанный с конторщиком  
контр...|Приставка: образует имена и глаголы со значением направленности против чего–нибудь, противодействия чему–нибудь  
контра|См. контрик  
контрабанда|Нарушающий таможенное законодательство тайный провоз товаров и других предметов через границу  
контрабанда|Товары, предметы, провезённые таким способом  
контрабандный|Связанный с контрабандой  
контрабандист|Человек, который занимается контрабандой  
контрабандистка|Человек, который занимается контрабандой  
контрабандистский|Связанный с контрабандистом  
контрабас|Самый большой по размеру струнный смычковый музыкальный инструмент наиболее низкого регистра  
контрабасный|Связанный с контрабасом  
контрабасовый|Относящийся к контрабасу  
контрагент|Лицо или учреждение, берущее на себя известные обязательства по договору  
контрагентский|Связанный с контрагентом  
контр-адмирал|Первое адмиральское звание или чин во флоте, равное званию генерал-майора в сухопутных войсках, а также лицо, имеющее это звание  
контр-адмиральский|Связанный с контр-адмиралом  
контракт|Договор, соглашение  
контрактный|Связанный с контрактом  
контрактовый|Связанный с контрактом  
контрактовать|Заключать контракт на получение, использование кого–нибудь, чего–нибудь  
законтрактовать|Заключить контракт на получение, использование кого–нибудь, чего–нибудь  
контрактация|Процесс заключения контракта на получение, использование кого–нибудь, чего–нибудь  
контральто|Самый низкий женский голос  
контральто|Певица с таким голосом  
контральтовый|Связанный с контральто  
контрамарка|Талон, дающий право на бесплатное посещение театра, кино  
контрамарочный|Связанный с контрамаркой  
контрапункт|В музыке: одновременное движение нескольких самостоятельных мелодий, голосов, образующих гармоническое целое; учение о таком движении  
контрапунктический|Связанный с контрапунктом  
контрапунктный|Относящийся к контрапункту  
контраст|Резкая противоположность  
контрастный|Связанный с контрастом  
контрастный|Составляющий контраст, совершенно противоположный  
контрастность|Свойство быть контрастным  
контрастировать|Составлять контраст  
контратака|Атака обороняющихся войск против наступающего противника  
контратаковать|Произвести или производить контратаку  
контрацептивы|Противозачаточные средства  
контрацептивный|Относящийся к противозачаточным средствам
