контрастировать|Составлять контраст  
контрастный|Составляющий контраст, совершенно противоположный  
контрастность|Свойство быть совершенно противоположным, составлять контраст  
контратака|Атака обороняющихся войск против наступающего противника  
контратаковать|Произвести контратаку  
контрацептивы|Противозачаточные средства  
контрацептивный|Относящийся к противозачаточным средствам  
контрибуция|Платежи, налагаемые государством-победителем на побежденное государство  
контрибуционный|Относящийся к платежам, налагаемым государством-победителем  
контрик|То же, что контрреволюционер  
контра|То же, что контрреволюционер  
контрманёвр|Встречный, ответный манёвр  
контрнаступление|Подготовленное в ходе оборонительных действий встречное, ответное наступление на противника  
контролёр|Должностное лицо, работник, который контролирует кого–нибудь или что–нибудь  
контролёрша|Женщина, которая является контролёром  
контролёрский|Относящийся к контролёру  
контролировать|Осуществлять контроль или надзор  
проконтролировать|Осуществить контроль  
контроль|Проверка, а также постоянное наблюдение в целях проверки или надзора  
контроль|Лица, занимающиеся этим делом, контролёры  
контрольный|Относящийся к проверке или контролю  
контрразведка|Специальные государственные органы для противодействия разведкам других государств; деятельность таких органов  
контрразведчик|Работник контрразведки  
контрразведчица|Женщина, работающая в контрразведке  
контрреволюционер|Участник, сторонник контрреволюции  
контрреволюционерка|Женщина, участвующая в контрреволюции  
контрреволюция|Борьба противников революции против деятельности революционных властей  
контрреволюционный|Относящийся к борьбе против революции  
контрудар|Удар, наносимый войсками фронта, армии с целью разгрома прорвавшегося в оборону противника и перехода в наступление  
контры|Ссора, размолвка  
контра|Ссора, размолвка  
контузить|Нанести контузию  
контузия|Ушиб или травма организма без повреждения наружных покровов тела  
контур|Внешнее очертание чего–нибудь  
контурный|Относящийся к внешнему очертанию  
контура|Внешние очертания  
контура|Внешние очертания фигуры, здания, рисунка  
контурная карта|Географическая карта, на которой нанесены только очертания суши и водных пространств  
контурная линия|Прерывистая линия, из точек, черточек  
конора|Будочка для собаки  
конора|Тесное, убогое жилище  
конурка|Маленькая будочка для собаки или очень тесное жилище  
конус|Геометрическое тело, образованное вращением прямоугольного треугольника вокруг одного из его катетов  
конус|Предмет такой формы  
конусный|Имеющий форму конуса  
конусообразный|Имеющий вид конуса  
конусообразность|Свойство иметь вид конуса  
конфедерация|Союз независимых государств, имеющих объединённые органы для координации военных, внешнеполитических и некоторых других задач; соответствующая форма государственного устройства  
конфедерация|Объединение, союз каких–нибудь общественных организаций  
конфедеративный|Относящийся к союзу независимых государств  
конферанс|Эстрадный жанр — выступление на сцене, связанное с объявлением и комментированием номеров программы, а также текст такого выступления  
конферансье|Артист, ведущий конферанс  
конференц-зал|Зал для торжественных заседаний, конференций  
конференция|Большое собрание, совещание представителей каких–нибудь государств, организаций, групп  
конфессия|То же, что вероисповедание  
конфессиональный|Относящийся к вероисповеданию  
конфета|Сахаристое кондитерское изделие в виде плиточки, шарика, батончика  
конфетный|Относящийся к конфете  
конфетная внешность|Слащаво-красивая внешность  
конфетка|То же, что конфета  
конфетка|О чём–нибудь очень хорошем, привлекательном  
конфеточка|Маленькая конфетка  
конфетница|Вазочка для конфет  
конфетти|Разноцветные бумажные кружочки, которыми осыпают друг друга на балах, маскарадах  
конфигурация|Внешнее очертание, а также взаимное расположение предметов или их частей  
конфигурационный|Относящийся к внешнему очертанию и взаимному расположению предметов  
конфиденциальный|Секретный, доверительный  
конфиденциальность|Свойство быть секретным, доверительным  
конфиденциально|Секретно, доверительно  
конфирмация|У католиков: совершаемое епископом таинство миропомазания ребёнка 7–12 лет, приобщающее его к церкви  
конфирмация|У протестантов: обряд приобщения к церкви юношей и девушек 14–16 лет, а также время их подготовки к такому обряду  
конфирмационный|Относящийся к конфирмации  
конфисковать|Осуществляя санкции, изъять что–нибудь безвозмездно в собственность государства  
конфискация|Изъятие чего–нибудь безвозмездно в собственность государства  
конфликт|Столкновение, серьёзное разногласие, спор  
конфликтный|Относящийся к конфликту  
конфликтовать|Вступать в конфликт, в конфликты  
конфорка|Надставка на трубе самовара для подогревания чайника  
конфорка|Диск, закрывающий отверстие на кухонной плите, а также само отверстие  
конфорочный|Относящийся к конфорке  
конформизм|Приспособленчество, бездумное следование общим мнениям, модным тенденциям  
конформистский|Относящийся к приспособленчеству, бездумному следованию общим мнениям  
конфронтация|Противостояние, противоборство  
конфронтационный|Относящийся к противостоянию  
конфуз|Состояние смущения, неловкости; неловкое и смешное положение  
конфузный|Способный привести в конфуз, смущающий, компрометирующий  
конфузность|Свойство быть смущающим, компрометирующим  
конфузить|Приводить в состояние смущения, неловкости  
сконфузить|Привести в состояние смущения, неловкости  
конфузиться|Испытывать смущение, стесняться  
сконфузиться|Испытать смущение, стесняться  
конфузливый|Легко приходящий в смущение, стеснительный  
конфузливость|Свойство легко приходить в смущение, быть стеснительным  
концентрат|Готовый пищевой продукт в обезвоженном спрессованном виде  
концентрат|Концентрированный корм  
концентрат|Продукт обогащения полезных ископаемых  
концентратный|Относящийся к концентрату  
концентрационный|Относящийся к концентрации  
концентрационный лагерь|В фашистской Германии и в оккупированных ею странах во время Второй мировой войны, а также в некоторых странах с реакционными режимами, вообще в периоды репрессий и беззакония: место заключения и физического уничтожения политических противников, инакомыслящих
