конфузиться|Испытывать конфуз, стесняться  
конфузливый|Легко приходящий в конфуз, стеснительный  
конфузный|Способный привести в конфуз, смущающий, компрометирующий  
концентрат|Готовый пищевой продукт в обезвоженном спрессованном виде  
концентрат|Концентрированный корм  
концентрат|Продукт обогащения полезных ископаемых  
концентрационный|Относящийся к концентрационному лагерю  
концентрационный|Место заключения и физического уничтожения политических противников, инакомыслящих, лагерь для военнопленных  
концентрация|Количество вещества, содержащееся в единице массы  
концентрированный|Обладающий высокой концентрацией  
концентрировать|Собирать, сосредоточивать, скапливать в каком–нибудь месте  
концентрировать|Сгущать, насыщать  
концентрировать|То же, что обогащать  
концентрироваться|Собираться, скапливаться в каком–нибудь месте  
концентрический|Имеющий общий центр, противоположный эксцентрическому  
концентричный|То же, что концентрический  
концептуальный|Имеющий серьезную самостоятельную концепцию  
концепция|Система взглядов на что–нибудь; основная мысль  
концерн|Одна из форм объединения разных предприятий с высоким уровнем концентрации и централизации капиталов и производства  
концерт|Публичное исполнение музыкальных произведений  
концерт|Музыкальное произведение одного или нескольких солирующих инструментов и оркестра  
концертант|Артист, дающий концерт  
концертина|Род небольшой гармоники обычно шестиугольной формы  
концертино|Виртуозное музыкальное произведение типа концерта, но меньшее по объему и менее сложное  
концертировать|Давать концерты, выступать с концертами  
концертмейстер|Первый скрипач — солист оркестра, а также музыкант, возглавляющий одну из струнных групп исполнителей в оркестре  
концертмейстер|Пианист-аккомпаниатор, разучивающий партии с исполнителями  
концессионер|Владелец или совладелец концессии  
концессия|Договор, заключаемый государством с частным предпринимателем, иностранной фирмой на эксплуатацию промышленных предприятий, природных богатств и других хозяйственных объектов  
концессия|Предприятие, работающее по такому договору  
концлагерь|Концентрационный лагерь  
концовка|Заключительная часть литературного или музыкального произведения, а также вообще заключительная часть чего–нибудь  
концовка|Графическое украшение в конце книги, главы  
кончать|Завершать, заканчивать, доводить до конца  
кончать|Положить предел чему–нибудь, прекращать  
кончать|Завершать обучение где–нибудь  
кончать|Прекращать что–либо делать  
кончая|Чем, до какого–нибудь момента времени  
кончая|Считая, включая кого–что–нибудь  
конченый|Вполне решенный, законченный, окончательный  
кончик|Конечная, крайняя часть какого–нибудь предмета  
кончина|То же, что смерть  
кончить|Завершить, закончить, довести до конца  
кончить|Положить предел чему–нибудь, прекратить  
кончить|Завершить обучение где–нибудь  
кончить|То же, что прикончить  
кончить|Покончено с чем–нибудь, продолжения не будет  
кончиться|Прийти к концу, прекратиться  
кончиться|Завершиться чем–нибудь  
кончиться|Умереть  
конъюнктива|Наружная оболочка глаза  
конъюнктивит|Воспаление конъюнктивы  
конъюнктура|Создавшееся положение, обстановка в какой–нибудь области общественной жизни  
конъюнктурщик|Беспринципный человек, действующий в зависимости от сложившейся в данный момент обстановки, от стечения обстоятельств  
конь|То же, что лошадь  
конь|В шахматах: фигура, изображающая конскую голову на высоко изогнутой шее  
конь|Гимнастический снаряд для маховых упражнений и опорных прыжков — обитый мягким материалом длинный брус на ножках  
коньки|Узкие стальные полозья, прикрепляемые к обуви для катания на льду  
коньки|Вид спорта — бег на таких полозьях  
конькобежец|Спортсмен, занимающийся конькобежным спортом, а также вообще тот, кто катается на коньках  
конькобежный|Относящийся к катанию на коньках  
коньковый|Относящийся к конькам  
коньяк|Крепкий алкогольный напиток из выдержанного виноградного спирта  
конюх|Работник, занимающийся уходом за лошадьми  
конюший|Должностное лицо, ведающее дворцовой конюшней, конным хозяйством  
конюшня|Помещение для лошадей  
коняга|То же, что конь (обычно о непородистой рабочей лошади)  
кооператив|Организация, созданная скооперировавшимися пайщиками  
кооператив|Жилищная организация, а также квартира, приобретаемая в ней пайщиком  
кооператив|Магазин потребительской кооперации  
кооператор|Работник кооперации  
кооперация|Особая форма организации труда, при которой много людей совместно участвуют в одном и том же или в различных, связанных между собой процессах труда  
кооперация|Форма связи между промышленными организациями, сферами производственной деятельности  
кооперация|Коллективное производственное, торговое объединение, создаваемое на средства его членов  
кооперировать|Объединить на началах кооперации  
кооперировать|Привлечь к участию в кооперации  
кооптацая|Пополнение новыми членами состава какого–нибудь выборного органа без проведения дополнительных выборов  
кооптировать|Ввести куда–нибудь путем кооптации  
координата|Одно из чисел, определяющих положение точки на плоскости, поверхности или в пространстве  
координаты|Сведения о местонахождении, местопребывании кого–чего–нибудь
