космология|Учение о Вселенной  
космонавт|Специалист, совершающий полет в космическом пространстве  
космонавтка|Женщина, совершающая полет в космическом пространстве  
космонавтика|Теория и практика полетов в космос  
космополит|Последователь космополитизма  
космополит|Растение или животное, встречающееся на большей части обитаемых областей земли  
космополитизм|Идеология так называемого «мирового гражданства», ставящая интересы человечества выше интересов отдельной нации  
космос|Вселенная, мир  
космы|Взлохмаченные пряди волос  
коснеть|Пребывать, находиться в каком–нибудь тяжелом, предосудительном состоянии  
косноязычие|Невнятное, неправильное произношение, расстройство речи  
косноязычный|О речи: невнятный, неправильный  
косность|Тяготеющий к чему–нибудь привычному, невосприимчивый к новому, консервативный  
косо...|Первая часть сложных слов со значением: с косым; косой  
кособокий|С косым, кривым боком; покосившийся набок  
кособокость|Свойство быть с косым боком, покосившимся набок  
кособочиться|Находиться в перекошенном состоянии, клониться набок  
скособочиться|Прийти в перекошенное состояние, склониться набок  
косовица|Время сенокоса, кошения трав, хлебов; само такое кошение  
косоворотка|Мужская рубашка со стоячим воротом, застегивающимся сбоку  
косоглазие|Расстройство координации движения глаз, неодинаковое направление зрачков  
косоглазый|Страдающий косоглазием  
косогор|Склон горы, холма  
косой|Расположенный наклонно к горизонту, к поверхности, не отвесный  
косой|То же, что кривой  
косой|То же, что косоглазый  
косой|Расположенный сбоку, не посередине; боковой  
косой|Недружелюбно–подозрительный  
косолапый|Ступающий пятками врозь, носками внутрь  
косолапый|Неуклюжий, с неловкими движениями рук  
косолапый|Шутливое название медведя  
косолапость|Свойство ступать пятками врозь, носками внутрь; неловкость движения рук  
косорукий|С косой, перекошенной рукой  
косорукий|Неуклюжий, с неловкими движениями рук  
косорукость|Свойство быть неуклюжим, с неловкими движениями рук  
костариканский|Относящийся к костариканцам, к их языку, национальному характеру, образу жизни, культуре, а также к Республике Коста–Рика, ее территории, внутреннему устройству, истории; такой, как у костариканцев, как в Коста–Рике  
костариканцы|Латиноамериканский народ, составляющий основное население Коста–Рики  
костариканка|Женщина, принадлежащая к основному населению Коста–Рики  
костенеть|Коченеть; затвердевать  
закостенеть|Стать коченелым, затвердеть  
окостенеть|Стать твердым как кость  
костерить|Ругать, поносить  
костёл|Польское название католического храма  
костёл|Католический храм  
костёл|Связанный с католическим храмом  
костёр|Горящие дрова, сучья, хворост, сложенные в кучу  
костерок|Небольшой костёр  
костерчик|Маленький костёр  
костерный|Относящийся к костру  
костровый|Связанный с костром  
костистый|С крепкими, широкими, заметно выступающими костями  
костистый|С множеством мелких костей  
костистость|Свойство иметь крепкие, широкие, заметно выступающие кости, либо множество мелких костей  
костить|Ругать, поносить  
костлявый|Худой, с выступающими костями  
костлявый|С множеством мелких костей  
костлявость|Свойство быть худым, с выступающими костями, либо иметь множество мелких костей  
костный|Касающийся костей  
костный|Класс рыб с костной тканью в скелете и в чешуе  
костоеда|Болезнь – разрушение костной ткани  
костоправ|Человек, умеющий вправлять суставы при вывихах  
косторез|Художник, занимающийся резьбой по кости  
косторезный|Относящийся к искусству резьбы по кости  
косточка|Твердое образование в теле человека и животного, составная часть скелета  
косточка|Покрытое древесной оболочкой ядро плода  
косточка|Кругляшка на счетах  
косточка|Гибкая пластинка, вшиваемая в корсет, платье  
косточка|В некоторых сочетаниях одобрительно: о давнем происхождении, крепких потомственных корнях, истоках  
косточковый|Связанный с покрытым древесной оболочкой ядром плода  
косточковые|Культура, дающая плоды с покрытым древесной оболочкой ядром  
костра|Остатки стеблей льна, конопли после трепания и чесания  
костровый|Связанный с кострой  
кострец|Нижняя часть крестца  
кострец|Сорт мяса – верхняя часть задней ляжки  
кострище|Место, где горел костёр, а также место, специально предназначенное для разведения костра  
костровой|Тот, кто разводит и поддерживает костёр  
костыль|Устройство для опоры при ходьбе – раздваивающаяся кверху палка с поперечными упорами для руки и подмышки  
костыль|Палка, посох с загнутым верхним концом – ручкой для опоры  
костыль|Род гвоздя – толстый заострённый стержень с загнутым концом или опора, подпорка такой формы  
костыльный|Связанный с костылём  
кость|Твёрдое образование в теле человека и животного, составная часть скелета  
кость|Игральные пластинки, кубики  
костюм|Одежда, платье  
костюм|Мужское или женское верхнее платье  
костюмчик|Маленький костюм  
костюмный|Относящийся к костюму  
костюмер|Специалист по театральным костюмам; работник костюмерной  
костюмерша|Женщина, специалист по театральным костюмам  
костюмерный|Относящийся к изготовлению и хранению театральных костюмов  
костюмерная|Отдел в театре, где хранятся костюмы, или мастерская, где они изготовляются  
костюмированный|Одетый в театральный или маскарадный костюм  
костюмированный|О бале, вечере: с участниками, одетыми в маскарадные костюмы  
костюмировать|Одеть в театральный или маскарадный костюм  
костюмироваться|Одеваться в театральный или маскарадный костюм  
костюмировка|Процесс одевания в театральный или маскарадный костюм  
костяк|То же, что скелет  
костяк|Основная, кадровая часть чего–нибудь
