кража|см. красть
край|Предельная линия, предельная часть чего–нибудь
край|Страна, область
край|В России: крупная административно-территориальная единица, обычно имеющая в своем составе автономную область
край...|Первая часть сложных слов со значением относящийся к краю, краевой
крайний|Находящийся на краю чего–нибудь; наиболее далекий
крайний|Предельный, последний
крайний|Очень сильный в проявлении чего–нибудь, исключительный
крайность|Крайняя степень чего–нибудь, чрезмерное проявление чего–нибудь
крайность|Тяжелое, трудное положение, нужда
краковяк|Польский народный быстрый танец, а также музыка в ритме этого танца
краля|То же, что красотка
краля|Женщина, за которой кто–нибудь ухаживает; любовница
крамола|Заговор, мятеж, а также о чем–нибудь противозаконном, запрещенном
крамольник|Заговорщик, бунтовщик, а также вообще человек, который выступает против власти, законов
крамольничать|Заниматься крамолой, бунтовать
кран|Запорное устройство в виде трубки для выпуска жидкостей или газа из резервуара или трубопровода
кран|Прибор для управления тормозами
кран|Машина для подъема и перемещения грузов на небольшие расстояния
крановщик|Машинист крана
кранты|Конец, каюк, капут
крап|Мелкие пятна, брызги на чем–нибудь
крап|Расцветка в виде брызг на чем–нибудь
крапать|То же, что накрапывать
крапива|Травянистое растение с обжигающими волосками на стебле и листьях
крапивница|Род бабочек с черной каймой и голубыми пятнами на зубчатых крыльях
крапивница|Аллергическое заболевание, при котором появляются сыпь, зуд
крапина|В окраске чего–нибудь: одно из многих мелких пятнышек на основном фоне
крапинка|В окраске чего–нибудь: одно из многих мелких пятнышек на основном фоне
крапление|Нанесение крапа на что–нибудь
краплёный|Об игральных картах: с шулерским крапом
крапчатый|С крапинками, в крапинку, с пятнистой окраской
краса|То же, что красота
краса|Украшение, слава чего–нибудь
красавец|Человек с красивой внешностью
красавец|О ком–чем–нибудь очень красивом
красавчик|Человек с красивой внешностью
красавица|Женщина с красивой внешностью
красавка|То же, что белладонна
красивость|Чисто внешняя красота, украшения с притязаниями на красоту
красивый|Доставляющий наслаждение взору, приятный внешним видом, гармоничностью, стройностью, прекрасный
красивый|Полный внутреннего содержания, высоконравственный
красивый|Привлекающий внимание, эффектный, но бессодержательный
красильня|Мастерская или цех, где производится крашение
красильщик|Рабочий, занимающийся крашением, красильным делом
красильщица|Рабочая, занимающаяся крашением, красильным делом
краситель|Красящее вещество
красить|Покрывать или пропитывать краской, красящим составом
красить|Придавать красоту кому–чему–нибудь, украшать
краситься|О чем–нибудь окрашенном: пачкать собой
краситься|Покрываться, пропитываться краской
краситься|Красить себе волосы, лицо, губы
краска|Состав, придающий тот или иной цвет предметам, которые им покрываются или пропитываются
краска|Тон, колорит, цвет
краска|То же, что румянец
краснеть|Становиться красным, краснее
краснеть|Покрываться румянцем
краснеть|То же, что стыдиться
краснеть|О чем–нибудь красном: виднеться
краснеться|То же, что краснеть в значении "виднеться"
красно|В сочетании со словами говорить, сказать, писать: красноречиво, гладко
красно...|Первая часть сложных слов со значением красный, с красным, красно, гладко, красноватого или бурого оттенка
красноармеец|Боец Красной Армии
красноармейка|Женщина–боец Красной Армии
красноармейский|Связанный с Красной Армией
краснобай|Человек, склонный к краснобайству
краснобайка|Женщина, склонная к краснобайству
краснобайский|Связанный с краснобайством
краснобайство|Пустое красноречие, многословие
красногвардеец|Боец Красной гвардии
красногвардейский|Связанный с Красной гвардией
краснодеревец|Столяр, специалист по дорогим, сложным изделиям
краснодеревщик|Столяр, специалист по дорогим, сложным изделиям
краснокожий|С красной кожей, из красной кожи
краснокожий|С темно–желтой, красноватой окраской кожи
красно–коричневые|Фашиствующие сторонники коммунистического режима
краснолесье|Хвойный лес
краснолицый|С красным лицом
краснопёрый|С красным оперением, с красными плавниками
красноречивый|Одаренный красноречием
красноречивый|Выразительный, ярко свидетельствующий о чем–нибудь
красноречивость|Способность хорошо и красиво говорить
красноречие|Дар хорошо и красиво говорить
красноречие|То же, что риторика
краснота|См. красный
краснота|Красное пятно, покраснение от прилива крови, воспаление
краснотал|Кустарник или дерево семейства ивовых, красная верба
красноталовый|Связанный с красноталом
краснофлотец|В Военно–Морском Флоте СССР с 1918 по 1946 год
