кугуар|То же, что пума
куда|В какое место, в какую сторону
куда|Для чего
куда|Выражает сомнение, отрицание в сочетании с пренебрежительной оценкой
куда|В сочетании со сравнительной степенью имеет значение намного, гораздо
куда-либо|То же, что куда-нибудь
куда-нибудь|Безразлично куда; в неопределенное место
куда-то|В какое-то место
кудахтать|О курице: издавать характерные звуки, похожие на "кудах-тах-тах"
кудахтать|Говорить бестолково и взволнованно
кудель|Волокнистая часть льна, пеньки
кудесник|Волхв, чародей
кудесник|То же, что волшебник
кудлатый|То же, что лохматый
кудреватый|Со слегка вьющимися волосами
кудреватый|То же, что кудрявый
кудри|Вьющиеся или завитые волосы
кудрявиться|Виться кудрями
кудрявиться|О мелких листьях, зелени: расти пышно, виться
кудрявый|Вьющийся кудрями, имеющий кудри
кудрявый|О дереве: пышный, с обильной мелкой листвой
кудрявый|Манерный, вычурный
кудывать|Спрашивать "куда?"
кудыкин|На (за) кудыкины горы - неизвестно куда
кузен|То же, что двоюродный брат
кузина|То же, что двоюродная сестра
кузнец|Мастер, занимающийся ручной ковкой
кузнец|Рабочий кузнечного производства
кузнечик|Прыгающее насекомое отряда прямокрылых, издающее стрекочущие звуки
кузнечный|Относящийся к обработке металла ручной и машинной ковкой
кузница|Мастерская с горном для ручной ковки металла, для подковывания лошадей, а также кузнечный цех
кузница|Место, где создается, формируется, подготавливается что-нибудь важное, ценное
кузов|Короб из лыка или бересты
кузов|Корпус перевозочного средства, повозки, экипажа
кузькин|Показать кузькину мать кому-нибудь - выражение грубой угрозы
кукарекать|О петухе: кричать, издавая характерные звуки, похожие на "ку-ка-ре-ку"
кукареку|О крике петуха
кукиш|Кулак с большим пальцем, просунутым между указательным и средним в знак презрения, издевки
кукла|Детская игрушка в виде фигурки человека
кукла|В театральном представлении: фигура человека или животного, сделанная из разных материалов и управляемая актером
кукла|Фигура, воспроизводящая человека в полный рост
кукла|Пачка листов бумаги, подделанная под пачку бумажных денег
кукловод|Артист кукольного театра, из-за ширмы управляющий куклами при помощи тростей, нитей, специальных перчаток
ку-клукс-клан|Террористическая расистская организация в США
куклуксклановец|Член ку-клукс-клана, линчеватель
куковать|О кукушке: издавать характерные звуки, напоминающие "ку-ку"
куковать|Испытывать лишения, бедствовать
кукожиться|Жаться, ежиться
куколка|Детская игрушка в виде фигурки человека
куколка|Насекомое в стадии развития от личинки к полной зрелости
куколь|Травянистое растение семейства гвоздичных, сорняк с темно-розовыми цветками и ядовитыми семенами
кукольник|Человек, ведущий кукольное представление, артист кукольного театра
кукольник|Мастер, изготовляющий кукол
кукольный|То же, что игрушечный
кукольный|О лице, внешности: красивый, но невыразительный, неодухотворенный
кукситься|Хмуриться, быть в плохом настроении или в состоянии недомогания
ку-ку|О крике кукушки
кукуруза|Злак с толстым стеблем и крупными съедобными желтыми зернами, собранными в початок, а также зерна этого растения
кукушка|Лесная перелетная птица, обычно не вьющая своего гнезда и кладущая яйцо в чужое гнездо
кукушка|Небольшой маневровый паровоз, а также поезд местного назначения на железнодорожных ветках
кукушонок|Птенец кукушки
кулак|Кисть руки со сжатыми пальцами
кулак|Сосредоточенная ударная группировка войск
кулак|Толкающее звено в некоторых механизмах
кулак|Богатый крестьянин-собственник, пользующийся постоянно наемным трудом
кулак|Скупой и корыстолюбивый человек
кулан|Дикое животное семейства лошадиных, родственное ослу
кулачки|На кулачки, на кулачках - о кулачном бое
кулебяка|Большой продолговатый пирог с начинкой из мяса или рыбы, капусты, каши
кулеш|Густая крупяная похлебка
кулёк|Небольшой бумажный мешочек
кулёмать|Делать плохо, кое-как
кули|В некоторых восточных странах: чернорабочий, обычно носильщик, грузчик
кулик|Небольшая болотная птица с длинными ногами
