кулеш|Густая крупяная похлебка
кулек|Небольшой бумажный мешочек
кулемать|Делать плохо, кое-как
кули|В некоторых восточных странах: чернорабочий, обычно носильщик, грузчик
кулик|Небольшая болотная птица с длинными ногами
кулинар|Специалист по кулинарии
кулинар|Человек, искусный в приготовлении кушаний
кулинария|Искусство приготовления пищи
кулинария|Магазин готовых блюд и пищевых полуфабрикатов
кулиса|Плоская часть театральной декорации в боковой части сцены
кулич|Сладкий, очень сдобный высокий белый хлеб, приготовленный к Пасхе
кулички|Очень далеко
кулон|Шейное украшение с камнями
кулон|Единица количества электричества
кулуары|Помещения вне зала заседания в парламенте, на конференции
кулуары|Неофициальные разговоры в осведомленных политических, общественных кругах
куль|Большой рогожный мешок
куль|Старая русская торговая мера сыпучих тел от пяти до девяти пудов
кульман|Чертежный прибор
кульминация|Прохождение светила через небесный меридиан
кульминация|Точка наивысшего напряжения, подъема, развития чего–нибудь
культ|В религии: служение божеству и связанные с этим действия, обряды
культ|Преклонение перед кем–либо, чем–либо, почитание кого–либо, чего–либо
культ|Первая часть сложных слов со значением: относящийся к культурно–просветительной работе
культиватор|Орудие для рыхления почвы и уничтожения сорняков
культивировать|Разводить, выращивать
культивировать|Насаждать, вводить в употребление
культивировать|Обрабатывать землю культиваторами
культпоход|Коллективное посещение культурно–просветительного учреждения, театра, музея, кино, исторических мест
культтовары|Канцелярские и ученические принадлежности как предмет торговли
культура|Совокупность производственных, общественных и духовных достижений людей
культура|То же, что культурность
культура|Разведение, выращивание какого–нибудь растения или животного
культура|Разводимое растение, а также клетки микроорганизмов, выращенные в питательной среде в лабораторных или промышленных условиях
культура|Высокий уровень чего–нибудь, высокое развитие, умение
культуризм|Система гимнастических упражнений с тяжестями, направленная на развитие мускулатуры
культурист|Человек, занимающийся культуризмом
культурный|Находящийся на высоком уровне культуры, соответствующий ему
культурный|Относящийся к просветительной, интеллектуальной деятельности
культурный|Обработанный, возделанный, выращенный человеком, не дикий
культуролог|Специалист по культурологии
культурология|Наука о духовной культуре народа
культя|Часть конечности, оставшаяся после ампутации, увечья
культяпка|То же, что культя
кум|Крестный отец по отношению к родителям крестника и к крестной матери
кума|Крестная мать по отношению к родителям крестника и к крестному отцу
кумач|Хлопчатобумажная ярко–красная ткань
кумачовый|Ярко–красный, цвета кумача
кумекать|Соображать, понимать
кумир|То же, что истукан
кумир|Предмет восхищения, преклонения
кумирня|Языческая молельня с кумирами
кумиться|Вступать в отношения кумовства
кумовство|Связь, отношения, существующие между кумовьями
кумовство|Служебное покровительство своим друзьям, родственникам в ущерб делу
кумпол|В некоторых сочетаниях: макушка головы
кумушка|О женщине, занимающейся пересудами, сплетнями
кумыки|Народ, относящийся к коренному населению Дагестана
кумыкский|Относящийся к кумыкам, к их языку, национальному характеру, образу жизни, культуре, а также к территории их проживания, ее внутреннему устройству, истории; такой, как у кумыков
кумыс|Кислый напиток из кобыльего молока
кумысо|Первая часть сложных слов со значением: относящийся к кумысу, к лечению кумысом
кунак|У кавказских горцев: друг, приятель
кунжут|Однолетнее масличное растение теплых стран
куница|Небольшой хищный зверек с ценным светло–коричневым пушистым мехом, а также мех его
кунсткамера|Музей, собрание редкостей, диковинных предметов
кунтуш|Старинный польский и украинский кафтан с широкими откидными рукавами
