латиница|Латинский алфавит  
латино|Первая часть сложных слов со значением латинский  
латиноамериканский|Относящийся к латиноамериканцам, к их языкам, образу жизни, культуре, а также к Латинской Америке, её странам, их территории, внутреннему устройству, истории; такой, как у латиноамериканцев, как в Латинской Америке  
латиноамериканцы|Население Латинской Америки  
латинский|Относящийся к Древнему Риму, к его истории и культуре  
латинский|Относящийся к латинам (латинянам), их языку, образу жизни, культуре, а также к территории их проживания, истории; такой, как у латин  
латинский|То же, что католический  
латины|Древние племена, в I тысячелетии до нашей эры населявшие доисторическую область Лациум, располагавшуюся на территории современной Италии  
латиняне|То же, что латины  
латифундист|Владелец латифундии  
латифундия|В некоторых странах: крупное поместье, земельное владение  
латка|То же, что заплата  
латник|Воин в латах  
латук|Травянистое растение, отдельные виды которого разводятся как овощи, применяются в медицине  
латунь|Сплав меди с цинком и другими элементами  
латы|В старину: металлические доспехи, броня  
латынь|Латинский язык  
латыши|Народ, составляющий основное коренное население Латвии  
латышский|Относящийся к латышам, к их языку, национальному характеру, образу жизни, культуре, а также к Латвии, её территории, внутреннему устройству, истории; такой, как у латышей, как в Латвии  
лауреат|Человек, удостоенный особой премии за выдающиеся заслуги в области науки, искусства, за достижения в труде  
лафа|Свободно и хорошо  
лафет|Станок артиллерийского орудия  
лафит|Сорт красного виноградного вина  
лафитник|Стопка или большая рюмка удлинённой формы  
лацкан|Отворот над застёжкой на груди верхней одежды  
лачуга|Бедная хижина, небольшой и плохой дом  
лаять|О собаке, лисице и некоторых других животных: издавать характерные громкие, резкие и отрывистые звуки  
лаять|Бранить, ругать  
лаять|Говорить громко и хрипло, отрывисто  
лаяться|Браниться, ругаться  
лгать|Говорить неправду  
лгать|Клеветать, наговаривать  
лгун|То же, что лжец  
лебеда|Травянистое или кустарниковое растение, засоряющее посевы  
лебедёнок|Птенец лебедя  
лебедь|Большая водоплавающая птица семейства утиных с длинной, красиво изогнутой шеей  
лебезить|Заискивать, угодничать  
лебёдка|Самка лебедя  
лебёдка|Машина для подъёма и перемещения грузов — вращающийся барабан с наматываемым на него канатом или цепью  
лев|Крупное хищное животное семейства кошачьих с короткой желтоватой шерстью и с длинной гривой у самцов  
лев|Денежная единица в Болгарии  
левада|На Украине и на юге России: береговые лиственные леса, заливаемые в половодье  
левада|Участок земли близ дома, селения с рощей, садом  
левак|Политический деятель крайне левых взглядов  
левак|Работник, незаконно использующий рабочее время, орудия или продукты общественного труда для личной наживы  
левацкий|Мнимо радикальный, экстремистский  
левачество|Левацкая политика  
левачить|Быть леваком  
леветь|Становиться левым, более левым по политическим взглядам  
левиафан|О ком-либо, чём-либо, поражающем своими размерами, силой  
левизна|Левое или мнимо левое направление в общественно-политических взглядах  
левкой|Садовое травянистое растение семейства крестоцветных с пахучими цветками  
лево|Где правая, где левая сторона  
лево|Команда на корабле, лодке: поворот руля налево  
лево|Команда на корабле, лодке: поворот руля налево до отказа  
лево|Первая часть сложных слов со значением левый  
левобережье|Земельное пространство, расположенное на левом берегу, прилегающее к левому берегу  
левофланговый|Находящийся, расположенный на левом фланге  
левретка|Небольшая комнатная собака породы борзых  
левша|Человек, который владеет левой рукой лучше, чем правой  
левый|Расположенный в той стороне тела, где находится сердце, а также вообще определяемый по отношению к этой стороне  
левый|Политически радикальный или более радикальный, чем другие, в противоположность правому  
левый|О работе, заработке: побочный и незаконный  
легавые|Порода собак, тренируемых для охоты на пернатую дичь  
легавый|Сыщик, доносчик  
легализовать|Перевести на легальное положение  
легализировать|Перевести на легальное положение
