лесной|см. лес
лесо...|Первая часть сложных слов со значением: относящийся к лесу, лесному хозяйству, лесной; содержащий лес, существующий вместе с лесом
лесовод|Специалист по лесоводству
лесоводство|Выращивание леса, а также наука о лесе, его выращивании, рубках и восстановлении
лесовоз|Судно или грузовой автомобиль для перевозки леса
лесозавод|Промышленное предприятие по обработке лесных материалов
лесозаготовки|Государственная заготовка древесины
лесозащитный|Относящийся к защите леса
лесозащитный|Относящийся к посадке лесонасаждений для защиты сельскохозяйственных культур
лесонасаждение|Искусственное разведение леса
лесонасаждение|Участок искусственно разведенного леса
лесопарк|Лесной массив в городе, в рабочем поселке
лесопилка|Лесопильный завод
лесопильный|Занимающийся пилкой лесных материалов
лесопильня|Небольшой лесопильный завод
лесоповал|Валка леса
лесополоса|Полоса лесных насаждений
лесопосадочный|Относящийся к посадке леса
лесопромышленник|Предприниматель, занимающийся заготовкой и продажей леса
лесопромышленность|Лесная промышленность
лесоразработки|Валка и заготовка леса, а также место, где производятся такие работы
лесоруб|Рабочий, занимающийся рубкой, валкой леса
лесорубный|Относящийся к рубке, валке леса
лесосека|Участок спелого леса, предназначенный для вырубки, повала, а также место, где производятся такие работы
лесосплав|Сплав леса
лесостепь|Область, зона, в которой чередуются степь и лес
лесотундра|Область, зона, в которой сочетаются редкий лес, тундра, болота и луга
леспромхоз|Лесопромышленное хозяйство — предприятие, занимающееся заготовкой, вывозом и сплавом леса
лестница|Сооружение в виде ряда ступеней для подъема и спуска
лестничный|Относящийся к лестнице
лестный|Содержащий похвалу, одобрение
лестный|Дающий удовлетворение самолюбию
лесть|Лицемерие, угодливое восхваление
лесхоз|Лесное хозяйство — предприятие, занимающееся учетом, воспроизводством, охраной и защитой лесов
лета|см. год
лета|Возраст, года
летальный|То же, что смертельный
летаргия|Похожее на длительный сон болезненное состояние с почти неощутимым дыханием и пульсом
летать|То же, что лететь, но обозначает действие, совершающееся не в одно время, не за один прием или не в одном направлении
летательный|Относящийся к полетам в атмосфере или космическом пространстве
лететь|Нестись, передвигаться по воздуху
лететь|То же, что мчаться
лететь|То же, что падать (разг.)
лететь|О времени: быстро проходить (перен.)
лететь|Быстро изменяться в цене, в уровне (разг.)
лететь|Ломаться, нарушаться (разг.)
летний|Относящийся к лету
лето|Самое теплое время года, следующее за весной и предшествующее осени
леток|Отверстие в улье для влета и вылета пчел
летом|В летнее время
летописание|Составление летописей
летописец|Составитель летописи
летопись|Вид русской повествовательной литературы XI-XVII вв.: погодная запись исторических событий
летопись|То же, что история (высок.)
летописный|Относящийся к летописи
летосчисление|Система определения времени по годам от какого–нибудь условленного момента
летун|Тот, кто летит, хорошо летает
летун|Человек, который часто меняет место работы в погоне за большим заработком
летучий|Способный летать, носиться в воздухе
летучий|В названиях некоторых рукокрылых: способный к полету
летучий|Способный быстро перемещаться, передвигаться
летучий|Легко испаряющийся, быстро проходящий
летучий|Мимолетный, короткий, быстрый
летучесть|Свойство быстро испаряться, быть летучим
летучка|Краткое собрание для решения неотложных дел
летучка|Подвижной, летучий отряд, передвижная бригада, мастерская
летяга|Родственное белке млекопитающее, грызун с кожистой перепонкой по бокам тела между конечностями
лечебница|Лечебное учреждение специального назначения
лечить|Применять медицинские средства для восстановления здоровья, принимать меры к прекращению болезни
лечить|Обладать целительными свойствами (перен.)
лечь|Принять лежачее положение
лечь|Расположиться спать
лечь|Поместиться в стационар
лечь|Распространиться по поверхности чего–нибудь, оказаться на чем–нибудь
лечь|Появиться, заполнить собой что–нибудь (о тяжелых чувствах, состоянии)
лечь|Прийтись, оказаться у кого–нибудь (о чем–нибудь обязательном, трудном или обременительном)
лечь|Коснуться, задеть кого–то, упасть (о подозрении, обвинении)
лечь|О судах, самолетах: принять какое–нибудь положение, направление
лечь|Расположиться, разместиться ровно, гладко
